sep=,
unoccupiedPromotionLineFieldsWeight=0 pawnWeight=50 kingWeight=250 safePawnWeight=0 safeKingWeight=0 aggregatedDistanceOfPawnToPromotionLineWeight=0 defenderPieceWeight=0 attackPawnWeight=0 centerPawnWeight=0 centerKingWeight=0 mainDiagonalPawnWeight=0 mainDiagonalKingWeight=0 doubleDiagonalPawnWeight=0 doubleDiagonalKingWeight=0 pruningWindow=20000 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
White,31-26 1,14964275,137613,455308,14,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 ],1978
White,32-27 1,28849616,212168,503571,15,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],1964
White,37x28 1,8425523,154702,452402,14,0,19,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 ],1971
White,28-23 1,26681351,198646,430567,14,0,19,19,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 ],1971
White,34x23 1,14689318,215505,468073,15,0,18,19,0,0,[0 -50 50 0 0 0 0 0 0 0 0 0 0 0 ],1980
White,33x22x11 1,25945845,302050,495938,15,0,17,18,0,0,[50 0 0 0 0 0 0 0 0 0 0 0 0 0 ],1968
White,35-30 1,26111530,303656,497951,13,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1978
White,30-25 1,37580684,361561,513012,13,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1978
White,36-31 1,42279163,310020,443159,13,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1975
White,31-27 1,21716674,288359,496561,13,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1976
White,38-32 1,15142657,270133,512310,12,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 ],1980
White,32-28 1,16044314,259086,506020,13,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1979
White,41-36 1,14811469,195432,455031,12,0,16,16,0,0,[0 0 0 -50 0 -50 0 0 0 0 0 ],1980
White,26-21 1,10779495,156996,415868,11,0,16,16,0,0,[0 0 0 -50 -50 -50 -50 -50 0 -50 ],1965
White,28-22 1,13867903,199806,460263,12,0,15,16,0,0,[-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 ],1979
White,39-33 1,5804324,187056,472913,12,0,15,16,0,0,[-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 ],1976
White,33-29 1,5115542,133588,443366,12,0,15,16,0,0,[-50 -50 -50 -50 -50 -100 -50 -50 -50 -50 -50 ],1977
White,40x29 1,8462090,161945,450628,13,0,14,16,0,0,[-50 -50 -50 -100 -50 -50 -50 -50 -50 -100 -50 -50 ],1976
White,29-23 1,16853357,236376,491893,13,0,14,15,0,0,[-50 -100 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 ],1974
White,23x32 1,7262027,192017,443117,13,0,13,15,0,0,[-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 ],1980
White,42-37 1,12687480,279735,541016,12,0,13,14,0,0,[-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 ],1976
White,36-31 1,12823418,269148,537847,12,0,13,14,0,0,[-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 ],1975
White,43-38 1,10516298,282542,554005,12,0,13,14,0,0,[-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 ],1974
White,32-28 1,8552610,275941,560819,12,0,13,14,0,0,[-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 ],1977
White,38-32 1,14667249,267542,488519,13,0,13,14,0,0,[-50 -50 -50 -50 -50 -100 -50 -50 -50 -50 -50 -50 ],1973
White,28-22 1,30703503,317152,510925,15,0,13,14,0,0,[-50 -50 0 -100 -50 -50 -50 -50 -50 -50 100 50 100 50 ],1977
White,32x23x12 1,9864568,174041,464677,17,0,12,14,0,0,[0 -100 -50 -50 -50 -50 -50 -50 100 50 100 50 50 50 50 50 ],1977
White,47x36 1,9878778,174365,465759,15,0,10,12,0,0,[-50 -50 -50 -50 -50 -50 100 50 100 50 50 50 50 50 ],1977
White,12-7 1,8507265,160266,444001,13,0,9,11,0,0,[-100 -100 -50 -50 100 50 50 50 50 50 50 50 ],1976
White,44-39 1,10719683,172896,466171,12,0,9,11,0,0,[100 100 100 100 100 50 100 50 100 50 100 ],1978
White,7-2 3,10072973,166784,464088,11,0,9,11,0,0,[100 100 100 100 100 100 100 100 100 50 ],1976
White,39-33 1,9205052,157710,469629,12,0,9,11,1,0,[100 100 100 100 100 100 100 100 100 100 100 ],1979
White,36-31 1,6049603,126759,447318,11,0,9,11,1,0,[100 100 100 100 100 100 100 100 100 50 ],1976
White,45-40 1,7876658,166801,467698,11,0,8,11,1,0,[50 50 50 50 50 50 50 50 50 50 ],1976
White,46-41 1,12929406,203850,476658,11,0,8,11,1,0,[50 50 50 50 100 50 50 50 50 50 ],1978
White,41-37 1,10730279,206841,491510,11,0,8,11,1,0,[50 50 50 50 50 50 50 50 50 50 ],1976
White,48-42 1,10679239,193108,490403,11,0,8,11,1,0,[50 50 50 50 50 50 50 50 50 50 ],1973
White,37-32 1,12024042,198106,480398,12,0,8,11,1,0,[50 50 50 50 50 50 50 50 50 50 50 ],1974
White,33x24 1,6141418,155139,478989,13,0,8,11,1,0,[100 50 50 50 50 50 100 50 50 50 100 50 ],1977
White,32-27 1,6827401,170495,465266,11,0,7,10,1,0,[50 50 50 50 100 50 50 50 100 50 ],1975
White,40-34 1,5144824,131746,485622,11,0,7,10,1,0,[50 50 50 50 100 50 100 50 100 50 ],1978
White,42-37 1,5550031,134822,503000,12,0,6,10,1,0,[0 0 50 50 50 50 50 50 50 50 50 ],1970
White,2-7 3,8045827,161976,500991,13,0,6,10,1,0,[0 0 50 50 50 50 50 50 50 50 50 50 ],1978
White,7-34 3,19562163,177369,517885,12,0,6,10,1,0,[0 0 0 0 0 0 50 0 50 50 50 ],1977
White,34-23 3,337806435,171021,503673,12,0,6,10,1,0,[0 0 50 50 50 50 50 50 50 50 50 ],1977
White,23x32 3,7230704,187210,560316,14,0,6,10,1,0,[50 50 50 50 50 50 50 50 50 50 50 50 50 ],1973
White,25-20 1,11281761,265168,616551,14,0,6,9,1,0,[50 50 100 100 100 100 100 100 100 100 100 100 150 ],1976
White,32x14x3 3,28242591,238154,529251,13,0,5,9,1,0,[100 100 100 100 100 100 100 100 100 100 150 100 ],1976
White,3-9 3,18558879,306171,629171,13,0,5,7,1,0,[100 100 100 100 100 100 100 100 150 150 150 150 ],1976
White,27x16 1,191383244793,498606,554950,14,0,5,7,1,0,[150 150 150 150 150 150 200 200 250 250 300 300 350 ],1969
White,16-11 1,63098738,403021,562197,13,0,5,6,1,0,[150 150 150 150 200 200 250 250 350 350 350 350 ],1977
White,9-3 3,39542247,397596,609417,13,0,5,6,1,0,[150 150 200 200 350 350 350 350 350 350 400 300 ],1974
White,11-7 1,19882923,344117,596617,13,0,5,6,1,0,[150 150 200 200 350 300 350 250 300 300 350 300 ],1978
White,3-17 3,11290739,281414,533869,12,0,5,6,1,0,[350 350 350 350 350 350 350 350 350 300 350 ],1976
White,37x26 1,226804248,595057,588708,15,0,5,6,1,0,[200 200 250 250 400 400 400 300 400 350 400 350 400 400 ],1977
White,17-11 3,96377129,621116,581657,13,0,5,5,1,0,[400 400 400 400 450 350 450 450 450 400 450 400 ],1977
White,7-2 3,339191257,609220,552124,14,0,5,5,1,0,[400 400 400 400 400 400 450 400 450 450 500 500 500 ],1972
White,2x35 3,86108220937,480096,440115,14,0,5,5,2,0,[450 450 450 450 500 500 500 500 500 500 550 550 550 ],1978
White,11-6 3,67872939128,576619,553844,12,0,5,4,2,0,[450 450 500 500 500 500 500 500 550 550 550 ],1979
White,6x44 3,291889645174,708195,410936,13,0,5,4,2,0,[500 500 500 300 300 300 300 300 300 300 300 300 ],1979
White,26-21 1,502483109556,713454,421042,11,0,5,3,2,0,[500 300 300 300 300 300 300 300 300 300 ],1978
White,35-19 3,348224601950,765635,486064,11,0,5,3,2,1,[300 300 300 300 300 300 300 300 350 500 ],1980
White,19-2 3,2330027011481,799072,489839,11,0,5,3,2,1,[300 300 300 300 300 300 300 300 350 350 ],1979
White,2-8 3,5896687884773,889395,541865,11,0,5,3,2,1,[300 300 300 300 300 300 300 300 350 350 ],1974
White,49-43 1,8313494937175,906016,542324,11,0,5,3,2,1,[300 300 300 300 300 300 300 300 350 450 ],1971
White,8-2 3,6189667091729,856843,520152,10,0,5,3,2,1,[300 300 300 300 300 300 350 350 350 ],1976
White,2-35 3,10584106347512,1320086,528230,15,0,5,3,2,1,[300 250 250 250 450 450 500 500 500 500 500 500 500 500 ],1977
White,35x44 3,14096965329527,2631338,520138,32,0,2,3,1,1,[200 200 200 200 200 200 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 ],1983
White,44-39 3,-2471614239737,2591147,508584,32,0,2,2,1,0,[200 200 200 200 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 ],1983
White,39x30 3,114,0,0,39,0,2,2,1,0,[250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 ],12
Black,16-21 2,6263669,121266,541238,13,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1982
Black,21x32 2,9862666,174846,501532,15,0,20,20,0,0,[50 0 0 0 0 0 0 0 0 0 0 0 0 0 ],1985
Black,11-16 2,8097725,160349,472785,13,0,19,19,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1975
Black,18x29 2,7051094,184879,496509,15,0,19,19,0,0,[50 0 50 0 0 0 0 0 0 0 0 0 0 0 ],1973
Black,19x28 2,25846946,301514,493953,16,0,18,18,0,0,[50 -50 0 0 0 0 0 0 0 0 0 0 0 0 0 ],1977
Black,6x17 2,26120294,303781,498110,14,0,17,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 ],1977
Black,1-6 2,21067657,231373,467630,12,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 ],1974
Black,6-11 2,20147524,266518,490645,13,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1976
Black,12-18 2,15049839,219248,464472,13,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1973
Black,7-12 2,15979336,191837,466909,12,0,16,16,0,0,[0 0 50 0 0 0 0 0 0 0 0 ],1977
Black,2-7 2,13179837,191600,458253,12,0,16,16,0,0,[0 0 50 0 0 0 0 0 0 0 0 ],1977
Black,13-19 2,11347919,174599,466758,12,0,16,16,0,0,[0 0 50 50 50 0 50 0 50 0 0 ],1976
Black,8-13 2,12240274,162292,462799,12,0,16,16,0,0,[0 0 50 0 50 0 0 0 0 0 0 ],1967
Black,3-8 2,5225094,131410,458176,12,0,16,16,0,0,[0 0 50 50 50 50 50 50 50 0 0 ],1978
Black,18-22 2,4421962,141074,465517,13,0,16,16,0,0,[0 0 50 50 50 50 50 50 50 0 50 50 ],1978
Black,13x22x33 2,7320177,152663,473570,12,0,16,15,0,0,[50 50 50 50 50 0 50 0 50 50 50 ],1977
Black,8-13 2,6612831,142021,488252,12,0,14,15,0,0,[50 50 50 0 50 50 50 50 50 0 0 ],1974
Black,12-18 2,5899717,208212,536341,11,0,14,14,0,0,[0 0 0 0 50 50 50 0 0 0 ],1975
Black,7-12 2,6883586,193354,473009,12,0,14,14,0,0,[0 0 50 50 50 50 50 0 50 0 0 ],1975
Black,20-24 2,7050120,186220,469652,13,0,14,14,0,0,[0 0 50 50 50 50 50 50 50 0 0 0 ],1977
Black,15-20 2,8538982,169132,439107,12,0,14,14,0,0,[0 0 50 50 50 50 50 0 0 0 0 ],1977
Black,10-15 2,8677741,222912,514218,13,0,14,14,0,0,[0 0 50 50 50 50 50 0 0 0 0 0 ],1976
Black,17x28 2,24942556,301286,517617,16,0,14,14,0,0,[50 50 50 50 50 50 50 0 0 0 0 0 0 0 0 ],1975
Black,16x27 2,26902355,326471,560259,15,0,13,14,0,0,[100 0 0 0 0 0 0 0 0 0 0 0 0 0 ],1978
Black,4-10 2,26866681,325196,557141,13,0,12,12,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1975
Black,18-23 2,26036720,364126,557015,14,0,12,12,0,0,[0 0 0 0 50 50 50 50 50 0 0 0 50 ],1972
Black,23x32 2,15528897,201422,530046,14,0,12,12,0,0,[50 50 50 50 50 50 50 0 0 0 50 0 0 ],1974
Black,11-16 2,12112680,201635,531483,13,0,11,12,0,0,[50 50 50 50 50 0 0 0 50 0 0 0 ],1977
Black,12-17 2,10391465,175386,535251,14,0,11,12,0,0,[50 50 50 0 0 0 0 0 0 0 0 0 0 ],1974
Black,13-18 2,17178384,274136,564197,15,0,11,11,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],1976
Black,9-13 2,13736525,228462,555666,15,0,11,11,0,0,[0 0 50 50 50 0 0 0 0 0 0 0 0 0 ],1974
Black,17-22 2,13374427,257391,558186,16,0,11,11,0,0,[0 0 50 0 0 0 0 0 0 0 0 0 0 0 0 ],1976
Black,22x31 2,15904656,214937,559540,17,0,11,11,0,0,[50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],1973
Black,16-21 2,15948755,215273,560326,15,0,10,10,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],1975
Black,21-27 2,8918903,206425,562503,15,0,10,10,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],1974
Black,27x36 2,11000897,174293,568829,17,0,10,10,0,0,[50 50 50 50 50 50 50 0 50 0 50 0 0 0 0 -50 ],1977
Black,18-23 2,7079998,170160,577615,17,0,9,10,0,0,[50 50 50 50 50 0 50 50 50 0 0 0 0 0 0 0 ],1974
Black,13-18 2,7959504,148762,565892,17,0,9,10,0,0,[50 50 50 50 50 50 50 0 0 0 0 0 0 0 0 0 ],1975
Black,23-29 2,11772368,140709,584306,17,0,9,10,0,0,[50 50 50 50 50 0 0 0 50 0 0 0 0 0 0 0 ],1974
Black,19-23 2,52436487,148152,538901,16,0,9,10,0,0,[50 50 50 0 0 0 50 0 0 0 0 0 0 0 50 ],1975
Black,24x13 2,7945737,162914,618486,15,0,9,9,0,0,[50 50 50 50 50 0 0 0 0 0 50 0 50 0 ],1973
Black,18-22 2,9405332,183842,602630,16,0,8,9,0,0,[50 50 50 0 0 0 0 0 50 0 50 0 50 0 0 ],1974
Black,29-33 2,43126810,222553,582302,15,0,8,8,0,0,[0 0 0 0 0 0 50 0 50 0 50 0 0 0 ],1975
Black,33-38 2,1243312017,179086,520227,14,0,8,8,0,0,[0 0 0 -50 50 0 50 0 50 0 0 0 0 ],1976
Black,38-42 2,112093653177,199387,501825,14,0,8,8,0,0,[0 -50 200 0 100 50 50 50 50 0 0 0 50 ],1976
Black,36x47 4,2110177181062,377085,497505,15,0,8,7,0,0,[200 0 100 50 50 50 50 50 50 50 50 50 50 50 ],1977
Black,47-41 4,514122865887,275999,448866,13,0,7,7,0,1,[200 100 100 50 100 50 50 50 50 50 50 50 ],1976
Black,13-18 2,879548165318,316451,456352,13,0,7,7,0,1,[200 100 150 50 100 50 50 50 50 0 50 0 ],1977
Black,20-24 2,944446100659,335323,433646,13,0,7,7,1,1,[0 0 0 0 50 0 50 50 50 50 50 50 ],1978
Black,10-14 2,3513248964394,618863,566305,16,0,7,4,1,1,[-150 -150 50 0 50 50 50 50 50 50 50 50 50 50 50 ],1975
Black,15x24 2,2299363774326,646804,541536,18,0,7,3,1,1,[50 0 50 50 50 50 50 50 50 50 50 50 50 50 50 -50 -50 ],1978
