sep=,
unoccupiedPromotionLineFieldsWeight=20 pawnWeight=50 kingWeight=200 safePawnWeight=0 safeKingWeight=0 aggregatedDistanceOfPawnToPromotionLineWeight=0 defenderPieceWeight=0 attackPawnWeight=0 centerPawnWeight=0 centerKingWeight=0 mainDiagonalPawnWeight=0 mainDiagonalKingWeight=0 doubleDiagonalPawnWeight=0 doubleDiagonalKingWeight=0 pruningWindow=20 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
Black,16-21 2,2270678,38204,193228,12,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 ],1982
Black,21x32 2,1947454,57160,209437,13,2,20,20,0,0,[50 30 10 0 0 0 0 0 0 0 0 0 ],1981
Black,11-16 2,2294291,55369,199100,12,0,19,19,0,0,[0 0 0 0 0 0 0 0 0 0 0 ],1975
Black,18x29 2,2374951,56602,193953,14,4,19,19,0,0,[50 30 50 30 10 0 0 0 0 0 0 0 0 ],1981
Black,19x28 2,3992309,66783,188972,13,2,18,18,0,0,[50 30 10 0 0 0 0 0 0 0 0 0 ],1977
Black,6x17 2,3989745,66663,188626,11,0,17,16,0,0,[0 0 0 0 0 0 0 0 0 0 ],1982
Black,7-11 2,3113950,68361,192371,11,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 ],1980
Black,12-18 2,3188275,60977,183976,11,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 ],1982
Black,8-12 2,3586023,61377,191882,10,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 ],1976
Black,13-19 2,2652685,59589,182707,10,2,16,16,0,0,[0 0 20 0 0 0 10 0 0 ],1982
Black,9-13 2,2066718,49138,177450,9,2,16,16,0,0,[0 0 20 0 0 0 0 0 ],1981
Black,17-22 2,1739454,53889,202365,9,2,16,16,0,0,[0 0 20 0 0 0 0 0 ],1980
Black,22x31 2,2453322,56386,174495,11,2,16,16,0,0,[50 30 10 0 0 0 0 0 0 0 ],1979
