sep=,
unoccupiedPromotionLineFieldsWeight=50 pawnWeight=50 kingWeight=200 safePawnWeight=5 safeKingWeight=5 aggregatedDistanceOfPawnToPromotionLineWeight=0 defenderPieceWeight=5 attackPawnWeight=5 centerPawnWeight=5 centerKingWeight=5 mainDiagonalPawnWeight=5 mainDiagonalKingWeight=5 doubleDiagonalPawnWeight=5 doubleDiagonalKingWeight=5 pruningWindow=20 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
White,31-26 1,2666056,43661,198554,11,0,20,20,0,0,[10 0 10 0 5 -5 10 -5 10 -5 ],1977
White,26x17 1,2193276,45553,183682,12,3,20,20,0,0,[65 45 25 5 15 5 15 0 10 0 10 ],1965
White,32-27 1,2602248,49891,193263,10,2,19,19,0,0,[15 5 25 5 15 0 15 0 10 ],1972
White,37x26 1,1832455,45212,189081,10,0,18,19,0,0,[10 0 10 -5 5 -5 10 -5 10 ],1981
White,38-32 1,2026674,43185,182005,10,0,18,18,0,0,[20 10 15 0 10 0 15 0 15 ],1982
White,26x17 1,2020695,49951,189064,11,3,18,18,0,0,[65 45 25 5 15 5 15 0 10 0 ],1972
White,42-37 1,1854521,43378,162661,10,3,17,17,0,0,[15 5 25 5 20 0 10 0 15 ],1981
White,32-28 1,2006775,42663,173286,10,1,17,17,0,0,[15 5 25 10 20 10 25 10 15 ],1977
White,34-29 1,1974768,40129,181526,10,3,17,17,0,0,[25 15 35 15 30 10 15 0 15 ],1978
White,29x20 1,1526096,40921,171689,11,3,17,17,0,0,[70 50 30 10 15 0 15 0 15 5 ],1979
White,36-31 1,1659635,41910,173632,10,0,16,16,0,0,[25 10 15 0 15 0 15 5 20 ],1978
White,37-32 1,1549051,33492,168921,11,3,16,16,0,0,[10 -10 10 5 20 5 20 0 15 0 ],1981
White,31-26 1,1557218,40158,184355,10,1,16,16,0,0,[5 0 10 -5 15 0 15 0 15 ],1980
White,41-36 1,1749005,39140,186506,10,0,16,16,0,0,[15 5 15 0 15 0 15 5 15 ],1979
White,26-21 1,1719787,43252,194169,10,0,16,16,0,0,[25 10 15 5 15 5 15 0 10 ],1982
White,28x17 1,1229736,33505,166428,11,0,15,16,0,0,[10 0 10 5 15 0 10 0 10 0 ],1983
White,43-38 1,1368401,35189,165855,10,0,15,15,0,0,[10 5 15 0 10 0 10 0 15 ],1982
White,39-34 1,2390289,33111,170758,10,4,15,15,0,0,[15 5 5 0 15 -5 15 -5 15 ],1981
White,32-27 1,1665305,43676,195842,10,4,15,15,0,0,[0 0 0 -5 15 -5 15 -5 10 ],1981
White,33x24 1,2456660,63068,207465,13,6,15,15,0,0,[50 30 45 25 45 45 55 35 55 35 20 10 ],1975
White,44x33 1,1387564,44047,175759,13,5,14,14,0,0,[45 25 45 45 55 35 55 35 20 10 25 25 ],1982
White,35x24 1,1439442,45350,182928,11,3,13,13,0,0,[45 45 55 35 55 35 20 10 25 25 ],1982
White,33-28 1,1935592,43735,160414,9,3,13,12,0,0,[60 50 70 50 60 40 25 25 ],1987
White,38-32 1,1368802,45151,186158,8,0,12,12,0,0,[20 15 15 10 20 10 20 ],1976
White,36-31 1,1519516,45427,169900,9,0,12,12,0,0,[20 5 20 10 20 5 15 5 ],1978
White,32x41 1,1481169,42078,185301,10,0,11,12,0,0,[20 10 20 5 15 5 10 -5 5 ],1981
White,40-34 1,1368870,39525,162751,8,0,11,11,0,0,[25 10 20 5 15 0 5 ],1981
White,41-36 1,1339350,35412,160173,8,0,11,11,0,0,[15 0 15 5 10 -5 -5 ],1983
White,27-21 1,1543750,41982,174510,9,1,11,11,0,0,[20 5 10 -5 0 -20 -35 -50 ],1983
