sep=,
unoccupiedPromotionLineFieldsWeight=25 pawnWeight=50 kingWeight=200 safePawnWeight=5 safeKingWeight=10 aggregatedDistanceOfPawnToPromotionLineWeight=1 defenderPieceWeight=2 attackPawnWeight=3 centerPawnWeight=4 centerKingWeight=10 mainDiagonalPawnWeight=2 mainDiagonalKingWeight=15 doubleDiagonalPawnWeight=2 doubleDiagonalKingWeight=12 pruningWindow=11 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
Black,17-21 2,2714595,48486,224995,11,0,20,20,0,0,[0 -5 0 -6 1 -5 2 -5 2 -5 ],1961
Black,11x22 2,2241458,52858,220025,11,0,20,19,0,0,[-2 -7 1 -7 1 -5 2 -5 2 -5 ],1965
Black,22x31 2,681630,17056,66122,10,3,19,19,0,0,[42 31 20 9 2 -6 0 -5 2 ],644
White,31-26 1,3317495,51568,215418,11,0,20,20,0,0,[8 0 5 0 6 -1 5 -2 5 -2 ],1976
White,32-28 1,3565816,56746,218991,11,0,20,20,0,0,[15 7 13 5 12 5 11 4 11 3 ],1961
White,28-23 1,4392218,61538,204190,12,1,20,20,0,0,[18 10 14 4 15 14 15 8 15 11 15 ],1968
White,34x23 1,4909577,70705,198896,12,2,19,20,0,0,[14 3 14 19 18 10 15 12 15 10 17 ],1982
White,33x22x11 1,4394858,73285,209951,12,3,18,19,0,0,[58 47 36 25 15 12 15 10 17 10 17 ],1978
White,35-30 1,4341943,72637,208471,10,0,17,17,0,0,[18 10 15 12 15 10 17 10 17 ],1970
White,30-25 1,4376392,72757,216735,10,0,17,17,0,0,[22 19 19 16 22 14 22 17 21 ],1972
White,38-32 1,4692966,76523,239441,10,0,17,17,0,0,[25 20 24 16 24 20 24 19 22 ],1982
White,39-34 1,2979794,61035,218161,10,0,17,17,0,0,[28 23 26 21 24 20 24 18 23 ],1980
White,34-29 1,3241620,61387,217425,10,0,17,17,0,0,[26 21 24 19 24 19 22 17 24 ],1979
White,42-38 1,2868130,61554,216386,10,0,17,17,0,0,[30 25 28 23 26 21 26 20 25 ],1982
White,29-23 1,3621164,70213,225252,11,4,17,17,0,0,[28 17 24 23 26 22 29 18 29 18 ],1970
White,40-35 1,2240228,45672,209709,10,1,16,17,0,0,[-26 -29 -24 -29 -26 -31 -27 -30 -19 ],1982
White,32-28 1,1972020,50845,216204,10,0,16,17,0,0,[5 2 7 2 8 0 8 0 8 ],1969
White,38-32 1,1702132,54929,224967,10,0,16,17,0,0,[7 2 8 0 8 0 8 1 6 ],1984
White,28-22 1,3641591,56689,243625,11,8,16,17,0,0,[8 1 12 1 12 1 12 1 12 1 ],1982
White,43x32 1,2801637,50351,237184,12,3,14,17,0,0,[-49 -52 -45 -55 -50 -61 -50 -53 -53 -59 -48 ],1982
White,48-43 1,2063720,56031,244075,10,0,14,16,0,0,[-41 -46 -43 -47 -47 -49 -42 -47 -42 ],1981
White,44-39 1,2367583,48351,223108,11,5,14,16,0,0,[-71 -76 -65 -76 -65 -54 -43 -43 -37 -45 ],1982
White,39x30x19 1,2899825,76844,241084,13,4,14,16,0,0,[16 5 6 -5 -16 -27 -37 -41 -35 -40 -38 -45 ],1979
White,25x14 1,2846134,75499,236737,11,3,13,14,0,0,[6 -5 -16 -27 -37 -41 -35 -40 -38 -45 ],1983
White,37-31 1,2879091,76404,239513,9,0,12,13,0,0,[-33 -38 -37 -41 -35 -40 -38 -45 ],1983
White,31-27 1,2487928,63136,242566,10,0,12,13,0,0,[-35 -40 -37 -42 -35 -40 -35 -42 -35 ],1983
White,36x27 1,2721502,60253,212710,10,1,11,13,0,0,[-38 -42 -36 -42 -35 -42 -35 -42 -31 ],1978
White,43-38 1,2790051,64374,236185,10,2,11,12,0,0,[-36 -42 -35 -41 -35 -42 -31 -36 -25 ],1980
White,27-22 1,6713239,101546,256890,12,7,11,12,0,0,[-8 -14 -7 -11 0 11 22 33 44 33 44 ],1981
White,26x17x6 1,7639865,74797,195613,13,10,9,12,0,0,[-12 -15 -4 7 18 29 40 29 40 29 18 7 ],1982
White,6-1 3,3576019,78536,274000,11,9,9,10,0,0,[136 125 136 125 114 103 92 81 70 59 ],1981
White,1x12 3,60800983,219608,345996,16,14,8,10,1,0,[150 139 128 117 106 95 84 73 62 51 40 29 18 7 -4 ],1983
White,35-30 1,4917651,122330,291525,11,1,7,9,0,0,[-64 -65 -67 -72 -61 -57 -55 -58 -59 -58 ],1982
