sep=,
unoccupiedPromotionLineFieldsWeight=0 pawnWeight=50 kingWeight=1000 safePawnWeight=0 safeKingWeight=0 aggregatedDistanceOfPawnToPromotionLineWeight=0 defenderPieceWeight=0 attackPawnWeight=0 centerPawnWeight=0 centerKingWeight=0 mainDiagonalPawnWeight=0 mainDiagonalKingWeight=0 doubleDiagonalPawnWeight=0 doubleDiagonalKingWeight=0 pruningWindow=20000 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
Black,16-21 2,5948046,113160,490369,13,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],2040
Black,21x32 2,9697386,166826,473419,15,0,20,20,0,0,[50 0 0 0 0 0 0 0 0 0 0 0 0 0 ],1971
Black,11-16 2,8028039,156411,461357,13,0,19,19,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1974
Black,18x29 2,6253274,158507,447678,15,0,19,19,0,0,[50 0 50 0 0 0 0 0 0 0 0 0 0 0 ],1972
Black,19x28 2,25479045,296133,480705,16,0,18,18,0,0,[50 -50 0 0 0 0 0 0 0 0 0 0 0 0 0 ],1973
Black,6x17 2,25610148,297884,485431,14,0,17,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 ],1979
Black,1-6 2,20906265,228023,459597,12,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 ],1976
Black,6-11 2,16330860,245592,469251,13,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1977
Black,12-18 2,14981869,217587,457624,13,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1974
Black,7-12 2,13201743,177635,440984,12,0,16,16,0,0,[0 0 50 0 0 0 0 0 0 0 0 ],1970
Black,2-7 2,12792225,185252,443197,12,0,16,16,0,0,[0 0 50 0 0 0 0 0 0 0 0 ],1976
Black,13-19 2,10500352,168083,448770,12,0,16,16,0,0,[0 0 50 50 50 0 50 0 50 0 0 ],1975
Black,8-13 2,8419394,155966,444463,12,0,16,16,0,0,[0 0 50 0 50 0 0 0 0 0 0 ],1975
Black,3-8 2,5147494,129779,451023,12,0,16,16,0,0,[0 0 50 50 50 50 50 50 50 0 0 ],1978
Black,18-22 2,4323875,137914,454183,13,0,16,16,0,0,[0 0 50 50 50 50 50 50 50 0 50 50 ],1977
Black,13x22x33 2,7084545,147896,459425,12,0,16,15,0,0,[50 50 50 50 50 0 50 0 50 50 50 ],1975
Black,8-13 2,6372120,136809,475530,12,0,14,15,0,0,[50 50 50 0 50 50 50 50 50 0 0 ],1968
Black,12-18 2,5703031,200269,519388,11,0,14,14,0,0,[0 0 0 0 50 50 50 0 0 0 ],1975
Black,7-12 2,7937432,219706,479576,12,0,14,14,0,0,[0 0 50 50 50 50 50 0 0 0 0 ],1975
Black,18-22 2,10028378,206732,460181,12,0,14,14,0,0,[0 0 0 0 0 0 0 0 0 0 0 ],1973
Black,12-18 2,6035631,164893,485795,13,0,14,14,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1976
Black,22x31 2,9978544,165418,461268,15,0,14,14,0,0,[50 0 0 0 0 0 0 0 0 0 0 0 0 0 ],1975
Black,16-21 2,9956430,164602,457605,13,0,13,13,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1973
Black,11-16 2,8270582,157725,463664,12,0,13,13,0,0,[0 0 0 0 0 0 0 0 0 0 0 ],1975
Black,17-22 2,5156914,186170,532904,13,0,13,13,0,0,[0 0 0 0 0 0 0 0 50 0 0 0 ],1976
Black,22x11 2,13801311,265624,534224,14,0,13,12,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 ],1977
Black,11-17 2,8757041,188589,501495,13,0,12,12,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1977
