sep=,
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,#WP,#BP,#WK,#BK,EvaluationValues
White,31-26 1,1644165,53782,423597,12,20,20,0,0,0 0 0 0 0 0 0 0 0 0 0 
White,32-27 1,1643315,46583,510476,12,20,20,0,0,0 0 0 0 0 0 0 0 0 0 0 
White,37x28 1,1514408,80789,491444,12,19,20,0,0,0 0 0 0 0 0 0 0 0 0 0 
White,28-23 1,2132902,207158,337177,12,19,19,0,0,0 0 0 0 0 0 0 0 0 0 0 
White,34x23 1,1641633,70316,313711,14,18,19,0,0,0 -25 25 0 0 0 0 0 0 0 0 0 0 
White,33x22x11 1,1857121,142854,449218,13,17,18,0,0,25 0 0 0 0 0 0 0 0 0 0 0 
White,35-30 1,1918174,148398,461593,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,30-25 1,1925265,147441,497859,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,36-31 1,2191861,166769,429494,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,31-27 1,1367870,92617,409192,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,38-32 1,2070817,144468,520957,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,39-33 1,1844671,152126,542310,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,33-28 1,1657569,141230,516452,10,16,16,0,0,0 0 0 0 0 0 0 0 0 
White,43-38 1,1951963,80925,397999,11,16,16,0,0,0 0 0 -25 0 0 0 0 0 0 
White,38-33 1,1877566,65626,445487,12,16,16,0,0,0 0 0 0 0 0 0 0 0 0 0 
White,27x16 1,1867816,100140,463872,13,16,16,0,0,25 25 25 25 25 25 25 25 25 25 25 25 
White,26x17x6 1,1343569,68085,394209,14,16,15,0,0,75 75 100 75 100 100 100 100 100 100 100 100 100 
White,6x17 1,1935870,106590,510079,13,16,13,0,0,100 75 100 100 100 100 100 100 100 100 100 100 
White,16x27 1,2266450,140871,409377,13,15,12,0,0,100 100 100 100 100 100 100 100 100 100 100 100 
White,27-21 1,2224594,132744,368717,11,15,11,0,0,100 100 100 100 100 100 100 100 100 100 
White,21x12x23 1,1958521,345859,598295,14,15,11,0,0,150 150 150 150 175 175 200 175 225 200 200 200 200 
White,23x12 1,2700471,453287,310236,13,15,9,0,0,175 175 175 175 200 175 225 200 300 275 275 275 
White,12-7 1,1660699,356677,631328,11,15,8,0,0,175 175 225 225 275 275 300 300 325 300 
White,7-1 3,2217080,124472,442884,11,15,8,0,0,300 300 300 300 300 300 325 325 325 325 
White,1x23 3,2057134,57026,550742,12,15,8,1,0,325 325 325 325 325 325 325 325 350 350 350 
White,23-7 3,2260618,114237,507564,11,15,7,1,0,325 325 325 325 325 325 350 350 350 350 
White,7x23 3,2384281,590728,734279,11,15,7,1,0,350 350 350 350 375 350 350 350 375 350 
White,23-18 3,3092601,894195,266841,11,15,6,1,0,350 350 375 375 375 375 375 375 375 375 
White,25x14x23 1,1749237,233316,368778,11,15,6,1,0,400 400 400 400 400 400 425 425 425 425 
White,18-12 3,2904455,395407,384700,9,15,4,1,0,400 400 425 425 425 425 425 425 
White,12-7 3,2010824,309072,433358,9,15,4,1,0,400 400 425 425 425 425 425 425 
White,23x14x5 3,2125707,112917,617668,13,15,4,1,0,575 575 575 575 600 600 600 600 625 625 625 625 
White,5-10 3,2144913,93004,553345,11,15,2,2,0,575 575 600 600 600 600 625 625 625 625 
White,7-1 3,2032716,64265,622351,12,15,2,2,0,575 575 575 575 625 625 625 625 625 625 625 
White,1x34 3,684,1,99,99,15,2,2,0,600 600 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 
White,34x25 3,196,0,0,99,15,1,2,0,625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 
