sep=,
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,#WP,#BP,#WK,#BK,EvaluationValues
White,31-26 1,789336,14304,184982,11,20,20,0,0,0 0 0 0 0 0 0 0 0 0 
White,32-27 1,815279,20746,163447,11,20,20,0,0,0 0 0 0 0 0 0 0 0 0 
White,37x28 1,796549,24068,165659,12,19,20,0,0,0 0 0 0 0 0 0 0 0 0 0 
White,28-23 1,757940,29810,196463,11,19,19,0,0,0 0 0 0 0 0 0 0 0 0 
White,34x23 1,747693,18929,160745,13,18,19,0,0,0 -25 25 0 0 0 0 0 0 0 0 0 
White,33x22x11 1,665984,20841,147358,12,17,18,0,0,25 0 0 0 0 0 0 0 0 0 0 
White,35-30 1,759532,24795,190962,10,16,16,0,0,0 0 0 0 0 0 0 0 0 
White,30-25 1,833614,58720,198904,10,16,16,0,0,0 0 0 0 0 0 0 0 0 
White,36-31 1,787393,24701,250903,10,16,16,0,0,0 0 0 0 0 0 0 0 0 
White,31-27 1,791295,35840,205520,10,16,16,0,0,0 0 0 0 0 0 0 0 0 
White,38-32 1,805088,49560,198304,10,16,16,0,0,0 0 0 0 0 0 0 0 0 
White,32-28 1,872816,80859,211701,10,16,16,0,0,0 0 0 0 0 0 0 0 0 
White,42-37 1,912135,104797,146803,9,16,16,0,0,0 0 0 -25 0 -25 0 0 
White,37-32 1,826702,42230,223684,10,16,16,0,0,0 0 0 -25 0 0 0 0 0 
White,39-33 1,795401,22126,169727,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,27x16 1,768191,24847,251438,12,16,16,0,0,25 25 25 25 25 25 25 25 25 25 25 
White,26x17x6 1,856736,41348,272446,14,16,15,0,0,75 75 100 75 100 100 100 100 100 100 100 100 100 
White,6x17 1,890977,45432,293561,12,16,13,0,0,100 75 100 100 100 100 100 100 100 100 100 
White,16x27 1,893546,32600,265223,13,15,12,0,0,100 100 100 100 100 100 100 100 100 100 100 100 
White,27-21 1,914797,27743,230141,11,15,11,0,0,100 100 100 100 100 100 100 100 100 100 
White,21x12x23 1,1133407,203306,209050,14,15,11,0,0,150 150 150 150 175 175 200 175 225 200 200 200 200 
White,23x12 1,1129401,111400,185516,13,15,9,0,0,175 175 175 175 200 175 225 200 300 275 275 275 
White,12-7 1,921728,59419,328811,10,15,8,0,0,175 175 225 225 275 275 300 300 325 
White,7-1 3,856674,11093,283221,10,15,8,0,0,300 300 300 300 300 300 325 325 325 
White,1x34 3,942561,39250,216788,11,15,8,1,0,325 325 325 325 325 325 325 325 350 350 
White,32-27 1,929263,19618,259162,10,15,7,1,0,325 325 325 325 325 325 350 350 350 
White,34x12 3,1203780,203536,169803,12,15,7,1,0,350 350 350 350 350 350 375 375 375 375 400 
White,12x34 3,842999,84015,213375,11,15,6,1,0,375 375 425 425 425 375 375 375 400 400 
White,25x14x23 1,1183588,123741,244809,11,15,5,1,0,425 425 425 425 425 425 425 425 450 450 
White,34-25 3,1154418,120870,234761,9,15,3,1,0,425 425 425 425 425 425 450 450 
White,25x9 3,1175692,37132,318952,18,15,3,1,0,450 450 475 475 475 475 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 
White,9x25 3,1367556,139598,328201,17,15,2,1,0,475 475 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 
White,25x14 3,392,0,0,99,15,1,1,0,1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 
