sep=,
pieceWeight=25 crownWeight=25 sideWeight=25 kingLaneWeight=75 tandemWeight=5 centerWeight=10 winWeight=1000 pruningWindow=10 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
White,31-26 1,697395,71131,184256,10,1,20,20,0,0,[5 0 0 0 0 0 5 -5 0 ]
White,26x17 1,653572,7320,155352,12,3,20,20,0,0,[25 10 10 5 10 0 0 -5 5 0 5 ]
White,33-29 1,708604,5863,164751,10,3,19,19,0,0,[20 5 10 0 0 -5 5 0 5 ]
White,29-23 1,802268,104795,196625,10,6,19,19,0,0,[20 5 20 5 20 5 5 -5 0 ]
White,34x23 1,806673,94344,160855,12,8,18,19,0,0,[20 -5 20 5 -5 -25 0 -5 -15 -20 -10 ]
White,32x23 1,805769,94342,160742,10,6,17,18,0,0,[20 5 -5 -25 0 -5 -15 -20 -10 ]
White,38-32 1,839449,139933,178993,9,4,17,17,0,0,[0 -5 5 -5 -5 -15 -10 -20 ]
White,23x12 1,710461,3851,138490,11,2,17,17,0,0,[25 0 0 -15 -10 -15 -10 -15 -10 -10 ]
White,37-31 1,711573,4131,143629,9,1,16,16,0,0,[0 -15 -10 -15 -10 -15 -10 -10 ]
White,31-26 1,625414,17039,131949,9,3,16,16,0,0,[-5 -10 0 -5 5 -10 -10 -10 ]
White,26x17 1,725506,8816,126901,11,3,16,16,0,0,[20 -5 5 -10 -10 -10 -10 -10 -5 -10 ]
White,32-28 1,734853,8733,142872,9,1,15,15,0,0,[5 -10 -10 -10 -10 -10 -5 -10 ]
White,36-31 1,801237,78854,141963,8,4,15,15,0,0,[15 10 10 -10 5 -10 0 ]
White,31-26 1,750719,49405,147413,9,3,15,15,0,0,[5 5 10 0 10 0 0 5 ]
White,35-30 1,654600,23856,137941,9,3,15,15,0,0,[20 20 30 15 20 10 10 5 ]
White,39x30 1,856318,118738,155027,9,5,14,15,0,0,[5 -10 0 0 10 5 10 -5 ]
White,30-25 1,787071,56455,139506,8,5,14,14,0,0,[30 10 20 5 10 -5 5 ]
White,25x14 1,1052107,311960,166758,11,6,14,14,0,0,[20 5 10 -5 5 -10 -5 -5 10 -10 ]
White,28-23 1,760766,10163,189346,9,4,13,13,0,0,[10 -5 5 -5 0 -5 10 10 ]
White,40-34 1,801567,40766,132681,8,2,13,13,0,0,[30 25 30 10 15 10 15 ]
White,41-36 1,796805,78717,130998,8,6,13,13,0,0,[35 0 20 -5 15 0 10 ]
White,43-39 1,825636,79318,153558,8,6,13,13,0,0,[20 -5 5 -5 10 0 5 ]
White,23-18 1,697745,91690,93054,7,5,13,13,0,0,[10 -5 20 5 5 -15 ]
White,34-29 1,766804,50446,132248,8,5,12,13,0,0,[-5 -20 5 -15 -10 -35 -20 ]
White,39x28 1,827279,73988,166145,10,5,11,13,0,0,[5 -15 -10 -35 -20 -35 -35 -45 -40 ]
White,44-40 1,807803,69142,155686,9,4,11,12,0,0,[5 -35 -20 -35 -35 -45 -40 -40 ]
White,40-35 1,788610,33233,159051,9,2,11,12,0,0,[-5 -35 -35 -45 -40 -40 -40 -45 ]
White,26-21 1,796811,53825,180756,9,4,11,12,0,0,[10 -5 -5 -35 -20 -45 -40 -35 ]
White,28-22 1,763564,22520,183553,9,4,10,12,0,0,[-65 -75 -40 -50 -40 -35 -35 -30 ]
White,22x31 1,1202740,398981,202017,12,8,10,12,0,0,[-40 -50 -35 -35 -20 -30 -45 -35 -35 -55 -50 ]
White,42x31 1,1199403,398948,201533,10,6,9,11,0,0,[-35 -35 -20 -30 -45 -35 -35 -55 -50 ]
White,31-26 1,966977,146169,172065,8,6,9,10,0,0,[5 -5 -10 -20 -35 -55 -40 ]
White,45-40 1,955438,133023,184791,8,5,9,10,0,0,[-20 -20 -35 -55 -40 -60 -70 ]
White,40-34 1,839536,38853,161453,8,5,9,10,0,0,[-40 -50 -40 -60 -70 -90 -95 ]
White,26-21 1,1090951,307100,213342,8,7,9,10,0,0,[5 -5 -20 -70 -85 -95 -75 ]
White,36-31 1,1062271,228611,201958,8,6,8,10,0,0,[-70 -80 -90 -95 -75 -90 -105 ]
White,31-26 1,1044429,272631,210416,8,7,8,10,0,0,[-70 -80 -70 -90 -105 -125 -140 ]
White,46-41 1,906869,76024,166376,9,6,8,10,0,0,[-70 -80 -105 -125 -140 -160 -150 -155 ]
White,41-36 1,884892,57410,146420,8,4,8,10,0,0,[-130 -140 -130 -150 -145 -155 -155 ]
White,47-42 1,980622,181973,211999,9,6,8,10,0,0,[-110 -120 -135 -155 -155 -175 -165 -155 ]
White,42-37 1,1072012,253213,237866,9,7,8,10,0,0,[-185 -195 -145 -145 -125 -135 -160 -175 ]
White,36x47 1,969014,94275,205595,11,7,7,10,0,0,[-145 -145 -125 -135 -160 -175 -165 -185 -175 -175 ]
White,47-42 1,926495,83362,225638,9,6,7,9,0,0,[-125 -135 -160 -175 -165 -185 -175 -175 ]
White,34-30 1,1052861,170864,261832,11,7,7,9,0,0,[-140 -150 -160 -185 -175 -160 -160 -150 -150 -100 ]
White,42-38 1,1128043,206751,268219,12,8,6,9,0,0,[-160 -185 -175 -160 -160 -150 -150 -100 -125 -135 -110 ]
White,48x39x30x19 1,1252931,208833,311345,12,7,5,9,0,0,[-175 -160 -160 -150 -150 -100 -125 -135 -110 -110 -135 ]
