sep=,
pieceWeight=25 crownWeight=25 sideWeight=25 kingLaneWeight=75 tandemWeight=5 centerWeight=10 winWeight=1000 
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
Black,17-21 2,744587,0,149383,9,0,20,20,0,0,[0 0 0 0 0 5 0 5 ]
Black,12x21 2,747601,0,153355,9,0,20,19,0,0,[-10 -5 -10 0 0 5 -5 0 ]
Black,8-12 2,754731,0,165027,9,0,19,19,0,0,[5 15 0 10 -5 10 -5 5 ]
Black,18x29 2,786879,0,157647,11,0,19,19,0,0,[-20 5 -20 -5 5 25 0 5 15 20 ]
Black,19x28 2,792063,0,164089,10,0,18,18,0,0,[-20 -5 5 25 0 5 15 20 10 ]
Black,12-17 2,791892,0,164058,8,0,17,17,0,0,[5 25 0 5 15 20 10 ]
Black,13-18 2,787614,0,162074,8,0,17,17,0,0,[-5 15 10 20 10 20 10 ]
Black,17x8 2,786719,0,155319,8,0,17,16,0,0,[0 15 10 15 10 15 10 ]
Black,20-25 2,796712,0,150976,8,0,16,16,0,0,[15 30 10 15 10 10 10 ]
Black,7-12 2,790573,0,156768,10,0,16,16,0,0,[0 5 -5 10 10 10 10 10 5 ]
Black,12x21 2,793068,0,152293,8,0,16,15,0,0,[-5 10 10 10 10 10 5 ]
Black,11-17 2,796531,0,146664,7,0,15,15,0,0,[10 10 10 10 10 10 ]
Black,14-20 2,784513,0,148822,7,0,15,15,0,0,[10 20 5 15 0 0 ]
Black,8-13 2,801806,0,159791,8,0,15,15,0,0,[-10 0 -10 0 0 -5 -10 ]
Black,25x34 2,814282,0,136024,9,0,15,15,0,0,[-5 10 0 0 -10 -5 -10 5 ]
Black,13-18 2,823570,0,144608,7,0,14,14,0,0,[5 10 -5 -5 -10 5 ]
Black,18-22 2,831428,0,131994,8,0,14,14,0,0,[-20 -5 -10 5 -5 10 5 ]
Black,9x20 2,853118,0,130164,8,0,14,13,0,0,[-10 5 -5 10 5 5 -10 ]
Black,10-14 2,855492,0,145717,7,0,13,13,0,0,[5 5 0 10 -5 -10 ]
Black,20-24 2,837666,0,135128,7,0,13,13,0,0,[-20 0 -5 5 -15 0 ]
Black,14-20 2,812489,0,125650,7,0,13,13,0,0,[-20 5 -5 5 -10 0 ]
Black,21-27 2,821237,0,120935,7,0,13,13,0,0,[0 25 -5 10 -5 15 ]
Black,22x13 2,787771,0,126958,8,0,13,13,0,0,[5 20 -5 15 10 35 20 ]
Black,24x33 2,833403,0,134699,9,0,12,13,0,0,[-5 15 10 35 20 35 35 45 ]
Black,13-18 2,831119,0,134189,7,0,11,12,0,0,[10 35 20 35 35 45 ]
Black,20-25 2,819510,0,131607,7,0,11,12,0,0,[20 35 35 45 40 40 ]
Black,15-20 2,813207,0,128553,7,0,11,12,0,0,[35 45 40 40 40 45 ]
Black,17x26 2,828961,0,166254,9,0,11,12,0,0,[65 75 40 50 40 35 35 30 ]
Black,18-23 2,875983,0,178322,9,0,10,12,0,0,[40 50 40 35 35 30 45 35 ]
Black,26x37 2,914976,0,188343,9,0,10,11,0,0,[35 35 20 30 45 35 35 55 ]
Black,16-21 2,919832,0,190372,7,0,9,10,0,0,[20 30 45 35 35 55 ]
Black,21-27 2,926157,0,167400,8,0,9,10,0,0,[20 20 35 55 40 60 70 ]
Black,20-24 2,892820,0,159054,7,0,9,10,0,0,[40 55 40 60 70 90 ]
Black,6-11 2,870710,0,150993,7,0,9,10,0,0,[40 60 70 90 95 95 ]
Black,27x16 2,957185,0,170688,8,0,9,10,0,0,[70 80 90 95 75 90 105 ]
Black,11-17 2,918144,0,194545,8,0,8,10,0,0,[90 95 75 90 105 130 140 ]
Black,17-22 2,901501,0,184285,7,0,8,10,0,0,[70 90 105 125 140 160 ]
Black,22-27 2,884040,0,175499,7,0,8,10,0,0,[140 150 140 160 150 155 ]
