sep=,
pieceWeight=25 crownWeight=125 pruningWindow=10 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
Black,16-21 2,7404287,278746,427424,14,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 ],2000
Black,11-16 2,8125803,335990,467120,15,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],1997
Black,6-11 2,6373689,322943,455789,14,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 ],1999
Black,21x32 2,6035947,387746,490317,15,6,20,20,0,0,[25 15 5 0 10 0 10 0 0 0 0 0 0 0 ],1999
Black,1-6 2,6406638,471179,455423,12,4,19,19,0,0,[0 0 10 0 10 0 0 0 0 0 0 ],1999
Black,17-21 2,5064337,432015,457271,12,2,19,19,0,0,[0 0 10 0 0 0 0 0 0 0 0 ],1999
Black,11x22 2,10691223,474662,534423,14,0,19,18,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 ],2000
Black,6-11 2,7718026,454733,456353,12,0,18,18,0,0,[0 0 0 0 0 0 0 0 0 0 0 ],1999
Black,11-17 2,6537992,424296,479084,13,0,18,18,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],2128
Black,7-11 2,6653387,384157,474587,13,0,18,18,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],2121
Black,2-7 2,3949066,289159,497959,13,0,18,18,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1998
Black,16-21 2,4435269,264718,427815,14,8,18,18,0,0,[0 0 0 0 10 20 30 40 50 60 70 60 60 ],2067
Black,22-28 2,3018624,232316,472421,14,8,18,17,0,0,[-25 -25 -15 -5 5 15 25 35 45 55 55 55 55 ],2102
Black,18x27x36x47 4,4169043,207440,470514,13,5,18,16,0,0,[150 150 150 150 150 140 130 120 130 125 125 115 ],1999
Black,17-21 2,3432409,209698,444779,12,2,15,16,0,1,[150 150 150 150 150 150 150 140 140 130 125 ],2090
Black,11-16 2,3885614,205073,482591,11,1,15,15,0,1,[125 125 125 125 125 125 125 125 125 115 ],2089
Black,47x38 4,5122801,352361,470388,15,12,15,15,0,1,[150 140 130 120 110 100 90 80 70 60 50 40 30 25 ],2085
Black,20-25 2,4238491,280943,507608,12,4,14,14,0,0,[0 0 0 0 10 20 25 25 15 25 25 ],2087
Black,15-20 2,4173136,317639,469568,12,2,14,14,0,0,[0 0 0 0 10 20 25 25 25 25 25 ],2020
Black,16-21 2,4608551,314002,482833,13,2,14,14,0,0,[0 0 0 0 10 20 25 25 25 25 25 25 ],2016
Black,10-15 2,6758172,380655,476898,13,0,14,13,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],2047
Black,4-10 2,5332868,340894,487921,13,0,14,13,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],2030
Black,12-17 2,4875372,335350,496427,13,0,14,13,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],2077
Black,7-11 2,4216792,267930,510452,13,0,14,13,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],2078
Black,17-21 2,5512980,273081,489787,15,4,14,12,0,0,[-50 -60 -50 -50 -40 -30 -25 -25 -25 -25 -25 -25 -25 -25 ],2053
Black,19-23 2,15773835,415393,516166,17,7,14,11,0,0,[-75 -85 -75 -65 -55 -45 -35 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],2095
Black,13x22x11x2 2,83554528,723284,556524,17,0,14,10,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],1999
