sep=,
unoccupiedPromotionLineFieldsWeight=1 pawnWeight=1 kingWeight=1 safePawnWeight=1 safeKingWeight=1 aggregatedDistanceOfPawnToPromotionLineWeight=1 defenderPieceWeight=1 attackPawnWeight=1 centerPawnWeight=1 centerKingWeight=1 mainDiagonalPawnWeight=1 mainDiagonalKingWeight=1 doubleDiagonalPawnWeight=1 doubleDiagonalKingWeight=1 lonerPawnWeight=1 lonerKingWeight=1 holeWeight=1 pruningWindow=10 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
Black,19-24 2,5424701,240772,416478,12,0,20,20,0,0,[2 0 2 0 2 0 2 0 2 0 2 ],1982
Black,13x24 2,12264417,295340,399515,12,0,20,19,0,0,[2 0 2 -1 1 -1 1 -1 2 -1 1 ],1997
Black,20-25 2,7832252,288625,425125,12,0,19,19,0,0,[2 2 3 1 3 0 3 0 3 0 3 ],1998
Black,15x24 2,12363501,340094,422737,12,0,19,18,0,0,[3 1 3 1 3 0 3 0 3 0 2 ],1999
Black,14-19 2,9671559,308385,434967,11,0,18,18,0,0,[5 3 4 1 4 2 4 1 3 1 ],1999
Black,10-15 2,7308226,270398,432191,11,0,18,18,0,0,[6 4 5 3 5 3 5 2 4 2 ],1999
Black,24-30 2,6850046,257568,441997,11,0,18,18,0,0,[7 5 6 4 6 4 6 3 5 3 ],1999
Black,8-13 2,6492048,277155,428605,11,0,18,18,0,0,[6 4 6 4 6 4 6 3 5 3 ],1999
Black,18-22 2,6555046,278763,435981,11,0,18,18,0,0,[7 5 7 5 6 4 6 3 6 3 ],1998
Black,12x23 2,6022864,299465,425514,12,0,18,17,0,0,[7 5 6 4 6 3 6 3 5 2 4 ],1999
Black,9-14 2,7771340,302717,441688,11,0,17,17,0,0,[8 6 7 5 7 5 7 4 6 4 ],1999
Black,4-10 2,6666952,283984,437838,11,0,17,17,0,0,[11 9 10 7 10 8 9 6 8 5 ],1999
Black,23-28 2,4225562,246784,446252,12,0,17,17,0,0,[9 7 8 6 7 4 8 6 7 5 7 ],1999
Black,19x28 2,8699908,351716,437578,12,0,17,16,0,0,[8 6 7 2 8 6 7 5 7 5 6 ],2000
Black,30x39x50 4,7230022,336871,410542,12,0,16,16,0,0,[13 9 13 11 12 9 10 8 10 8 11 ],2151
Black,17x28 2,5415097,319166,405829,11,0,14,15,0,1,[13 11 12 9 10 8 10 8 11 9 ],2095
Black,28-33 2,5179540,250979,406948,10,0,13,15,0,1,[12 11 13 12 13 9 11 10 13 ],2111
Black,33x24 2,6498202,290681,411280,12,0,13,15,0,1,[12 11 12 10 11 10 13 10 11 10 13 ],2036
Black,13-18 2,6030508,254245,402390,10,0,12,15,0,1,[14 13 15 14 15 13 15 13 16 ],2087
Black,18-23 2,5959833,233238,394735,10,0,12,15,0,1,[16 14 16 15 17 16 17 15 17 ],2055
