sep=,
pieceWeight=25 crownWeight=125 
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
Black,16-21 2,2157395,0,537916,12,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 ],1991
Black,11-16 2,2521917,0,503711,11,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 ],1999
Black,18x29 2,2225794,0,612638,14,0,20,20,0,0,[0 25 0 0 0 0 0 0 0 0 0 0 0 ],2001
Black,19x28 2,3052937,0,562362,14,0,19,19,0,0,[-25 0 0 0 0 0 0 0 0 0 0 0 0 ],2000
Black,6x17 2,3042335,0,557165,12,0,18,17,0,0,[0 0 0 0 0 0 0 0 0 0 0 ],1998
Black,1-6 2,2246341,0,665258,10,0,17,17,0,0,[0 0 0 0 0 0 0 0 0 ],2000
Black,7-11 2,2240610,0,672106,10,0,17,17,0,0,[0 0 0 0 0 0 0 0 0 ],2000
Black,2-7 2,2177125,0,660992,10,0,17,17,0,0,[0 0 0 0 0 0 0 0 0 ],2000
Black,13-18 2,2195556,0,596467,10,0,17,17,0,0,[0 25 0 25 0 0 0 0 0 ],2000
Black,18x29 2,2159802,0,666586,12,0,17,17,0,0,[0 0 0 0 0 0 0 0 0 0 0 ],2001
Black,8-13 2,2177260,0,674713,10,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 ],2000
Black,3-8 2,2262770,0,625065,10,0,16,16,0,0,[0 25 0 25 0 0 0 0 0 ],2000
Black,13-18 2,2213799,0,690288,10,0,16,16,0,0,[0 25 0 0 0 0 0 0 0 ],2003
Black,18x29 2,2221845,0,720481,12,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 ],2000
Black,8-13 2,2409266,0,746071,11,0,15,15,0,0,[0 0 0 0 0 0 0 0 0 0 ],2000
Black,13-18 2,2663408,0,639684,11,0,15,15,0,0,[0 25 0 0 0 0 0 0 0 0 ],2001
Black,18x29 2,2941871,0,583033,11,0,15,15,0,0,[25 25 0 0 0 0 0 25 0 25 ],2000
Black,9-13 2,2702450,0,587645,12,0,14,15,0,0,[0 0 0 0 0 25 0 25 0 0 0 ],2000
Black,4-9 2,2197916,0,692630,11,0,14,14,0,0,[0 0 0 0 0 0 0 0 0 0 ],2000
Black,12-18 2,2240983,0,719971,10,0,14,14,0,0,[0 0 0 0 0 0 0 0 0 ],2001
Black,7-12 2,2130139,0,705073,10,0,14,14,0,0,[0 0 0 0 0 0 0 0 0 ],1999
Black,13-19 2,2090142,0,655502,11,0,14,14,0,0,[0 0 0 0 0 0 0 0 0 0 ],2000
Black,18x29x38 2,1808074,0,617477,13,0,14,14,0,0,[50 50 25 25 0 0 -25 0 -50 -50 -50 -50 ],2000
Black,17x28 2,2410534,0,567524,12,0,12,14,0,0,[25 25 0 0 -25 0 -50 -25 -25 -25 -25 ],2000
Black,9-13 2,2443038,0,575115,10,0,11,12,0,0,[0 0 -25 0 -50 -25 -25 -25 -25 ],2001
Black,19-23 2,1926246,0,469049,10,0,11,12,1,0,[-100 -100 -125 -25 -25 -25 -25 -25 -25 ],2000
Black,23-29 2,2214287,0,429929,10,0,11,10,1,0,[-150 -25 -25 -25 -25 -25 -25 -25 -25 ],2000
Black,20x29 2,2527154,0,643758,12,0,11,9,1,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],2000
Black,28x37 2,2554116,0,587948,13,0,10,9,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],2000
Black,11-17 2,3021440,0,625116,11,0,9,8,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],2000
Black,6-11 2,2866930,0,687459,11,0,9,8,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],2000
Black,29x40 2,3171759,0,715896,13,0,9,8,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],2001
Black,14-19 2,3247519,0,721508,11,0,8,7,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],2000
Black,10-14 2,2616406,0,865839,10,0,8,7,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 ],2000
Black,5-10 2,2589153,0,845405,11,0,8,7,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],2000
Black,14-20 2,2997536,0,600206,11,0,8,7,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],2000
Black,10-14 2,2675919,0,756896,12,0,8,7,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],2000
Black,16-21 2,2613410,0,784638,12,0,8,7,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],1999
Black,11-16 2,2785839,0,635926,11,0,8,7,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],2000
Black,19x28 2,2406355,0,678931,13,0,8,7,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -50 -25 ],2000
Black,17-22 2,2669222,0,680978,12,0,7,6,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -50 -25 -50 ],2001
Black,21x32 2,2603934,0,869422,13,0,7,5,0,0,[-25 -25 -25 -25 -25 -25 -50 -25 -50 -50 -50 -50 ],2000
Black,16-21 2,2975229,0,714391,12,0,6,5,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],2000
Black,14-19 2,2691148,0,686152,12,0,6,5,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],2001
Black,19-24 2,2878197,0,796647,12,0,6,5,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],2000
Black,20-25 2,2675153,0,734998,14,0,6,5,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -50 -25 -50 ],2000
Black,15x24 2,3162051,0,886045,13,0,6,4,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -50 -25 -50 -25 ],2000
Black,32-37 2,2920356,0,890189,13,0,5,4,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -50 -25 ],2001
Black,21-26 2,2342370,0,733166,13,0,5,4,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -50 -25 -50 -25 ],2000
