sep=,
unoccupiedPromotionLineFieldsWeight=30 pawnWeight=40 kingWeight=120 safePawnWeight=5 safeKingWeight=15 aggregatedDistanceOfPawnToPromotionLineWeight=3 defenderPieceWeight=5 attackPawnWeight=10 centerPawnWeight=10 centerKingWeight=15 mainDiagonalPawnWeight=10 mainDiagonalKingWeight=15 doubleDiagonalPawnWeight=10 doubleDiagonalKingWeight=15 lonerPawnWeight=0 lonerKingWeight=0 holeWeight=0 
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
White,32-28 1,2127163,0,500777,9,0,20,20,0,0,[0 12 0 8 -5 11 -9 16 ],1999
White,31-26 1,2237992,0,546486,9,0,20,20,0,0,[10 22 0 18 -5 16 -5 21 ],2000
White,28-23 1,2318575,0,544012,10,0,20,20,0,0,[30 42 16 46 29 41 19 46 20 ],2000
White,34x23 1,2762597,0,536945,11,0,19,20,0,0,[-32 62 39 41 29 46 39 46 28 42 ],2000
White,33x22x11 1,2828160,0,542831,10,0,18,19,0,0,[39 41 29 46 39 46 28 42 20 ],1999
White,38-33 1,2774743,0,533669,8,0,17,17,0,0,[29 46 39 46 28 42 20 ],2000
White,33-28 1,2739730,0,518176,8,0,17,17,0,0,[79 81 69 76 59 76 59 ],2000
White,43-38 1,2695804,0,498379,8,0,17,17,0,0,[84 81 74 86 69 81 59 ],2000
White,28-23 1,2499106,0,520349,9,0,17,17,0,0,[109 116 104 121 90 111 93 109 ],2001
White,39-34 1,2661091,0,525431,10,0,17,17,0,0,[57 106 94 96 89 116 99 106 84 ],2001
White,34x23 1,2737464,0,493409,10,0,16,17,0,0,[94 96 89 116 99 106 84 91 79 ],2001
White,44-39 1,2786653,0,537432,9,0,16,16,0,0,[99 116 104 106 84 93 79 96 ],2000
White,35-30 1,2448306,0,601743,9,0,16,16,0,0,[134 151 139 141 124 131 124 136 ],2000
White,39-34 1,2545818,0,533059,10,0,16,16,0,0,[87 136 124 131 124 136 119 133 119 ],2000
White,34x23 1,2705204,0,532965,11,0,15,16,0,0,[124 126 114 131 119 131 119 131 112 123 ],2000
White,38-32 1,2542668,0,706046,10,0,15,15,0,0,[134 146 119 141 124 131 121 131 106 ],2000
White,42-38 1,3011735,0,583937,10,0,15,15,0,0,[97 118 101 130 106 130 111 123 106 ],2000
White,30-24 1,2548178,0,671752,10,0,14,15,0,0,[82 113 106 123 111 123 106 113 96 ],2000
White,24x33 1,2885337,0,580313,10,0,14,15,0,0,[116 133 126 138 117 134 107 124 106 ],2000
White,33-29 1,2478041,0,702790,9,0,14,14,0,0,[171 178 171 183 157 174 161 171 ],2000
White,38-33 1,2314975,0,629904,9,0,14,14,0,0,[181 193 170 184 161 178 156 170 ],2000
White,32-28 1,2223827,0,709876,10,0,14,14,0,0,[186 198 176 188 170 182 155 173 146 ],2000
White,29-23 1,2245906,0,592591,11,0,14,14,0,0,[176 188 157 176 155 187 151 178 158 189 ],2000
