sep=,
pieceWeight=25 crownWeight=125 winWeight=2000 pruningWindow=10 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
Black,16-21 2,2530851,132953,218019,13,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1998
Black,11-16 2,7739776,226047,237320,14,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 ],2000
Black,6-11 2,3635838,189795,261817,14,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 ],1999
Black,1-6 2,3299776,178338,268010,13,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1999
Black,18-22 2,5767492,213803,241196,14,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 ],1999
Black,12-18 2,3359165,167819,267521,13,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],2000
Black,7-12 2,2996161,155532,287467,13,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1999
Black,2-7 2,2979343,148850,282559,13,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],2000
Black,19-23 2,3060075,160043,237480,14,2,20,20,0,0,[0 0 10 0 0 0 0 0 0 0 0 0 0 ],1998
Black,13-19 2,2665616,151397,259480,15,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],1999
Black,22x31 2,2710336,165925,251330,16,2,20,20,0,0,[25 15 5 0 0 0 0 0 0 0 0 0 0 0 0 ],1999
Black,8-13 2,2914496,175095,260648,14,0,19,19,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 ],1999
Black,3-8 2,3048123,190076,266206,15,2,19,19,0,0,[0 0 0 0 0 0 0 -10 0 0 0 0 0 0 ],1999
Black,23-28 2,2605990,170787,251437,15,2,19,19,0,0,[0 0 0 0 0 -10 0 0 0 0 0 0 0 0 ],1999
Black,19x28 2,4365957,231304,285087,17,4,19,18,0,0,[0 -10 0 -10 0 0 0 0 0 0 0 0 0 0 0 0 ],1999
Black,17x28 2,3280692,232095,286469,15,2,18,17,0,0,[0 -10 0 0 0 0 0 0 0 0 0 0 0 0 ],1999
Black,12x21x32 2,3358441,252485,218115,14,2,17,16,0,0,[25 15 5 0 0 0 0 0 0 0 0 0 0 ],2030
Black,18-23 2,3358010,252471,218081,12,0,15,15,0,0,[0 0 0 0 0 0 0 0 0 0 0 ],1999
Black,13x22 2,6386348,280129,239678,15,8,15,14,0,0,[0 -10 -20 -25 -15 -5 0 0 0 -10 0 -10 0 0 ],2000
Black,8-12 2,6374692,278602,238298,13,6,14,13,0,0,[-25 -25 -15 -5 0 0 0 -10 0 -10 0 0 ],2068
Black,12x23 2,6361990,225251,249859,13,2,14,13,0,0,[0 0 0 0 0 0 0 -10 0 0 0 0 ],1999
Black,7-12 2,3040104,190560,236198,12,2,13,13,0,0,[0 0 10 0 0 0 0 0 0 0 0 ],1999
Black,9-13 2,2301359,177328,269182,13,2,13,13,0,0,[0 -10 0 0 0 0 0 0 0 0 0 0 ],2000
Black,12-17 2,4916034,233939,253798,12,8,13,12,0,0,[-25 -25 -15 -5 0 -10 0 -10 0 -10 0 ],2000
Black,17x28 2,5705349,213408,274597,13,0,13,12,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],2000
Black,4-9 2,4145359,227021,274293,13,0,12,12,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1999
Black,11-17 2,3208580,183666,263642,13,2,12,12,0,0,[0 0 10 0 0 0 0 0 0 0 0 0 ],1999
Black,28-32 2,2392618,171520,270213,13,4,12,12,0,0,[0 -10 0 -10 0 0 0 0 0 0 0 0 ],1999
Black,32x43 2,4286479,229507,286218,15,2,12,11,0,0,[0 -10 0 0 0 0 0 0 0 0 0 0 0 0 ],2000
Black,6x17 2,41304610,405451,331191,16,0,11,10,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],1999
Black,23x34 2,9957359,384250,316162,15,2,10,10,0,0,[25 15 5 0 0 0 0 0 0 0 0 0 0 0 ],1999
Black,13-18 2,10014169,385146,316911,13,0,9,9,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1999
Black,9-13 2,8375142,345467,322702,13,0,9,9,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],2000
Black,13-19 2,5911536,319620,317135,13,0,9,9,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],2000
Black,16-21 2,4910215,320382,303941,12,0,9,9,0,0,[0 0 0 0 0 0 0 0 0 0 0 ],1999
Black,20-24 2,3761177,250121,295579,12,2,9,9,0,0,[0 0 10 20 25 25 25 25 25 25 25 ],2000
Black,24x35 2,15004502,371969,328866,15,0,9,9,0,0,[25 25 25 25 25 25 25 25 25 25 25 25 25 25 ],1999
Black,19x30 2,7755676,327962,302666,14,2,8,9,0,0,[50 40 30 25 25 25 25 25 25 25 25 25 25 ],2072
Black,14-19 2,7552787,321633,297794,12,0,7,8,0,0,[25 25 25 25 25 25 25 25 25 25 25 ],1999
Black,10-14 2,4789927,265162,313705,12,0,7,8,0,0,[25 25 25 25 25 25 25 25 25 25 25 ],2075
Black,5-10 2,3617704,261147,312265,12,2,7,8,0,0,[25 25 35 45 50 50 50 50 50 50 50 ],1999
Black,21-27 2,3639869,246522,326591,11,4,7,8,0,0,[25 25 25 25 35 25 25 35 45 45 ],1999
Black,18-23 2,3556147,227595,319779,12,2,7,8,0,0,[25 25 35 45 50 50 50 50 50 50 50 ],1999
Black,23x32x43 2,9700322,383339,328258,15,2,7,8,0,0,[75 65 55 50 50 50 50 50 50 50 50 50 50 50 ],1999
Black,14-20 2,9721542,383685,328496,13,0,5,7,0,0,[50 50 50 50 50 50 50 50 50 50 50 50 ],1999
Black,10-14 2,4706969,304233,353410,13,0,5,7,0,0,[50 50 50 50 50 50 50 50 50 50 50 50 ],1999
Black,17-22 2,5759633,272805,406795,14,1,5,7,0,0,[50 50 50 50 50 50 50 50 50 50 50 50 60 ],2000
Black,20-25 2,4763559,342891,382556,14,4,5,7,0,0,[50 50 50 50 50 50 60 50 60 70 75 75 75 ],2000
Black,15-20 2,4332478,281169,436291,14,5,5,7,0,0,[50 50 50 50 50 50 50 50 60 50 60 50 60 ],1999
Black,19-24 2,6815088,328745,325397,15,6,5,7,0,0,[50 50 50 50 60 50 60 70 75 75 75 75 85 95 ],1999
Black,14-19 2,6888984,270383,470495,16,9,5,7,0,0,[50 50 50 50 50 50 60 50 60 50 60 70 80 90 100 ],1999
Black,20x9 2,17527006,359890,506150,17,6,5,6,0,0,[50 50 50 50 50 50 50 50 50 50 60 70 80 90 100 110 ],1999
Black,27x36 2,612853572,764956,431445,25,16,4,6,0,0,[75 75 75 75 75 75 85 95 100 100 110 120 130 140 150 160 170 180 190 200 210 220 230 240 ],1999
Black,35x44 2,7105,362,1227,39,36,3,6,0,0,[100 100 110 120 130 140 150 160 170 180 190 200 210 220 230 240 250 260 270 280 290 300 310 320 330 340 350 360 370 380 390 400 410 420 430 440 450 460 ],20
Black,36x47x38 2,76,0,0,39,0,2,6,0,0,[2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 2150 ],17
White,31-26 1,4495146,175796,241594,13,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1999
White,26x17 1,9134697,275520,263594,16,2,20,20,0,0,[25 15 5 0 0 0 0 0 0 0 0 0 0 0 0 ],1999
White,32-27 1,9430420,271863,268108,14,0,19,19,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 ],1999
White,36x27 1,4284291,214383,277539,13,0,18,19,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1999
White,33-28 1,4994335,214472,237233,12,0,18,18,0,0,[0 0 0 0 0 0 0 0 0 0 0 ],2000
White,37-31 1,2718351,163601,254417,11,0,18,18,0,0,[0 0 0 0 0 0 0 0 0 0 ],2000
White,38-32 1,4686237,261612,282114,12,0,18,18,0,0,[0 0 0 0 0 0 0 0 0 0 0 ],1999
White,28x19 1,3892255,188901,222615,14,4,18,18,0,0,[25 15 5 0 10 0 0 0 0 0 0 0 0 ],2035
White,31-26 1,4284227,215011,247925,13,2,17,17,0,0,[0 0 10 0 0 0 0 0 0 0 0 0 ],2022
White,26x17 1,2863150,215445,223771,14,3,17,17,0,0,[25 15 5 -5 0 0 0 0 0 0 0 0 0 ],2003
White,32-28 1,2893767,216239,224441,12,2,15,16,0,0,[-25 -25 -15 -5 0 0 0 0 0 0 0 ],2015
White,34-29 1,4117959,175795,224697,11,4,14,16,0,0,[-50 -50 -40 -30 -25 -25 -25 -25 -15 -25 ],2011
White,29x18 1,3580250,234951,226043,13,8,14,16,0,0,[-25 -35 -45 -50 -40 -30 -20 -10 0 0 0 -10 ],2000
White,35-30 1,3586581,235419,227168,11,6,13,15,0,0,[-50 -50 -40 -30 -20 -10 0 0 0 -10 ],1999
White,39x30 1,3106454,245519,234027,10,2,12,15,0,0,[-50 -50 -50 -50 -50 -50 -40 -30 -25 ],1999
White,30-24 1,4893960,230024,235666,12,2,12,14,0,0,[-50 -50 -40 -30 -25 -25 -25 -25 -25 -25 -25 ],1999
White,24-19 1,3760725,241172,296323,12,2,12,14,0,0,[-50 -50 -40 -30 -25 -25 -25 -25 -25 -25 -25 ],2000
White,40-34 1,8889862,286351,248138,12,9,11,14,0,0,[-75 -75 -65 -55 -45 -35 -25 -35 -25 -35 -45 ],1999
White,34-29 1,6246096,278546,217222,11,2,11,14,0,0,[-75 -75 -65 -55 -50 -50 -50 -50 -50 -50 ],2000
White,41-37 1,4476874,285237,271108,11,2,11,14,0,0,[-75 -75 -65 -55 -50 -50 -50 -50 -50 -50 ],1999
White,46x37x26 1,2807163,255325,253208,11,0,10,14,0,0,[-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 ],1999
White,42-37 1,3517657,245702,249028,11,0,10,12,0,0,[-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 ],1998
White,26-21 1,4410950,255555,262093,11,0,10,12,0,0,[-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 ],1999
White,43-39 1,4844897,310130,250350,13,4,10,12,0,0,[-50 -60 -70 -75 -65 -55 -50 -50 -50 -50 -50 -50 ],1998
White,47-41 1,4641399,298539,266357,13,4,9,12,0,0,[-75 -75 -65 -75 -65 -55 -50 -50 -50 -50 -50 -50 ],1999
White,39-33 1,4748991,236100,275909,13,7,9,12,0,0,[-75 -75 -65 -55 -45 -35 -25 -25 -25 -35 -45 -50 ],1999
White,37x28x17 1,5126126,281856,267003,14,4,8,12,0,0,[-50 -50 -40 -30 -25 -25 -25 -35 -45 -50 -50 -50 -50 ],1998
White,48x39 1,3376614,270408,244521,11,1,8,10,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -35 ],1997
White,17-11 1,4331860,252419,282307,11,1,8,9,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -35 ],1998
White,29-23 1,4541151,286297,293748,11,0,7,9,0,0,[-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 ],1997
White,41-36 1,4912501,340817,237336,11,0,7,9,0,0,[-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 ],2007
White,49-43 1,4312433,332773,264517,10,2,7,9,0,0,[-50 -50 -50 -60 -50 -50 -50 -50 -50 ],1998
White,23-18 1,6974015,331434,294790,10,2,7,9,0,0,[-50 -50 -50 -50 -50 -50 -50 -60 -70 ],1999
White,36x27 1,6596925,292001,262607,13,9,7,9,0,0,[-25 -25 -25 -35 -45 -55 -65 -75 -85 -95 -105 -115 ],1998
White,18-12 1,10274254,238283,244085,12,10,7,8,0,0,[-25 -35 -45 -55 -65 -75 -85 -95 -105 -115 -125 ],1998
White,12-7 1,3918461,391902,226912,10,2,7,8,0,1,[-150 -150 -150 -160 -170 -175 -175 -175 -175 ],1999
White,45-40 1,5971091,337686,279055,10,2,6,8,0,1,[-175 -175 -175 -175 -175 -175 -175 -185 -175 ],1998
White,39-34 1,3789164,328779,235515,11,4,6,8,0,1,[-175 -175 -175 -175 -175 -185 -175 -185 -195 -200 ],1999
White,27-21 1,6375740,474634,255091,12,2,6,8,0,1,[-175 -175 -175 -185 -195 -200 -200 -200 -200 -200 -200 ],1999
White,43-38 1,9092152,619939,226664,10,0,5,8,0,1,[-200 -200 -200 -200 -200 -200 -200 -200 -200 ],1998
White,38-33 1,6567920,425321,273131,12,0,5,8,0,1,[-200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 ],2010
White,33-29 1,4746739,503027,219423,10,0,5,8,0,1,[-200 -200 -200 -200 -200 -200 -200 -200 -200 ],2055
White,29-23 1,5563611,422012,243048,10,4,5,8,0,1,[-200 -200 -200 -200 -200 -210 -200 -210 -220 ],2033
White,34-29 1,12681568,590254,262830,11,5,4,8,0,1,[-225 -225 -225 -225 -225 -235 -225 -235 -245 -255 ],2062
White,29-23 1,9007937,460147,292398,11,4,4,8,0,1,[-225 -225 -225 -225 -225 -235 -245 -255 -250 -260 ],2047
White,23-18 1,6235807,337253,371974,11,7,4,8,0,1,[-225 -225 -225 -235 -245 -255 -265 -275 -285 -295 ],1998
White,18-12 1,75770286,250860,299213,13,11,4,8,0,1,[-225 -235 -245 -255 -265 -275 -285 -295 -305 -315 -325 -335 ],1997
White,40-34 1,813411620,519592,222944,11,4,4,8,0,2,[-350 -350 -350 -360 -350 -360 -370 -375 -375 -375 ],1998
