sep=,
pieceWeight=25 crownWeight=125 pruningWindow=10 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
Black,16-21 2,4539823,236756,442608,13,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1976
Black,21x32 2,8547473,408769,436141,15,2,20,20,0,0,[25 15 5 0 0 0 0 0 0 0 0 0 0 0 ],1992
Black,11-16 2,7578016,400692,481323,13,0,19,19,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1953
Black,17x26 2,7293546,362689,486677,14,0,19,19,0,0,[25 25 25 25 25 25 25 25 25 25 25 25 25 ],1971
Black,18x27 2,10409704,366068,457130,14,6,18,19,0,0,[50 50 50 50 50 40 50 40 50 50 50 40 50 ],1963
Black,6-11 2,8405804,357292,431942,12,2,17,19,0,0,[50 50 50 50 50 50 50 50 50 40 50 ],1965
Black,27x18 2,23237432,504816,492401,15,0,17,19,0,0,[75 75 75 75 75 75 75 75 75 75 75 75 75 75 ],1979
Black,1-6 2,9939442,417093,491153,13,0,16,19,0,0,[75 75 75 75 75 75 75 75 75 75 75 75 ],1967
Black,18x29 2,7703938,424419,475782,15,0,16,19,0,0,[100 100 100 100 100 100 100 100 100 100 100 100 100 100 ],1980
Black,11-17 2,5594976,398612,486193,13,0,15,19,0,0,[100 100 100 100 100 100 100 100 100 100 100 100 ],1980
Black,19x30 2,4484619,360658,465456,12,2,15,19,0,0,[125 125 125 115 105 100 100 100 100 100 100 ],1980
Black,26x37 2,4633102,344781,476366,12,4,14,19,0,0,[150 140 130 125 125 115 125 125 125 125 125 ],1982
Black,30-35 2,4143532,346242,464592,11,2,13,18,0,0,[125 125 125 115 125 125 125 125 125 125 ],1979
Black,6-11 2,4204948,380115,497779,13,0,13,18,0,0,[125 125 125 125 125 125 125 125 125 125 125 125 ],1963
Black,16x27 2,4795890,358011,493197,14,2,13,18,0,0,[150 150 150 140 150 150 150 150 150 150 150 150 150 ],1981
Black,27x38 2,11745217,537381,514475,17,2,12,18,0,0,[175 165 155 150 150 150 150 150 150 150 150 150 150 150 150 150 ],2135
Black,20x29 2,11535600,532055,507659,15,0,11,16,0,0,[150 150 150 150 150 150 150 150 150 150 150 150 150 150 ],2091
Black,29x38 2,11221126,538091,504635,13,2,10,16,0,0,[175 165 155 150 150 150 150 150 150 150 150 150 ],2096
Black,11-16 2,0,0,0,1,0,9,15,0,0,[],1
