sep=,
pieceWeight=25 crownWeight=125 sideWeight=25 kingLaneWeight=75 tandemWeight=5 centerWeight=10 winWeight=1000 
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
Black,17-21 2,757855,0,152466,9,0,20,20,0,0,[0 0 0 0 0 5 0 5 ],2000
Black,12x21 2,489207,0,108574,9,0,20,19,0,0,[-10 -5 -10 0 0 5 -5 0 ],2000
Black,21x32 2,742867,0,134938,9,0,19,19,0,0,[-10 0 0 15 5 10 0 10 ],2000
Black,18-23 2,771065,0,165231,8,0,18,18,0,0,[0 15 10 10 5 10 0 ],2000
Black,23x32 2,765778,0,160318,10,0,18,18,0,0,[10 15 15 25 25 30 25 25 25 ],2001
Black,19-23 2,758127,0,158604,8,0,17,17,0,0,[15 25 25 30 25 25 25 ],2000
Black,13x22x31 2,808613,0,138030,10,0,17,16,0,0,[25 30 25 25 25 25 20 25 20 ],2001
Black,8-12 2,815269,0,139170,8,0,15,15,0,0,[25 25 25 25 20 25 20 ],2000
Black,12-17 2,794151,0,123750,7,0,15,15,0,0,[25 25 25 35 25 40 ],2000
Black,17x28 2,814350,0,132964,8,0,15,15,0,0,[55 60 60 60 60 50 50 ],2001
Black,16-21 2,813012,0,159461,7,0,14,15,0,0,[75 75 75 65 50 65 ],2001
Black,28x19 2,828268,0,144201,8,0,14,15,0,0,[80 105 95 105 105 110 95 ],2019
Black,11-16 2,824163,0,170044,7,0,13,15,0,0,[105 115 110 115 115 120 ],2000
Black,7-11 2,849147,0,175884,8,0,13,15,0,0,[105 115 120 120 115 110 95 ],2000
Black,19-24 2,835313,0,194130,8,0,13,15,0,0,[110 115 110 105 95 95 95 ],2000
Black,9-13 2,836139,0,195455,9,0,13,15,0,0,[85 85 85 95 95 90 80 90 ],2001
Black,11x22 2,855920,0,155735,8,0,13,14,0,0,[60 80 90 90 80 90 80 ],2029
Black,13-18 2,835865,0,168003,7,0,12,14,0,0,[95 100 90 100 90 100 ],2001
Black,22x33 2,860938,0,154314,9,0,12,14,0,0,[95 105 95 105 100 110 95 100 ],2001
Black,18-23 2,855443,0,191725,8,0,11,14,0,0,[120 145 135 130 105 130 110 ],2001
Black,23-28 2,904009,0,207845,10,0,11,14,0,0,[140 140 130 135 120 135 115 115 115 ],2001
Black,24x33 2,890901,0,169796,8,0,11,13,0,0,[130 120 110 135 115 110 115 ],2001
Black,28-32 2,890436,0,204573,8,0,10,13,0,0,[195 205 170 170 175 195 190 ],2001
Black,20-24 2,899977,0,180884,9,0,10,13,0,0,[170 185 175 195 190 185 180 190 ],2000
Black,14x23 2,885920,0,180993,9,0,10,12,0,0,[175 195 190 185 170 190 185 190 ],2000
Black,15x24 2,909594,0,223814,9,0,9,12,0,0,[200 220 215 225 225 240 230 200 ],2001
Black,32x41 2,969884,0,283314,9,0,8,12,0,0,[260 280 280 285 280 285 285 290 ],2000
Black,24-30 2,940595,0,273078,8,0,7,11,0,0,[305 310 285 285 285 290 300 ],2001
Black,33-38 2,930738,0,237315,8,0,7,11,0,0,[290 300 300 310 315 325 325 ],2001
Black,38-42 2,977421,0,179402,9,0,7,11,0,0,[305 330 330 335 335 340 310 330 ],2000
Black,10-14 2,986975,0,216447,8,0,7,10,0,0,[330 335 335 340 310 330 325 ],2000
Black,16-21 2,953272,0,238645,8,0,7,10,0,0,[320 330 310 325 325 315 310 ],2000
Black,14-20 2,955959,0,226867,8,0,7,10,0,0,[275 310 300 320 310 325 320 ],2001
Black,20-25 2,953960,0,206384,8,0,7,10,0,0,[295 330 310 325 320 320 330 ],2001
Black,21x12 2,1037724,0,156486,8,0,7,10,0,0,[340 355 345 355 345 350 335 ],2000
Black,12-17 2,1030991,0,251536,8,0,6,10,0,0,[345 355 350 365 350 360 350 ],2000
Black,30-34 2,1055499,0,205422,8,0,6,10,0,0,[345 365 365 375 355 365 365 ],2001
Black,34x43 2,1143395,0,230576,11,0,6,10,0,0,[405 415 415 425 400 405 395 405 415 430 ],2000
Black,25-30 2,1128826,0,226855,9,0,5,9,0,0,[415 425 400 405 395 405 415 430 ],2000
Black,23-29 2,1126407,0,216835,8,0,5,9,0,0,[440 450 415 425 420 430 430 ],2000
Black,29x38 2,1222178,0,235840,11,0,5,9,0,0,[425 450 450 450 435 430 430 440 430 445 ],2001
Black,30-35 2,1217886,0,234049,9,0,4,8,0,0,[450 450 435 430 430 440 430 445 ],2001
Black,6-11 2,1209180,0,260131,9,0,4,8,0,0,[435 430 430 440 430 445 445 430 ],2000
Black,11-16 2,1198718,0,219675,8,0,4,8,0,0,[430 440 430 445 445 440 430 ],2000
Black,35-40 2,1208634,0,215934,8,0,4,8,0,0,[430 445 445 445 445 460 460 ],2000
Black,4-10 2,1222366,0,330633,9,0,4,8,0,0,[445 455 455 470 460 445 410 400 ],2000
Black,16x27x38 2,1251341,0,257619,11,0,4,8,0,0,[375 400 425 585 560 635 610 660 685 1535 ],2000
Black,38-42 2,1278288,0,357825,10,0,2,8,0,0,[425 585 585 635 620 660 685 1630 1630 ],2001
Black,42-47 4,1207873,0,313454,10,0,2,8,0,0,[585 635 635 680 705 1630 1630 1675 1675 ],2001
Black,17x8 2,1375227,0,395792,13,0,2,8,0,1,[680 695 705 1755 1755 1755 1755 1755 1755 1755 1755 1755 ],2006
Black,40-44 2,1350300,0,386394,11,0,1,8,0,1,[705 1755 1755 1755 1755 1755 1755 1755 1755 1755 ],2001
Black,44x35 2,76,0,0,39,0,1,8,0,1,[1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 ],1
