sep=,
unoccupiedPromotionLineFieldsWeight=25 pawnWeight=50 kingWeight=150 safePawnWeight=5 safeKingWeight=10 aggregatedDistanceOfPawnToPromotionLineWeight=1 defenderPieceWeight=2 attackPawnWeight=3 centerPawnWeight=4 centerKingWeight=10 mainDiagonalPawnWeight=2 mainDiagonalKingWeight=15 doubleDiagonalPawnWeight=2 doubleDiagonalKingWeight=12 lonerPawnWeight=5 lonerKingWeight=50 holeWeight=10 pruningWindow=11 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
White,31-26 1,4751913,74709,345901,11,4,20,20,0,0,[-2 0 7 -4 6 -5 6 -5 3 -6 ],1977
White,26x17 1,6017568,87883,365992,12,7,20,20,0,0,[51 40 29 18 17 6 15 4 15 4 11 ],1958
White,32-27 1,13257360,97185,361764,11,5,19,19,0,0,[15 16 23 12 23 12 19 8 18 7 ],1974
White,36x27 1,7079433,92298,346850,11,3,18,19,0,0,[18 9 8 9 14 3 9 -1 10 -1 ],1976
White,27-21 1,16163864,116832,391667,11,5,18,18,0,0,[29 18 17 6 13 2 11 0 10 -1 ],1979
White,33-28 1,7830907,125686,370445,10,3,17,18,0,0,[-24 -35 -34 -45 -35 -46 -44 -52 -42 ],1974
White,28x19 1,4905557,108700,344209,12,7,17,18,0,0,[27 16 5 -6 -11 -22 -27 -38 -27 -38 -33 ],1980
White,37-31 1,6629965,106222,339077,10,6,16,17,0,0,[-16 -27 -16 -27 -27 -38 -27 -38 -32 ],1978
White,41x32 1,5167269,97502,334207,10,5,15,17,0,0,[-26 -37 -41 -52 -41 -50 -39 -50 -42 ],1978
White,32-27 1,7446762,131855,390527,11,5,15,16,0,0,[-36 -47 -36 -25 -14 -17 -9 -14 -5 -16 ],1981
White,38x27 1,4629590,93057,312729,10,2,14,16,0,0,[-43 -54 -50 -58 -55 -66 -57 -67 -61 ],1978
White,34-30 1,4376991,112215,351841,10,3,14,15,0,0,[-36 -47 -51 -62 -52 -63 -61 -67 -57 ],1978
White,30x19 1,4276776,132060,354341,11,4,14,15,0,0,[0 -11 -22 -33 -35 -46 -53 -63 -53 -61 ],1976
White,42-38 1,4221352,131450,353049,9,2,13,14,0,0,[-30 -41 -35 -46 -53 -63 -53 -61 ],1976
White,27-21 1,6839039,132320,368281,11,5,13,14,0,0,[-32 -43 -32 -43 -41 -52 -44 -46 -40 -51 ],1981
White,47-41 1,4134678,114777,346086,10,3,13,14,0,0,[-32 -43 -41 -52 -44 -46 -40 -51 -44 ],1980
White,41x32 1,6227523,112849,341339,12,4,13,14,0,0,[-39 -45 -38 -43 -38 -49 -38 -47 -36 -45 -34 ],1982
White,21-16 1,4817261,105417,341833,10,5,13,13,0,0,[-17 -28 -38 -49 -38 -46 -35 -45 -34 ],1978
White,39-33 1,4660707,103425,350721,11,7,13,13,0,0,[-27 -38 -27 -31 -20 -31 -20 -31 -20 -29 ],1978
White,33x24 1,5599344,122420,387439,12,6,13,13,0,0,[10 -1 -12 -23 -30 -41 -30 -29 -18 -15 -5 ],1975
White,35-30 1,5631047,122971,389033,10,4,12,12,0,0,[-37 -48 -37 -42 -31 -29 -18 -15 -5 ],1978
White,44-39 1,4252358,114101,358470,10,5,12,12,0,0,[-30 -41 -36 -47 -36 -25 -14 -18 -11 ],1981
White,39-33 1,4228504,113631,384321,10,4,12,12,0,0,[-52 -57 -46 -35 -24 -18 -9 -20 -13 ],1980
White,33x24 1,5139452,99377,381493,12,7,12,12,0,0,[20 9 13 2 -9 -20 -13 -24 -16 -27 -16 ],1981
White,32x23 1,7002770,141601,377324,12,8,12,11,0,0,[76 65 54 43 32 21 10 -1 -11 -22 -13 ],1977
White,40-34 1,5002773,135156,373708,10,4,10,10,0,0,[-9 -20 -13 -24 -16 -27 -16 -23 -13 ],1979
White,34-29 1,5481825,135979,373198,10,2,10,10,0,0,[-28 -35 -27 -38 -27 -22 -13 -22 -18 ],1981
White,30-24 1,5174449,136139,364297,11,1,10,10,0,0,[-30 -40 -32 -40 -29 -24 -18 -17 -16 -19 ],1982
White,38-32 1,6028428,145972,407534,10,2,10,10,0,0,[0 -10 -1 -7 4 -7 -16 -15 -8 ],1977
White,32-28 1,5470559,128319,397835,11,3,10,10,0,0,[6 1 12 1 -10 -15 -8 -13 -5 -5 ],1976
White,24-19 1,6792684,122232,382260,11,5,10,10,0,0,[41 32 37 26 34 23 12 1 11 0 ],1978
White,16x7 1,6805076,146076,378788,12,6,10,10,0,0,[55 44 33 22 11 0 1 -3 2 -9 -7 ],1980
White,28-23 1,6809632,146403,379651,10,2,9,9,0,0,[7 7 6 -5 1 -3 2 -9 -7 ],1981
White,45-40 1,5817095,140060,401155,10,3,9,9,0,0,[8 -3 0 -3 2 -9 -7 -15 -4 ],1978
White,40-34 1,5805224,153803,414749,10,1,9,9,0,0,[2 -5 -6 -7 4 -5 0 -9 0 ],1976
White,19-13 1,17780019,144314,416428,11,3,9,9,0,0,[-6 -12 -1 -5 0 -9 0 -6 5 -6 ],1976
White,34x25 1,5766604,163592,415724,13,3,9,9,0,0,[37 41 45 34 23 12 6 2 -5 -6 -7 -9 ],1978
White,25x14 1,6628025,172931,419552,11,8,9,8,0,0,[81 70 59 48 37 26 15 4 -7 -9 ],1977
White,43-39 1,6787867,153309,422782,10,0,7,7,0,0,[1 -4 6 2 -5 -6 -7 -9 -8 ],1974
White,29-24 1,5838770,152808,407006,10,1,7,7,0,0,[-8 -12 -9 -20 -11 -9 -8 -7 -1 ],1979
White,24-19 1,6204664,149220,413047,10,1,7,7,0,0,[-20 -18 -7 -9 -9 -5 -1 -4 -6 ],1977
White,19-14 1,6717999,154502,355916,12,5,7,7,0,0,[16 17 20 15 19 18 29 40 51 62 73 ],1977
White,14x5 3,13012165,300499,429829,13,10,7,7,0,0,[219 208 219 230 241 252 263 274 285 296 307 307 ],1975
White,5x32 3,16840662,313588,448505,12,5,7,6,1,0,[320 309 298 301 312 307 318 313 324 318 327 ],1977
White,39-33 1,15859638,353544,514036,10,5,6,5,1,0,[291 280 291 296 307 298 309 306 317 ],1981
White,33-29 1,11221590,228773,399831,10,4,6,5,1,0,[301 290 301 298 309 306 317 323 327 ],1975
White,29-23 1,16039196,274354,415885,11,5,6,5,1,0,[338 327 338 335 346 353 364 357 368 376 ],1978
White,32-27 3,181816658,415078,411483,13,10,5,5,1,0,[293 282 293 304 315 326 337 348 359 370 381 391 ],1974
White,27x18x34 3,178996150,681948,580534,13,3,5,5,1,0,[389 385 396 394 405 399 410 406 414 412 416 415 ],1979
White,34-29 3,80048680,473356,400058,12,2,5,3,1,0,[415 404 415 411 419 411 412 404 409 409 410 ],1979
White,29-23 3,74073903,548280,416716,11,0,5,3,1,0,[415 411 416 411 412 404 409 409 411 411 ],1977
White,23-10 3,95567110,653285,486520,12,3,5,3,1,0,[417 406 403 404 409 399 408 397 408 404 413 ],1977
White,48-42 1,259613563,685824,520967,13,5,5,3,1,0,[408 397 408 397 408 397 407 407 411 411 418 423 ],1969
White,49-44 1,303866075,594564,464374,14,5,5,3,1,0,[378 367 378 367 375 371 382 381 392 398 408 413 423 ],1975
White,46-41 1,2764835232,758804,534214,14,9,5,3,1,0,[351 340 351 340 351 354 365 376 387 394 405 412 423 ],1977
White,41x32x21 1,242,4,44,39,4,5,3,1,0,[395 394 405 416 427 438 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 ],12
White,21x32 1,76,0,0,39,0,5,1,1,0,[442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 442 ],13
Black,16-21 2,5572924,83457,405715,11,2,20,20,0,0,[2 -2 4 0 7 -4 6 -1 8 -3 ],1995
Black,20-25 2,11443260,99652,418073,12,5,20,20,0,0,[0 -7 0 -6 5 -6 5 -6 3 -7 4 ],1984
Black,25x34 2,7690770,95840,400991,13,10,20,20,0,0,[56 45 34 23 34 23 17 6 17 6 17 6 ],1977
Black,11-16 2,7606254,102714,408849,11,6,19,19,0,0,[14 7 18 11 17 6 17 6 17 6 ],1978
Black,21-27 2,5877072,87981,324145,11,6,19,19,0,0,[14 5 7 -4 7 -4 7 -4 7 2 ],1976
Black,18-23 2,4694090,79052,315468,12,5,19,19,0,0,[5 -6 0 -7 4 1 12 2 13 7 18 ],1979
Black,16x27 2,7060716,108376,343405,13,8,19,18,0,0,[-3 -14 -3 1 12 2 13 2 13 13 24 13 ],1978
Black,23x32 2,5171397,88126,360893,12,6,18,18,0,0,[40 34 45 34 45 41 52 41 45 34 42 ],1977
Black,6-11 2,4733743,76271,339959,11,7,17,18,0,0,[62 51 62 51 62 51 60 49 42 31 ],1979
Black,19x30 2,6625023,93639,339808,12,9,17,18,0,0,[112 101 90 79 68 57 46 35 28 17 28 ],1977
Black,12-18 2,5968270,96325,331976,10,6,16,17,0,0,[62 51 54 43 32 21 26 15 26 ],1979
Black,8-12 2,5176738,78067,336091,10,7,16,17,0,0,[50 39 50 39 35 24 35 24 35 ],1974
Black,13-19 2,5728874,78790,319465,10,5,16,17,0,0,[52 46 57 46 54 43 49 38 49 ],1974
Black,1-6 2,4665312,75929,339443,11,5,16,17,0,0,[64 53 64 65 72 61 65 54 58 47 ],1979
Black,17x26 2,5037446,79753,368401,12,8,16,17,0,0,[76 65 76 65 76 65 72 61 72 61 67 ],1974
Black,18x29 2,8232368,148565,362757,12,7,15,17,0,0,[127 116 105 94 83 72 72 61 67 62 73 ],1980
Black,9x18 2,7884953,148678,363098,10,2,14,15,0,0,[59 50 55 50 61 60 67 62 73 ],1979
Black,12-17 2,5601085,93514,313783,9,2,13,15,0,0,[55 50 61 60 67 60 71 67 ],1977
Black,2-8 2,5271468,88295,307184,9,4,13,15,0,0,[78 67 68 63 74 67 78 67 ],1979
Black,27x36 2,7500245,168854,356493,13,8,13,15,0,0,[86 75 82 71 60 49 38 27 16 5 8 4 ],1978
Black,36x47x38x29 2,7338403,170018,381437,12,10,12,15,0,0,[260 249 238 227 216 205 194 183 172 161 150 ],1978
Black,14-19 2,7262268,101300,287183,9,2,9,12,1,0,[30 19 11 0 1 2 8 4 ],1977
Black,19-24 2,5005465,108911,341008,9,4,9,12,1,0,[17 6 1 -10 -19 -30 -19 -25 ],1979
Black,3-9 2,46521738,184876,384057,12,10,9,12,1,0,[25 14 3 -8 -19 -30 -41 -52 -63 -74 -85 ],1973
