sep=,
unoccupiedPromotionLineFieldsWeight=25 pawnWeight=50 kingWeight=200 safePawnWeight=5 safeKingWeight=10 aggregatedDistanceOfPawnToPromotionLineWeight=1 defenderPieceWeight=2 attackPawnWeight=3 centerPawnWeight=4 centerKingWeight=10 mainDiagonalPawnWeight=2 mainDiagonalKingWeight=15 doubleDiagonalPawnWeight=2 doubleDiagonalKingWeight=12 pruningWindow=11 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
Black,17-21 2,5546163,91160,455207,11,0,20,20,0,0,[0 -5 0 -6 1 -5 2 -5 2 -5 ],1963
Black,11x22 2,9092020,108052,411665,11,0,20,19,0,0,[-2 -7 1 -7 1 -5 2 -5 2 -5 ],1972
Black,22x31 2,5807714,110765,431323,12,3,19,19,0,0,[42 31 20 9 2 -6 0 -5 2 -6 2 ],1971
Black,12-17 2,6592374,108860,438162,10,0,18,18,0,0,[8 3 10 2 10 3 9 1 8 ],1978
Black,20-25 2,6207217,105939,431041,10,3,18,18,0,0,[0 -3 8 -3 8 0 9 2 10 ],1980
Black,18x29 2,10267505,111569,411968,13,4,18,18,0,0,[58 55 60 56 58 47 49 46 49 38 27 16 ],1975
Black,19x28 2,7317274,149091,428380,12,4,17,17,0,0,[58 56 58 47 36 25 14 5 8 4 9 ],1981
Black,7-11 2,7488160,119280,356973,11,4,16,17,0,0,[58 47 36 25 14 5 8 4 9 1 ],1976
Black,13-19 2,11009537,161343,470084,10,0,16,16,0,0,[8 3 6 3 6 2 5 0 5 ],1978
Black,9-13 2,8286716,121797,455961,10,0,16,16,0,0,[4 -2 6 4 7 1 6 0 5 ],1976
Black,17x28 2,8132410,97779,340082,12,6,16,16,0,0,[56 54 59 48 37 26 37 48 54 43 51 ],1979
Black,1-7 2,8396947,94464,365339,11,6,15,16,0,0,[62 51 40 29 40 51 56 46 51 40 ],1976
Black,8-12 2,6594562,180229,437865,11,0,15,15,0,0,[-24 -26 -25 -30 -26 -31 -24 -26 -20 -26 ],1979
Black,25x34 2,5947243,168673,456324,12,7,15,15,0,0,[18 7 -4 -15 -4 7 18 12 17 6 16 ],1978
Black,12-17 2,6458180,179919,485487,10,4,14,14,0,0,[-24 -28 -17 -6 5 16 20 18 18 ],1979
Black,13x22 2,9067430,221590,494370,10,0,14,14,0,0,[21 17 22 20 21 20 24 22 25 ],1976
Black,19-23 2,9495725,176259,426337,10,0,13,14,0,0,[22 20 21 20 24 22 25 23 25 ],1978
Black,17-21 2,7992218,169043,429588,10,0,13,14,0,0,[28 20 26 24 26 24 25 24 24 ],1979
Black,22-28 2,6589995,152902,425273,10,0,13,14,0,0,[21 17 26 24 23 22 25 24 23 ],1973
Black,11x22 2,9535631,196820,427536,11,0,13,13,0,0,[26 24 23 22 25 24 23 23 24 22 ],1977
Black,7-12 2,7057078,133543,379153,10,0,12,13,0,0,[28 25 29 26 27 24 27 23 25 ],1977
Black,23x34 2,7360870,163444,376664,11,4,12,13,0,0,[72 70 69 58 47 36 25 23 26 22 ],1976
Black,34-40 2,6638809,138263,396390,11,3,11,13,0,0,[72 61 50 39 32 30 33 29 31 27 ],1977
Black,12-17 2,7320233,171317,475255,10,0,11,12,0,0,[31 28 32 30 33 29 31 27 29 ],1976
Black,16-21 2,6074930,141141,441242,10,0,11,12,0,0,[28 26 30 29 27 26 29 25 29 ],1974
Black,2-7 2,7068564,118652,371454,11,7,11,12,0,0,[32 30 41 52 63 52 63 56 67 56 ],1975
Black,14x23 2,8011323,170072,465257,11,0,11,12,0,0,[50 48 52 51 52 52 52 50 52 50 ],1970
Black,28x39 2,7405464,165702,418384,11,3,10,12,0,0,[97 86 75 64 54 51 56 53 54 54 ],1978
Black,22-28 2,7467051,167227,422831,9,0,9,11,0,0,[55 52 54 51 56 53 54 54 ],1975
Black,17-22 2,12002970,146125,388465,10,1,9,11,0,0,[55 53 56 55 54 55 60 57 68 ],1976
Black,7-11 2,9209525,145235,406738,10,2,9,11,0,0,[59 57 56 55 60 57 68 73 84 ],1978
Black,22-27 2,6205085,162868,450222,10,3,9,11,0,0,[56 55 59 61 72 61 72 75 85 ],1977
Black,28-32 2,6202083,184236,522841,11,3,9,11,0,0,[60 59 70 81 87 84 95 88 92 85 ],1977
Black,32x41 2,8248812,204331,545818,14,4,9,11,0,0,[101 90 90 89 100 111 120 109 119 119 127 119 127 ],1975
