sep=,
unoccupiedPromotionLineFieldsWeight=25 pawnWeight=50 kingWeight=150 safePawnWeight=5 safeKingWeight=10 aggregatedDistanceOfPawnToPromotionLineWeight=1 defenderPieceWeight=2 attackPawnWeight=3 centerPawnWeight=4 centerKingWeight=10 mainDiagonalPawnWeight=2 mainDiagonalKingWeight=15 doubleDiagonalPawnWeight=2 doubleDiagonalKingWeight=12 
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
White,31-26 1,2301762,0,532007,9,0,20,20,0,0,[0 5 0 6 -1 5 -2 5 ],1976
White,34-30 1,2585086,0,576756,10,0,20,20,0,0,[7 13 5 12 5 11 5 10 3 ],1999
White,30-25 1,2489895,0,618111,9,0,20,20,0,0,[10 15 12 15 10 15 8 15 ],2000
White,33-29 1,2495253,0,637654,10,0,20,20,0,0,[21 24 19 24 15 24 16 22 15 ],2000
White,39-33 1,2647461,0,549294,10,0,20,20,0,0,[50 53 48 51 45 49 41 48 41 ],2000
White,32-28 1,2572767,0,508143,10,0,20,20,0,0,[44 49 44 50 39 46 41 45 39 ],1999
White,38-32 1,2552244,0,519036,10,0,20,20,0,0,[48 53 40 46 41 49 41 47 39 ],2000
White,37-31 1,2424865,0,591540,11,0,20,20,0,0,[48 54 42 49 41 50 42 49 38 47 ],2000
White,43-38 1,2388144,0,603145,11,0,20,20,0,0,[72 116 73 77 67 76 70 76 64 73 ],2000
White,28x19 1,2499188,0,626817,13,0,20,20,0,0,[21 70 65 74 69 75 66 76 63 69 61 68 ],2001
White,40x29 1,2479597,0,619296,11,0,18,19,0,0,[65 74 69 75 66 76 63 69 61 68 ],2000
White,32-28 1,2473740,0,629058,10,0,18,18,0,0,[69 76 71 80 71 82 71 82 69 ],2000
White,44-40 1,2632613,0,625568,11,0,18,18,0,0,[101 110 97 102 97 102 97 100 94 102 ],1999
White,29x18x27 1,2380963,0,708337,11,0,18,18,0,0,[95 100 95 100 97 100 94 102 93 100 ],2001
White,33-29 1,2398677,0,724965,9,0,16,16,0,0,[95 100 97 100 94 102 93 100 ],2000
White,40x29 1,2994738,0,569867,10,0,15,16,0,0,[97 100 94 102 93 100 88 99 86 ],2000
White,38-32 1,2757952,0,638771,9,0,15,15,0,0,[101 104 95 102 88 99 88 98 ],2000
White,42-38 1,2793770,0,646533,9,0,15,15,0,0,[103 108 97 105 86 104 86 102 ],2000
White,38-33 1,2484258,0,766527,9,0,15,15,0,0,[104 112 102 112 103 111 101 106 ],2001
White,41-37 1,2487953,0,690420,9,0,15,15,0,0,[103 112 106 111 101 106 94 105 ],2001
White,32-28 1,2602751,0,726584,10,0,15,15,0,0,[101 106 101 106 92 105 91 102 96 ],2000
White,37-32 1,2352967,0,764415,9,0,15,15,0,0,[108 115 104 110 99 110 105 111 ],2000
White,29x20 1,2626074,0,672245,12,0,15,15,0,0,[107 110 104 109 105 112 100 108 102 120 104 ],2000
White,31-27 1,2637327,0,673332,10,0,14,14,0,0,[104 109 105 112 100 108 102 120 104 ],2000
White,36x27 1,2432513,0,729596,9,0,13,14,0,0,[105 108 100 105 100 120 104 154 ],2000
White,28-22 1,2915012,0,638842,10,0,13,13,0,0,[106 112 102 125 108 154 112 169 138 ],2000
White,26x17x6 1,2846745,0,485168,10,0,11,13,0,0,[102 125 108 154 126 172 170 226 224 ],2000
White,6-1 3,2248819,0,694640,10,0,11,11,0,0,[196 227 222 309 269 344 305 310 308 ],1999
White,1x23x41 3,3558760,0,642591,10,0,11,11,1,0,[321 347 342 349 305 310 308 309 308 ],2001
White,41x19x30 3,4088703,0,591635,10,0,11,9,1,0,[415 424 305 310 308 309 308 307 305 ],2000
White,30x19 3,3668038,0,830893,11,0,11,7,1,0,[305 310 308 309 308 307 305 344 302 303 ],2001
White,45-40 1,3645612,0,822663,9,0,10,6,0,0,[308 309 308 307 305 344 302 303 ],2000
White,27-22 1,3139769,0,925766,10,0,10,6,0,0,[333 334 333 374 330 347 334 335 331 ],2000
White,33-28 1,3352765,0,873753,10,0,10,6,0,0,[333 332 330 332 329 333 331 335 324 ],2001
White,28-23 1,3570981,0,711629,10,0,10,6,0,0,[333 334 329 333 328 330 324 328 324 ],1999
White,40-34 1,3467207,0,731464,10,0,10,6,0,0,[332 333 280 330 289 323 324 324 325 ],2001
White,22x11 1,3267323,0,988986,11,0,10,6,0,0,[333 336 333 331 326 351 336 335 336 334 ],2000
White,34-30 1,3275633,0,992940,9,0,9,5,0,0,[333 331 326 351 336 335 336 334 ],2000
White,23x34 1,3612163,0,1082788,11,0,9,5,0,0,[381 384 379 382 377 381 378 381 379 383 ],2000
White,34-29 1,4089043,0,772567,10,0,9,4,0,0,[412 413 409 413 405 408 381 389 383 ],2000
White,29-24 1,3506613,0,896717,11,0,9,4,0,0,[414 413 408 413 411 411 407 408 404 494 ],2000
White,24-20 1,3660933,0,983197,12,0,9,4,0,0,[408 417 412 466 464 467 463 512 463 559 555 ],2000
White,20x9 1,3672592,0,885749,12,0,9,4,0,0,[456 516 511 515 516 515 512 567 569 638 634 ],2000
White,9x20 1,4365704,0,1131942,13,0,9,3,0,0,[511 515 516 515 512 567 569 652 654 654 655 661 ],2000
White,20-14 1,4316132,0,1142648,11,0,9,2,0,0,[517 516 512 612 613 652 654 654 655 661 ],2001
White,14-9 1,5368421,0,696691,10,0,9,2,0,0,[511 614 613 654 654 654 655 661 658 ],2001
White,9-4 3,4686029,0,915588,10,0,9,2,0,0,[598 635 632 654 655 661 658 699 699 ],2000
White,4x36 3,2929196,0,964108,17,0,9,2,1,0,[685 742 742 742 742 742 742 742 742 742 742 742 742 742 742 742 ],2000
White,36x22 3,266,0,0,39,0,9,1,1,0,[742 742 742 742 742 742 742 742 742 742 742 742 742 742 742 742 742 742 742 742 742 742 742 742 742 742 742 742 742 742 742 742 742 742 742 742 742 742 ],0
