sep=,
pieceWeight=25 crownWeight=50 pruningWindow=11 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
Black,16-21 2,4950521,116965,509150,13,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1956
Black,11-16 2,7314491,162030,519651,14,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 ],1972
Black,18x29 2,6462852,147680,485156,16,4,20,20,0,0,[25 14 25 14 3 0 0 0 0 0 0 0 0 0 0 ],1976
Black,19x28 2,29671817,268592,477839,17,2,19,19,0,0,[25 14 3 0 0 0 0 0 0 0 0 0 0 0 0 0 ],1972
Black,6x17 2,29674685,268749,478145,15,0,18,17,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],1972
Black,1-6 2,10505526,196240,430495,13,0,17,17,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1973
Black,6-11 2,27380956,214236,460863,14,0,17,17,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 ],1972
Black,12-18 2,11634565,214070,441855,14,0,17,17,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 ],1978
Black,7-12 2,15593331,215357,461253,13,0,17,17,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1972
Black,2-7 2,10838171,185889,484506,13,0,17,17,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1972
Black,13-19 2,9846711,180859,494112,13,0,17,17,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1977
Black,8-13 2,10990194,201291,514124,13,2,17,17,0,0,[0 0 11 0 0 0 0 0 0 0 0 0 ],1977
Black,3-8 2,7762268,170226,471621,13,0,17,17,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1972
Black,18-22 2,6438853,173234,513702,14,0,17,17,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 ],1977
Black,12-18 2,8133482,222049,524073,13,0,17,17,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1973
Black,8-12 2,7181780,191360,487138,14,4,17,17,0,0,[0 0 11 0 0 0 11 0 0 0 0 0 0 ],1974
Black,19x30 2,16661054,224668,482569,16,8,17,17,0,0,[25 14 3 0 0 0 0 -11 0 -11 0 -11 -22 -25 -25 ],1975
Black,13-19 2,3310404,121283,421145,15,6,16,16,0,0,[0 0 0 0 0 -11 0 -11 0 -11 -22 -25 -25 -25 ],1975
Black,21-27 2,6640591,206201,498232,15,4,16,15,0,0,[-25 -36 -25 -25 -25 -25 -14 -25 -25 -25 -25 -25 -25 -25 ],1977
Black,16x27 2,10745115,165535,449881,14,0,16,14,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],1977
Black,22x33x24 2,17333813,244535,456313,16,4,15,14,0,0,[25 14 3 -8 -19 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],1975
Black,9-13 2,17311236,244069,454624,14,0,13,12,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],1975
Black,4-9 2,16771350,304129,526460,13,0,13,12,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],1976
Black,11-16 2,11970164,233873,458305,13,0,13,12,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],1976
Black,13-18 2,13395703,241818,451905,13,0,13,12,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],1975
Black,16x27 2,12684305,255926,501995,16,2,13,12,0,0,[0 -11 -22 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],1973
Black,7-11 2,12769927,257764,506296,14,0,12,11,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],1976
Black,9-13 2,9978532,238479,495612,13,2,12,11,0,0,[-25 -25 -14 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],1974
Black,13-19 2,31618716,329148,502470,16,2,12,11,0,0,[-25 -36 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 ],1975
