sep=,
unoccupiedPromotionLineFieldsWeight=0 pawnWeight=50 kingWeight=50 safePawnWeight=0 safeKingWeight=0 aggregatedDistanceOfPawnToPromotionLineWeight=0 defenderPieceWeight=0 attackPawnWeight=0 centerPawnWeight=0 centerKingWeight=0 mainDiagonalPawnWeight=0 mainDiagonalKingWeight=0 doubleDiagonalPawnWeight=0 doubleDiagonalKingWeight=0 pruningWindow=20000 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
Black,16-21 2,5935515,112790,487900,13,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1959
Black,21x32 2,9619005,166285,477386,15,0,20,20,0,0,[50 0 0 0 0 0 0 0 0 0 0 0 0 0 ],1972
Black,11-16 2,7961327,155691,463755,13,0,19,19,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1976
Black,18x29 2,6525423,172499,460622,15,0,19,19,0,0,[50 0 50 0 0 0 0 0 0 0 0 0 0 0 ],1972
Black,19x28 2,24510826,281206,476805,16,0,18,18,0,0,[50 -50 0 0 0 0 0 0 0 0 0 0 0 0 0 ],1972
Black,6x17 2,23837179,273051,464393,14,0,17,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 ],1971
Black,1-6 2,23349347,223997,456106,12,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 ],1976
Black,6-11 2,20153459,262196,480664,13,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1976
Black,12-18 2,14749978,216636,463367,13,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1974
Black,7-12 2,15468681,186457,458068,12,0,16,16,0,0,[0 0 50 0 0 0 0 0 0 0 0 ],1977
Black,2-7 2,13054915,187326,447074,12,0,16,16,0,0,[0 0 50 0 0 0 0 0 0 0 0 ],1975
Black,13-19 2,10435722,165431,440796,12,0,16,16,0,0,[0 0 50 50 50 0 50 0 50 0 0 ],1976
Black,8-13 2,9848201,157989,431693,12,0,16,16,0,0,[0 0 50 50 50 50 50 50 50 50 50 ],1974
Black,17x26 2,13824287,190865,444714,13,0,16,16,0,0,[50 50 50 50 50 50 50 50 50 50 50 50 ],1970
Black,3-8 2,5823588,179557,482826,11,0,15,16,0,0,[50 50 100 100 100 50 50 50 50 50 ],1976
Black,18-23 2,3771255,153096,457515,12,0,15,16,0,0,[50 50 50 50 50 50 100 100 100 50 100 ],1971
Black,23x34 2,8131530,156751,430742,14,0,15,16,0,0,[100 50 50 50 100 50 50 50 50 50 100 50 50 ],1975
Black,12-17 2,8051153,155823,425512,12,0,14,15,0,0,[50 50 100 50 50 50 50 50 100 50 50 ],1973
Black,17x28 2,6517786,203205,514408,13,0,14,15,0,0,[100 50 50 50 100 100 100 50 50 50 50 50 ],1975
Black,7-12 2,8976532,207409,471790,12,0,13,14,0,0,[50 50 50 50 50 50 50 50 50 50 50 ],1973
Black,11-17 2,9358012,199718,480360,12,0,13,14,0,0,[50 50 50 50 50 50 50 50 50 50 50 ],1975
Black,12-18 2,13059578,213031,457758,12,0,13,14,0,0,[50 50 50 50 50 50 50 50 50 50 50 ],1976
Black,8-12 2,8865582,219856,481343,12,0,13,14,0,0,[50 50 50 50 50 50 50 50 50 50 50 ],1977
Black,17-21 2,8519369,200164,457785,12,0,13,14,0,0,[50 50 50 50 50 50 100 50 50 50 50 ],1973
Black,12-17 2,8665773,209284,497260,14,0,13,14,0,0,[50 50 50 50 100 50 50 50 50 50 50 50 50 ],1975
Black,17x28 2,22018742,272477,523925,20,0,13,14,0,0,[100 0 100 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 ],1974
Black,21x32x41 2,21870297,269306,516415,18,0,12,12,0,0,[100 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 ],1976
