PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,#WP,#BP,#WK,#BK,EvaluationValues
White,31-26 1,1641652,53762,422714,12,20,20,0,0,0 0 0 0 0 0 0 0 0 0 0 
White,32-27 1,1510490,42560,449064,12,20,20,0,0,0 0 0 0 0 0 0 0 0 0 0 
White,37x28 1,1590999,89409,523381,12,19,20,0,0,0 0 0 0 0 0 0 0 0 0 0 
White,28-23 1,1956017,185407,312543,11,19,19,0,0,0 0 0 0 0 0 0 0 0 0 
White,34x23 1,2090782,92142,524314,14,18,19,0,0,0 -25 25 0 0 0 0 0 0 0 0 0 0 
White,33x22x11 1,1560365,117292,395522,13,17,18,0,0,25 0 0 0 0 0 0 0 0 0 0 0 
White,35-30 1,2166112,158668,512119,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,30-25 1,2129629,155925,536888,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,36-31 1,2111072,148991,423707,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,31-27 1,1831293,115396,457262,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,38-32 1,1980908,130486,507687,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,32-28 1,1770072,147659,526726,10,16,16,0,0,0 0 0 0 0 0 0 0 0 
White,40-34 1,1515031,244517,436027,10,16,16,0,0,0 0 0 -25 0 -25 0 0 0 
White,42-37 1,1979034,487046,525576,11,16,16,0,0,0 0 0 -25 0 -25 0 -25 0 0 
White,37-31 1,2091402,253783,384284,11,16,16,0,0,0 0 0 -25 0 -25 0 0 0 0 
White,27x16 1,1743376,80008,383352,13,16,16,0,0,25 25 25 0 0 0 25 25 25 25 25 25 
White,26x17x6 1,1776604,120224,531350,14,16,15,0,0,75 75 100 75 100 100 100 100 100 75 100 100 100 
White,6x17 1,1947365,137204,521915,13,16,13,0,0,100 75 100 100 100 100 100 75 100 100 100 100 
White,16x27 1,2328084,211053,436025,13,15,12,0,0,100 100 100 100 100 75 100 100 100 100 100 100 
White,27-21 1,2198849,195435,426354,12,15,11,0,0,100 100 100 100 100 100 100 100 100 100 100 
White,21x12x23 1,2394881,360639,438774,13,15,11,0,0,150 150 150 150 175 175 200 200 250 200 200 200 
White,23x12 1,2830548,397079,321838,13,15,9,0,0,175 175 175 175 200 200 275 275 300 275 275 275 
White,12-7 1,2185841,439881,732262,11,15,8,0,0,175 175 225 225 275 275 300 300 325 300 
White,7-2 3,2453327,269301,425304,11,15,8,0,0,300 300 300 300 325 325 325 325 350 350 
White,2x30 3,2377915,351843,623429,14,15,8,1,0,325 325 350 325 375 350 375 350 375 375 375 375 375 
White,30x8 3,2164348,176335,226551,13,15,7,1,0,350 350 375 350 375 350 375 375 375 375 375 375 
White,25x14x23x12 1,2726712,693585,386162,11,15,6,1,0,425 425 425 425 450 450 550 550 550 550 
White,12-7 1,2662528,728657,460361,10,15,3,1,0,425 425 450 450 550 550 550 550 575 
White,7-1 3,2140301,226879,681693,10,15,3,1,0,550 550 550 550 550 550 575 575 600 
White,8x24 3,2182225,119526,654811,12,15,3,2,0,575 575 575 575 575 575 600 600 600 600 625 
White,1-6 3,2257492,143745,442022,11,15,2,2,0,575 575 575 575 575 575 600 600 625 625 
White,24x13 3,2653262,168168,408711,15,15,2,2,0,600 600 600 600 600 600 625 625 625 625 625 625 625 625 
White,6-1 3,2273604,135196,700733,15,15,1,2,0,600 600 600 600 625 625 625 625 625 625 625 625 625 625 
White,13x30 3,294,0,0,99,15,1,2,0,625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 
