PlayerSide;Move;TraversedNodes;FetchedNodes;SubtreesPruned;SearchDepth;#WP;#BP;#WK;#BK;EvaluationValues
White;31-26 1;1580619;52312;399973;12;20;20;0;0;0 0 0 0 0 0 0 0 0 0 0 
White;32-27 1;1529783;43120;458055;12;20;20;0;0;0 0 0 0 0 0 0 0 0 0 0 
White;37x28 1;1488113;77737;479941;12;19;20;0;0;0 0 0 0 0 0 0 0 0 0 0 
White;28-23 1;1786057;162002;296042;11;19;19;0;0;0 0 0 0 0 0 0 0 0 0 
White;34x23 1;1776660;78187;367358;14;18;19;0;0;0 -25 25 0 0 0 0 0 0 0 0 0 0 
White;33x22x11 1;1522923;110274;392735;13;17;18;0;0;25 0 0 0 0 0 0 0 0 0 0 0 
White;35-30 1;1768759;135734;433216;11;16;16;0;0;0 0 0 0 0 0 0 0 0 0 
White;30-25 1;1902574;146075;496142;11;16;16;0;0;0 0 0 0 0 0 0 0 0 0 
White;36-31 1;1488745;84196;363823;11;16;16;0;0;0 0 0 0 0 0 0 0 0 0 
White;31-27 1;2074398;124091;503983;11;16;16;0;0;0 0 0 0 0 0 0 0 0 0 
White;38-32 1;1889905;124104;492998;11;16;16;0;0;0 0 0 0 0 0 0 0 0 0 
White;32-28 1;1690902;142934;498850;10;16;16;0;0;0 0 0 0 0 0 0 0 0 
White;40-34 1;1808268;269876;549213;10;16;16;0;0;0 0 0 -25 0 -25 0 0 0 
White;42-37 1;1977687;486867;525451;11;16;16;0;0;0 0 0 -25 0 -25 0 -25 0 0 
White;37-31 1;2055198;248584;379762;11;16;16;0;0;0 0 0 -25 0 -25 0 0 0 0 
White;27x16 1;1874116;100500;392785;13;16;16;0;0;25 25 25 0 0 0 25 25 25 25 25 25 
White;26x17x6 1;1596653;101169;471472;14;16;15;0;0;75 75 100 75 100 100 100 100 100 75 100 100 100 
White;6x17 1;1521314;100931;449851;12;16;13;0;0;100 75 100 100 100 100 100 75 100 100 100 
White;16x27 1;2199883;203614;406875;13;15;12;0;0;100 100 100 100 100 75 100 100 100 100 100 100 
White;27-21 1;2126418;191991;391272;12;15;11;0;0;100 100 100 100 100 100 100 100 100 100 100 
White;21x12x23 1;2232565;338668;419961;13;15;11;0;0;150 150 150 150 175 175 200 200 250 200 200 200 
White;23x12 1;2411902;342375;277553;13;15;9;0;0;175 175 175 175 200 200 275 275 300 275 275 275 
White;12-7 1;1722405;404361;674047;10;15;8;0;0;175 175 225 225 275 275 300 300 325 
White;7-2 3;2207529;252463;405242;11;15;8;0;0;300 300 300 300 325 325 325 325 350 350 
White;2x30 3;1822313;284849;346777;14;15;8;1;0;325 325 350 325 375 350 375 350 375 375 375 375 375 
White;30x8 3;2286714;184992;232760;13;15;7;1;0;350 350 375 350 375 350 375 375 375 375 375 375 
White;25x14x23x12 1;2167942;346072;334232;11;15;6;1;0;425 425 425 425 450 450 550 550 550 550 
White;12-7 1;2334079;714606;320964;9;15;3;1;0;425 425 450 450 550 550 550 550 
White;7-1 3;1895857;219531;559994;10;15;3;1;0;550 550 550 550 550 550 575 575 600 
White;8x24 3;2073580;116702;601927;12;15;3;2;0;575 575 575 575 575 575 600 600 600 600 625 
White;1-6 3;2089543;143204;421237;11;15;2;2;0;575 575 575 575 575 575 600 600 625 625 
White;24x13 3;1815992;129773;349307;15;15;2;2;0;600 600 600 600 600 600 625 625 625 625 625 625 625 625 
White;6-1 3;1973001;128623;610204;14;15;1;2;0;600 600 600 600 625 625 625 625 625 625 625 625 625 
White;13x30 3;294;0;0;99;15;1;2;0;625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 625 
