sep=,
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,#WP,#BP,#WK,#BK,EvaluationValues
White,31-26 1,1467865,50225,356907,12,20,20,0,0,0 0 0 0 0 0 0 0 0 0 0 
White,32-27 1,1436261,41672,414331,12,20,20,0,0,0 0 0 0 0 0 0 0 0 0 0 
White,37x28 1,1440004,72581,455894,12,19,20,0,0,0 0 0 0 0 0 0 0 0 0 0 
White,28-23 1,1902261,173372,307168,11,19,19,0,0,0 0 0 0 0 0 0 0 0 0 
White,34x23 1,1805009,79784,381527,14,18,19,0,0,0 -131072 65536 0 0 0 0 0 0 0 0 0 0 
White,33x22x11 1,1753277,134687,430238,13,17,18,0,0,65536 0 0 0 0 0 0 0 0 0 0 0 
White,35-30 1,1891294,144436,455440,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,30-25 1,1827142,140417,490687,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,36-31 1,1678230,89843,392106,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,31-27 1,1813883,113865,455858,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,38-32 1,1861851,121827,488066,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,32-28 1,1714720,144645,507134,10,16,16,0,0,0 0 0 0 0 0 0 0 0 
White,39-33 1,2019680,494481,434469,10,16,16,0,0,0 0 0 -16384 0 -16384 0 -8192 0 
White,27-22 1,1792986,264429,555338,10,16,16,0,0,0 0 0 -16384 0 0 0 0 0 
White,43-39 1,1717594,150816,404077,10,15,16,0,0,-32768 -32768 -24576 -24576 0 0 0 0 0 
White,28-23 1,1629860,126191,487316,11,15,16,0,0,-32768 -32768 0 0 0 0 0 0 0 0 
White,33x22x31 1,1982061,125067,407252,12,14,16,0,0,0 0 0 0 0 0 0 0 0 0 0 
White,31-27 1,1727582,146010,573633,11,14,14,0,0,0 0 0 0 0 0 0 0 0 0 
White,39-33 1,1790890,108170,491298,10,14,14,0,0,0 0 0 0 0 0 0 0 0 
White,33-28 1,1662528,185667,426773,10,14,14,0,0,0 0 0 0 0 0 0 0 0 
White,41-37 1,1979670,166831,459693,10,14,14,0,0,0 0 0 0 0 0 0 0 0 
White,37-32 1,1715771,172776,468654,10,14,14,0,0,0 0 0 0 0 0 0 0 0 
White,40-34 1,1449354,85925,407738,11,14,14,0,0,0 0 0 0 0 0 0 0 0 0 
White,42-37 1,1776411,52084,435820,11,14,14,0,0,0 0 0 0 0 0 0 0 0 0 
White,37-31 1,1746635,71713,452608,11,14,14,0,0,0 0 0 0 0 0 0 0 0 0 
White,27-22 1,1896945,106965,380535,11,14,14,0,0,0 0 0 0 0 0 0 0 0 0 
White,31-27 1,2031028,195519,381353,11,14,14,0,0,0 0 0 0 0 -2048 0 0 0 0 
White,27x16x7 1,2018173,250420,430762,13,14,14,0,0,12288 0 0 -2048 0 0 0 0 0 0 0 0 
White,7-1 3,1919490,230894,417256,11,12,12,0,0,0 -2048 0 0 0 0 0 0 0 0 
White,1-6 3,1743278,116076,377969,11,11,12,1,0,-2048 -2048 0 0 0 0 0 0 512 0 
White,26x17 1,1718694,105632,473808,12,11,12,1,0,0 0 0 0 0 0 512 0 512 256 512 
White,44-39 1,1801052,202168,451602,10,11,11,1,0,0 0 1024 0 768 0 768 384 768 
White,6-11 3,1547377,123884,478735,10,11,11,1,0,0 0 1024 0 768 0 768 512 768 
White,11-2 3,1568374,104468,455272,10,11,11,1,0,0 0 1024 512 896 512 768 512 768 
White,17-12 1,1392293,45853,344506,10,11,11,1,0,0 0 1024 512 768 512 768 256 448 
White,2-11 3,1400190,37023,426459,10,11,11,1,0,0 0 1024 512 896 512 768 512 768 
White,11-22 3,1470163,32362,441255,10,11,11,1,0,0 0 1024 0 896 512 896 504 510 
White,22-4 3,1494133,36273,522863,10,11,11,1,0,0 0 1024 512 896 512 768 480 512 
White,50-44 1,1511781,80704,416185,10,11,11,1,0,0 0 1024 512 512 0 512 256 448 
White,34x23 1,1230093,36065,386827,13,11,11,1,0,1024 0 0 0 0 0 512 512 512 448 480 384 
White,4-18 3,1619581,56470,441068,11,10,10,1,0,0 0 0 0 512 512 512 448 480 384 
White,18x34 3,1685656,108218,305553,11,10,10,1,0,512 512 512 512 512 448 448 384 448 256 
White,34-30 3,1609414,92541,384436,10,10,9,1,0,512 512 512 448 448 384 448 256 384 
White,45-40 1,1467392,89317,382594,11,10,9,1,0,512 512 768 512 512 384 448 384 448 240 
White,12-7 1,1537722,61767,358208,11,10,9,1,0,512 512 512 512 512 448 448 448 480 240 
White,39-34 1,1593573,44488,357195,11,10,9,1,0,512 512 512 512 512 480 480 448 480 448 
White,7-2 3,1502648,61026,450363,12,10,9,1,0,512 512 512 480 480 448 480 448 448 240 248 
White,2-11 3,1565928,34468,460963,13,10,9,2,0,512 512 512 480 480 480 496 480 496 480 480 480 
White,11-6 3,1607536,65228,389359,13,10,9,2,0,512 512 896 768 896 480 496 448 480 480 496 252 
White,30x13 3,1502308,9299,502591,12,10,9,2,0,768 768 896 896 960 448 448 448 448 448 480 
White,13x30 3,1599312,80916,516462,14,10,8,2,0,896 896 960 448 448 448 480 448 480 448 480 448 496 
White,34x23 1,2003831,156085,408651,13,9,7,1,0,448 448 448 448 480 448 480 448 480 448 496 480 
White,23-18 1,2123194,221867,345622,11,9,6,1,0,448 448 480 448 480 448 480 448 496 480 
White,6-11 3,1617436,126414,488213,10,9,6,1,0,448 448 496 448 496 448 496 480 496 
White,11-39 3,1691898,135028,502440,10,9,6,1,0,448 448 496 448 496 448 496 496 496 
White,18-12 1,1680473,103178,457783,11,9,6,1,0,448 448 496 448 496 496 496 480 496 496 
