sep=,
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,#WP,#BP,#WK,#BK,EvaluationValues
Black,16-21 2,1747503,43820,414759,12,20,20,0,0,0 0 0 0 0 0 0 0 0 0 0 
Black,21x32 2,1607100,91321,529467,13,20,20,0,0,25 0 0 0 0 0 0 0 0 0 0 0 
Black,11-16 2,1818043,93268,472468,12,19,19,0,0,0 0 0 0 0 0 0 0 0 0 0 
Black,18x29 2,1493662,51592,352101,14,19,19,0,0,25 0 25 0 0 0 0 0 0 0 0 0 0 
Black,19x28 2,2026084,154134,484547,14,18,18,0,0,25 -25 0 0 0 0 0 0 0 0 0 0 0 
Black,6x17 2,2039405,154226,487791,12,17,16,0,0,0 0 0 0 0 0 0 0 0 0 0 
Black,1-6 2,1859963,127451,445611,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
Black,6-11 2,1805313,84998,509034,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
Black,12-18 2,1766912,92606,550222,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
Black,7-12 2,1904154,92425,427939,11,16,16,0,0,0 0 25 0 0 0 0 0 0 0 
Black,2-7 2,1670113,147608,322013,11,16,16,0,0,0 0 25 0 0 0 0 0 0 0 
Black,20-24 2,2314776,871689,435124,10,16,16,0,0,0 0 25 25 25 0 25 0 25 
Black,13-19 2,1965630,286605,440178,11,16,16,0,0,0 0 25 25 25 0 25 0 0 0 
Black,18x27 2,1915606,164048,487397,11,16,16,0,0,25 25 25 25 25 0 0 0 0 0 
Black,8-13 2,1525834,86186,387809,11,15,16,0,0,25 25 25 0 0 0 0 0 0 0 
Black,19x28 2,1949282,124198,395095,13,15,16,0,0,50 0 0 0 0 0 0 0 0 0 0 0 
Black,3-8 2,2115268,131303,455452,11,14,14,0,0,0 0 0 0 0 0 0 0 0 0 
Black,12-18 2,2181834,123503,430209,11,14,14,0,0,0 0 0 0 0 0 0 0 0 0 
Black,7-12 2,2247360,230198,406067,10,14,14,0,0,0 0 25 0 0 0 0 0 0 
Black,13-19 2,2566380,212790,394125,10,14,14,0,0,0 0 0 0 0 0 0 0 0 
Black,8-13 2,2108974,218480,466020,11,14,14,0,0,0 0 0 0 0 0 0 0 0 0 
Black,15-20 2,1631429,82187,506332,11,14,14,0,0,0 0 0 0 0 0 0 0 0 0 
Black,10-15 2,1616819,41627,493422,11,14,14,0,0,0 0 0 0 0 0 0 0 0 0 
Black,4-10 2,1668709,47504,470263,11,14,14,0,0,0 0 0 0 0 0 0 0 0 0 
Black,18-23 2,1874621,93473,438893,12,14,14,0,0,0 0 0 0 0 0 0 0 0 0 0 
Black,12-18 2,2170501,190763,477769,12,14,14,0,0,0 0 0 0 0 0 25 0 0 0 0 
Black,16-21 2,1497207,98730,509998,13,14,14,0,0,0 0 0 0 25 0 0 0 0 0 0 0 
Black,18x27x38 2,1972803,267764,402823,12,14,12,0,0,0 0 25 0 0 0 0 0 0 0 0 
Black,23x32 2,2025048,302387,460527,12,12,12,1,0,25 25 25 0 0 0 0 0 0 -25 0 
Black,17-21 2,1751139,168459,530414,13,11,12,1,0,25 0 0 0 0 0 0 -25 0 -25 -25 -25 
Black,19-23 2,1688467,165994,514600,11,11,11,1,0,0 0 0 0 0 -25 0 -25 -25 -25 
Black,13-19 2,1668255,164030,533327,11,11,11,1,0,0 0 0 -25 0 -25 0 -25 -25 -25 
Black,32-37 2,1776168,113980,500903,11,11,11,1,0,0 0 0 0 0 -25 -25 -25 -25 -25 
Black,9-13 2,1504660,55726,464842,11,11,11,1,0,0 0 0 -25 -25 -25 -25 -25 -25 -25 
Black,24-30 2,1544687,61033,463665,11,11,11,1,0,0 0 0 0 0 -25 0 -25 -25 -25 
Black,19-24 2,1534415,39668,497531,11,11,11,1,0,0 0 0 -25 0 -25 -25 -25 -25 -25 
Black,13-19 2,1543377,383252,513287,12,11,11,1,0,0 0 0 -25 0 -25 -25 -25 -25 -50 -25 
Black,30-35 2,1684517,76102,443499,12,11,11,1,0,0 0 0 -25 -25 -25 0 -25 -25 -25 -25 
Black,23-29 2,1853782,79135,344689,12,11,11,1,0,0 0 0 0 0 0 0 -25 -25 -25 -25 
Black,19x28 2,1632355,269613,412418,11,11,10,1,0,0 0 0 0 0 -25 -25 -25 -25 -50 
Black,24-29 2,1925494,216490,376536,12,10,10,1,0,0 0 0 -25 -25 -25 -25 -25 -25 -50 -50 
Black,20-24 2,1650603,115934,496116,11,10,9,1,0,-25 -25 -25 -25 -25 -50 -25 -50 -50 -50 
Black,14-19 2,1638656,128576,444819,12,10,9,1,0,-25 -25 -25 -50 -25 -50 -50 -50 -50 -50 -50 
Black,10-14 2,1552420,322203,505970,12,10,9,1,0,-25 -25 -25 -25 -25 -25 -25 -50 -50 -75 -50 
Black,5-10 2,1519432,116865,388473,12,10,9,1,0,-25 -25 -25 -25 -25 -50 -50 -50 -50 -75 -75 
Black,15-20 2,1411378,229847,279800,12,10,9,1,0,-25 -25 -25 -25 -25 -50 -50 -50 -50 -75 -75 
Black,10-15 2,1455006,75923,495421,13,10,9,2,0,-25 -25 -25 -50 -50 -50 -50 -75 -75 -100 -100 -100 
Black,28-32 2,1914566,126911,423088,14,10,9,2,0,-25 -25 -25 -75 -75 -100 -75 -100 -75 -100 -100 -125 -125 
Black,24-29 2,2160639,227950,327996,14,10,9,2,0,-25 -50 -50 -75 -75 -100 -75 -75 -75 -100 -100 -100 -100 
Black,20-24 2,1918456,59983,293265,15,10,8,2,0,-50 -75 -75 -100 -75 -75 -75 -100 -75 -100 -100 -125 -125 -125 
Black,35x24 2,2294331,298401,396677,14,10,7,2,0,-50 -75 -75 -75 -75 -100 -75 -100 -100 -125 -125 -125 -125 
Black,15-20 2,2111892,280289,380378,12,9,6,1,0,-75 -75 -75 -100 -75 -100 -100 -125 -125 -125 -125 
Black,24-29 2,1746216,129285,558503,11,9,6,1,0,-75 -75 -75 -100 -100 -100 -100 -125 -125 -125 
Black,20-24 2,1769099,196325,505817,11,9,6,1,0,-75 -75 -75 -100 -100 -100 -100 -125 -125 -150 
Black,14-19 2,1783169,117689,494622,12,9,6,1,0,-75 -75 -75 -125 -100 -125 -125 -125 -125 -175 -175 
Black,19-23 2,1985087,248604,483677,13,9,6,1,0,-75 -75 -75 -125 -125 -125 -125 -150 -150 -175 -175 -175 
Black,23-28 2,2085598,525390,498600,15,9,6,1,0,-75 -100 -100 -100 -100 -125 -125 -125 -125 -175 -175 -200 -200 -225 
Black,24-30 2,1848184,84515,594230,18,9,3,1,0,-150 -150 -150 -150 -150 -175 -175 -200 -200 -225 -225 -225 -225 -225 -225 -225 -225 
Black,32-37 2,945,3,313,99,9,1,1,0,-200 -200 -200 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 -225 
White,31-26 1,1857965,56795,508467,12,20,20,0,0,0 0 0 0 0 0 0 0 0 0 0 
White,32-27 1,1599799,44783,490717,12,20,20,0,0,0 0 0 0 0 0 0 0 0 0 0 
White,37x28 1,1619376,92087,534794,12,19,20,0,0,0 0 0 0 0 0 0 0 0 0 0 
White,28-23 1,2112770,205528,329406,12,19,19,0,0,0 0 0 0 0 0 0 0 0 0 0 
White,34x23 1,1902270,84723,430113,14,18,19,0,0,0 -25 25 0 0 0 0 0 0 0 0 0 0 
White,33x22x11 1,1994026,153779,476361,13,17,18,0,0,25 0 0 0 0 0 0 0 0 0 0 0 
White,35-30 1,1911802,146984,460124,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,30-25 1,1829351,140472,490875,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,36-31 1,2193557,167280,429617,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,31-27 1,2044786,123595,492443,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,38-32 1,1678353,109963,469475,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,32-28 1,1704133,143829,503443,10,16,16,0,0,0 0 0 0 0 0 0 0 0 
White,39-33 1,2090188,519577,450839,10,16,16,0,0,0 0 0 -25 0 -25 0 -25 0 
White,27-22 1,1645935,246584,487461,10,16,16,0,0,0 0 0 -25 0 0 0 0 0 
White,43-39 1,1791746,157543,435918,10,15,16,0,0,-25 -25 -25 -25 0 0 0 0 0 
White,28-23 1,1780855,150056,499991,11,15,16,0,0,-25 -25 0 0 0 0 0 0 0 0 
White,33x22x31 1,1911027,123408,381962,12,14,16,0,0,0 0 0 0 0 0 0 0 0 0 0 
White,31-27 1,1651887,141780,554470,10,14,14,0,0,0 0 0 0 0 0 0 0 0 
White,39-33 1,1828582,111603,509327,10,14,14,0,0,0 0 0 0 0 0 0 0 0 
White,33-28 1,1768978,199934,475681,10,14,14,0,0,0 0 0 0 0 0 0 0 0 
White,41-37 1,1974271,166468,457093,10,14,14,0,0,0 0 0 0 0 0 0 0 0 
White,37-32 1,1724304,173057,472227,10,14,14,0,0,0 0 0 0 0 0 0 0 0 
White,40-34 1,1891343,108965,476678,11,14,14,0,0,0 0 0 0 0 0 0 0 0 0 
White,42-37 1,2039159,63515,479183,11,14,14,0,0,0 0 0 0 0 0 0 0 0 0 
White,37-31 1,1670443,60447,443807,11,14,14,0,0,0 0 0 0 0 0 0 0 0 0 
White,27-22 1,1905272,107106,381627,11,14,14,0,0,0 0 0 0 0 0 0 0 0 0 
White,31-27 1,2224223,219002,428590,12,14,14,0,0,0 0 0 0 0 -25 0 0 0 0 0 
White,27x16x7 1,1953866,267432,400607,13,14,14,0,0,50 0 0 -25 0 0 0 0 0 0 0 0 
White,7-1 3,2001230,270963,405728,11,12,12,0,0,0 -25 0 0 0 0 0 0 0 0 
White,1-6 3,2038174,303884,462127,11,11,12,1,0,-25 -25 0 0 0 0 0 0 25 0 
White,6x28x37 3,2136727,166620,385689,13,11,12,1,0,25 0 25 25 25 25 50 50 50 50 50 50 
White,44x35 1,1945431,130257,483408,12,10,10,1,0,25 25 25 25 50 50 50 50 50 50 50 
White,26-21 1,1844756,112651,563025,11,10,9,1,0,25 25 50 50 50 50 50 50 50 50 
White,37x19 3,2378034,638119,314795,13,10,9,1,0,50 25 75 75 75 75 75 75 100 100 100 100 
