sep=,
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,#WP,#BP,#WK,#BK,EvaluationValues
Black,16-21 2,1309429,21094,357713,12,20,20,0,0,0 0 0 0 0 0 0 0 0 0 0 
Black,21x32 2,1314348,35023,390115,13,20,20,0,0,25 0 0 0 0 0 0 0 0 0 0 0 
Black,11-16 2,1332618,34071,416784,12,19,19,0,0,0 0 0 0 0 0 0 0 0 0 0 
Black,17x26 2,1239165,46341,278663,12,19,19,0,0,25 25 25 25 25 25 25 25 25 25 25 
Black,18x27 2,1598392,75080,339478,12,18,19,0,0,50 50 50 50 50 25 50 25 50 50 50 
Black,6-11 2,1681723,42135,306617,10,17,19,0,0,50 50 50 50 50 50 50 50 50 
Black,27x18 2,1869657,140660,331675,12,17,19,0,0,75 75 75 75 75 75 75 75 75 75 75 
Black,11-17 2,1415937,28275,425684,12,16,19,0,0,75 75 75 75 75 75 75 75 75 75 75 
Black,18x29 2,1474048,32969,373080,13,16,19,0,0,100 100 100 100 100 100 100 100 100 100 100 100 
Black,7-11 2,1456215,40276,340819,12,15,19,0,0,100 100 100 100 100 100 100 100 100 100 100 
Black,19x30 2,1503977,5778,371218,12,15,19,0,0,125 125 125 100 100 100 100 100 100 100 100 
Black,26x37 2,1270461,77451,322732,11,14,19,0,0,150 125 125 125 125 100 125 100 125 125 
Black,20-25 2,1597429,41881,398043,10,13,18,0,0,125 125 125 100 125 100 125 125 125 
Black,30-35 2,1578255,4723,357229,11,13,18,0,0,125 125 125 125 125 125 125 125 125 125 
Black,16x27 2,1634804,8420,400326,12,13,18,0,0,150 150 150 125 150 150 150 150 150 150 150 
Black,27x38 2,1573686,19328,392233,13,12,18,0,0,175 125 125 125 150 150 150 150 150 150 150 150 
Black,14-19 2,1529828,18770,378383,11,11,16,0,0,125 125 150 150 150 150 150 150 150 150 
Black,15x24 2,1639320,11680,401244,11,11,16,0,0,150 150 150 150 150 150 150 150 150 150 
Black,9-14 2,1649750,16472,366439,10,10,16,0,0,150 150 150 150 150 150 150 150 150 
Black,4-9 2,1259464,20143,300844,11,10,16,0,0,150 150 150 150 150 150 150 150 150 150 
Black,17x28 2,1506850,43490,414159,13,10,16,0,0,175 175 175 175 175 175 175 175 175 175 175 175 
Black,10-15 2,1519061,22014,397196,11,9,16,0,0,175 175 175 175 175 175 175 175 175 175 
Black,24x33 2,1560432,16255,439781,12,9,16,0,0,200 200 200 200 200 200 200 200 200 200 200 
Black,33x42 2,1658754,47264,394226,14,8,16,0,0,225 200 200 200 200 200 200 200 200 200 200 200 200 
Black,5-10 2,1321285,28231,296048,12,7,15,0,0,200 200 200 200 200 200 200 200 200 200 200 
Black,28x37 2,1690333,15255,485679,13,7,15,0,0,225 225 225 225 225 225 225 225 225 225 225 225 
Black,11-16 2,1623022,11101,469950,11,6,15,0,0,225 225 225 225 225 225 225 225 225 225 
Black,12-17 2,1709194,16459,411266,11,6,15,0,0,225 225 225 225 225 225 225 225 225 225 
Black,13-18 2,1867195,14507,443679,12,6,15,0,0,225 225 225 225 225 225 250 250 250 250 250 
Black,17x28 2,2281487,26877,315194,11,6,15,0,0,250 250 250 250 250 250 250 250 250 250 
Black,35x44 2,1818979,40117,389306,11,5,15,0,0,275 250 250 250 250 250 250 250 250 250 
Black,8-12 2,1850538,96410,504245,10,4,14,0,0,250 250 250 250 250 250 275 275 275 
Black,9-13 2,1825799,101450,581520,10,4,14,0,0,250 250 250 250 250 250 275 275 275 
Black,28-32 2,2052920,180053,463083,11,4,14,0,0,250 250 250 250 275 275 275 275 300 300 
Black,18x29 2,2348440,79005,356873,12,4,14,0,0,275 275 275 275 275 275 400 400 425 425 425 
Black,37x46 4,2004024,307630,464363,12,3,14,0,0,425 425 425 425 425 425 450 450 475 475 550 
Black,19-24 2,1803359,313111,385467,11,2,14,0,1,425 425 425 425 450 450 475 475 550 550 
Black,32x41 2,2014870,6372,500517,15,2,14,0,1,450 450 575 575 575 575 575 575 600 600 600 600 600 600 
Black,12-17 2,1954830,5635,464969,13,1,14,0,1,575 575 575 575 575 575 600 600 600 600 600 600 
Black,41-47 4,2121858,18890,378314,16,1,14,0,1,575 575 600 600 600 600 600 600 600 600 600 600 600 600 600 
Black,29x38 2,196,0,0,99,1,14,0,2,600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 
White,31-26 1,1538584,33820,427259,12,20,20,0,0,0 0 0 0 0 0 0 0 0 0 0 
White,32-27 1,1528338,36380,467293,12,20,20,0,0,0 0 0 0 0 0 0 0 0 0 0 
White,37x28 1,1419881,36790,435922,12,19,20,0,0,0 0 0 0 0 0 0 0 0 0 0 
White,28-23 1,1722233,98656,320707,11,19,19,0,0,0 0 0 0 0 0 0 0 0 0 
White,34x23 1,1731551,49158,353246,14,18,19,0,0,0 -25 25 0 0 0 0 0 0 0 0 0 0 
White,33x22x11 1,1175264,44750,356986,13,17,18,0,0,25 0 0 0 0 0 0 0 0 0 0 0 
White,35-30 1,1654481,93166,408401,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,30-25 1,1487789,114795,448167,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,36-31 1,1729017,77160,402884,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,31-27 1,1682248,108340,460065,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,38-32 1,1456357,105406,461533,10,16,16,0,0,0 0 0 0 0 0 0 0 0 
White,32-28 1,1682156,142751,497939,10,16,16,0,0,0 0 0 0 0 0 0 0 0 
White,40-34 1,1591161,133456,433849,10,16,16,0,0,0 0 0 -25 0 -25 0 0 0 
White,42-37 1,1861672,468816,458708,10,16,16,0,0,0 0 0 -25 0 -25 0 -25 0 
White,37-31 1,1721826,223790,341673,11,16,16,0,0,0 0 0 -25 0 -25 0 0 0 0 
White,27x16 1,1703749,84707,361784,13,16,16,0,0,25 25 25 0 0 0 25 25 25 25 25 25 
White,26x17x6 1,1290075,100889,420828,14,16,15,0,0,75 75 100 75 100 100 100 100 100 75 100 100 100 
White,6x17 1,1825518,154251,446815,13,16,13,0,0,100 75 100 100 100 100 100 75 100 100 100 100 
White,16x27 1,1919510,177368,369076,13,15,12,0,0,100 100 100 100 100 75 100 100 100 100 100 100 
White,27-21 1,2054588,188051,356917,12,15,11,0,0,100 100 100 100 100 100 100 100 100 100 100 
White,21x12x23 1,2039017,314047,401372,13,15,11,0,0,150 150 150 150 175 175 200 200 250 200 200 200 
White,23x12 1,2168073,160049,282357,13,15,9,0,0,175 175 175 175 200 200 275 275 300 275 275 275 
White,12-7 1,1622307,340220,617432,10,15,8,0,0,175 175 225 225 275 275 300 300 325 
White,7-2 3,2060826,146750,421412,11,15,8,0,0,300 300 300 300 325 325 325 325 350 350 
White,2x35 3,2054121,181348,479585,15,15,8,1,0,325 325 350 325 375 350 375 350 375 375 375 375 375 375 
