sep=,
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,#WP,#BP,#WK,#BK,EvaluationValues
White,31-26 1,726871,12291,175356,11,20,20,0,0,0 0 0 0 0 0 0 0 0 0 
White,26x17 1,815631,28597,146148,13,20,20,0,0,25 0 0 0 0 0 0 0 0 0 0 0 
White,32-27 1,851144,20472,175069,11,19,19,0,0,0 0 0 0 0 0 0 0 0 0 
White,37x28 1,836262,33840,170739,12,18,19,0,0,0 0 0 0 0 0 0 0 0 0 0 
White,33-29 1,868364,60862,225409,11,18,18,0,0,0 0 0 0 0 0 0 0 0 0 
White,29-23 1,804476,50226,203928,11,18,18,0,0,0 0 0 0 0 0 0 0 0 0 
White,34x23 1,716933,20004,187066,12,17,18,0,0,0 0 0 0 0 0 0 0 0 0 0 
White,35-30 1,882529,65306,197153,11,17,17,0,0,0 0 0 0 0 0 0 0 0 0 
White,39x30 1,843433,67795,173957,11,16,17,0,0,0 0 0 0 0 0 0 0 0 0 
White,36-31 1,866002,61111,227565,10,16,16,0,0,0 0 0 0 0 0 0 0 0 
White,41x32 1,861209,68630,242193,10,15,16,0,0,0 0 0 -25 -25 -25 0 -25 0 
White,30-25 1,821380,73228,195405,10,15,15,0,0,0 0 0 0 0 0 0 0 0 
White,25-20 1,865798,81892,265421,10,15,15,0,0,0 -25 -25 -25 0 -25 0 -25 -25 
White,44-39 1,1018884,273033,212716,10,14,15,0,0,-25 -50 -25 -50 -25 -25 -25 -50 -25 
White,39-34 1,958894,201335,200491,10,13,15,0,0,-50 -50 -25 -25 -25 -50 -40 -50 -25 
White,34x23 1,901543,98175,230302,11,13,15,0,0,-25 -25 -25 -50 -25 -25 -25 -25 -25 -50 
White,28x17 1,1145186,343947,271263,12,13,14,0,0,0 -50 -25 -25 -25 -25 -25 -50 -25 -50 -25 
White,42x31 1,1136315,337443,269365,10,11,13,0,0,-25 -25 -25 -25 -25 -50 -25 -50 -25 
White,17-11 1,1099991,283543,272718,9,11,12,0,0,-25 -25 -25 -25 -25 -50 -25 -50 
White,31-26 1,1022742,173266,175038,10,10,12,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 
White,26-21 1,982199,126253,190079,10,10,12,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 
White,21-16 1,995788,102305,196165,10,10,12,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 
White,38-32 1,927115,53942,214716,10,10,12,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 
White,32-27 1,955096,113171,208605,10,10,12,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 
White,27-21 1,919680,106619,249080,10,10,12,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 
White,40-34 1,851323,19581,214395,10,10,12,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 
White,34-29 1,947961,83184,265382,11,10,12,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 
White,45-40 1,963056,41878,251532,12,9,12,0,0,-75 -75 -50 -50 -50 -50 -50 -50 -50 -50 -50 
White,50x39x28 1,975092,63738,225352,11,8,12,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 
White,21-17 1,1140477,254714,241038,11,8,10,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 
White,16x27 1,1056744,90582,257457,11,7,10,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 
White,27-21 1,1090288,118500,210346,10,7,9,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 
White,43-39 1,1009180,73864,255655,9,7,9,0,0,-50 -50 -50 -50 -50 -50 -50 -50 
White,48x39 1,943398,82647,230962,12,6,9,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 
White,21-16 1,1229484,300735,246348,12,6,8,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 
White,28-23 1,1052035,28387,277422,11,6,8,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 
White,39-33 1,1065549,54947,283966,11,6,8,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 
White,33-28 1,1043708,34298,278072,11,6,8,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 
White,46-41 1,844356,18239,233822,11,6,8,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 
White,41-36 1,1071256,55105,318771,12,6,8,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 
White,47-41 1,1056970,36467,289193,12,6,8,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 
White,41-37 1,1028155,25658,287642,12,6,8,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 
White,16-11 1,1145725,104351,306716,12,6,8,0,0,-50 -50 -25 -25 -25 -25 -25 -25 -25 -50 -50 
White,37-31 1,1262623,249134,361870,12,5,8,0,0,-75 -75 -50 -50 -50 -50 -50 -50 -50 -75 -50 
White,28x37 1,978023,19737,290892,11,5,8,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 
White,49-44 1,1083847,26418,303497,11,5,7,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 
White,31-26 1,1052784,9719,296497,13,5,7,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 
White,37-31 1,1112123,21281,375659,13,5,7,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 
White,23-18 1,1166414,35716,351516,16,5,7,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 
White,31-27 1,1253510,21366,297489,14,4,7,0,0,-75 -75 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 
White,26x37x28 1,1371885,242232,407988,13,3,7,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -75 
White,28-22 1,1274062,80494,458612,13,3,5,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -75 
White,36-31 1,1350144,138383,376984,12,3,5,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 -75 -50 
White,22-17 1,1334335,136124,399836,13,3,5,0,0,-50 -50 -50 -50 -50 -50 -50 -50 -50 -75 -75 -100 
White,31-26 1,1261873,83527,247608,12,3,5,0,0,-50 -50 -50 -50 -50 -50 -50 -75 -75 -100 -100 
White,17-11 1,972352,6527,258395,17,3,5,0,0,-50 -50 -50 -50 -50 -75 -75 -100 -100 -1125 -1125 -1125 -1125 -1125 -1125 -1125 
White,26-21 1,569,7,189,39,2,5,0,0,-75 -100 -100 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 
White,44-39 1,193,2,39,39,1,5,0,0,-100 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 -1125 
Black,16-21 2,841049,8928,284439,11,20,20,0,0,0 0 0 0 0 0 0 0 0 0 
Black,11-16 2,818022,11576,250096,12,20,20,0,0,0 0 0 0 0 0 0 0 0 0 0 
Black,18x29 2,843558,13202,188720,14,20,20,0,0,25 0 25 0 0 0 0 0 0 0 0 0 0 
Black,19x28 2,883868,39083,236145,14,19,19,0,0,25 -25 0 0 0 0 0 0 0 0 0 0 0 
Black,6x17 2,862076,39032,231237,12,18,17,0,0,0 0 0 0 0 0 0 0 0 0 0 
Black,7-11 2,836768,18990,249090,11,17,17,0,0,0 0 0 0 0 0 0 0 0 0 
Black,12-18 2,849061,35621,209735,11,17,17,0,0,0 0 0 0 0 0 0 0 0 0 
Black,21x32 2,804947,10294,222046,11,17,17,0,0,25 25 25 0 0 0 0 0 0 0 
Black,8-12 2,810600,2534,223203,11,16,17,0,0,25 0 0 0 0 0 0 0 0 0 
Black,2-7 2,752124,21830,181864,10,16,16,0,0,0 0 0 0 0 0 0 0 0 
Black,14-19 2,833613,28163,204811,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
Black,9-14 2,801653,7357,243554,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
Black,4-9 2,833913,12906,194093,10,16,16,0,0,0 0 0 0 0 0 0 0 0 
Black,18-22 2,826199,22739,232075,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
Black,12x23 2,928488,98710,243985,11,16,15,0,0,0 0 0 0 0 0 0 0 0 0 
Black,7-12 2,804994,20576,176181,10,15,15,0,0,0 0 0 0 0 0 0 0 0 
Black,12-18 2,869131,36212,179773,10,15,15,0,0,0 0 0 0 0 0 0 0 0 
Black,16-21 2,837627,27507,215704,11,15,15,0,0,0 0 0 0 0 0 0 0 0 0 
Black,23x32 2,864625,32141,204989,13,15,15,0,0,25 25 25 0 0 0 0 0 0 0 0 0 
Black,11-16 2,856273,37013,202662,12,14,15,0,0,25 0 0 0 0 0 0 0 0 0 0 
Black,18-23 2,915668,50413,170890,10,14,14,0,0,0 0 0 0 0 0 0 0 0 
Black,13-18 2,896317,52742,192762,11,14,14,0,0,0 0 0 0 0 0 0 0 0 0 
Black,9-13 2,905064,42916,214332,11,14,14,0,0,0 0 0 0 0 0 0 0 0 0 
Black,3-8 2,891874,27611,257910,11,14,14,0,0,0 0 0 0 0 0 0 0 0 0 
Black,8-12 2,952484,51845,288157,11,14,14,0,0,0 0 0 0 0 0 0 0 0 0 
Black,1-6 2,900216,32534,304835,12,14,14,0,0,0 0 0 0 0 0 0 0 0 0 0 
Black,23x34 2,998195,70850,219453,13,14,14,0,0,25 0 0 0 0 0 0 0 0 0 0 0 
Black,18-23 2,1013700,71079,224914,11,13,13,0,0,0 0 0 0 0 0 0 0 0 0 
Black,12-18 2,929263,45073,293990,11,13,13,0,0,0 0 0 0 0 0 0 0 0 0 
Black,21x32 2,998609,84172,235188,12,13,13,0,0,25 0 0 0 0 0 0 0 0 0 0 
Black,6-11 2,1021165,101358,203869,10,12,12,0,0,0 0 0 0 0 0 0 0 0 
Black,16-21 2,1308214,396161,284447,10,12,12,0,0,0 0 0 0 0 0 25 0 25 
Black,11-16 2,1121251,282098,423157,11,12,12,0,0,0 0 25 0 25 0 25 0 0 0 
Black,21x32 2,996024,57236,221377,12,12,12,0,0,25 0 0 0 0 0 0 0 0 0 0 
Black,16-21 2,976408,58787,201147,11,11,11,0,0,0 0 0 0 0 0 0 0 0 0 
Black,18-22 2,947232,24922,239057,11,11,11,0,0,0 0 0 0 0 0 0 0 0 0 
Black,13-18 2,932037,39818,243759,11,11,11,0,0,0 0 0 0 0 0 0 0 0 0 
Black,19-24 2,953913,45120,288970,11,11,11,0,0,0 0 0 0 0 0 0 0 0 0 
Black,22-28 2,904700,55510,223832,13,11,11,0,0,0 0 0 0 0 0 0 0 0 0 0 0 
Black,23-29 2,985994,88732,262140,13,11,10,0,0,-25 -25 0 -25 0 0 0 0 0 0 0 0 
Black,14x23 2,1033164,93492,293483,15,11,10,0,0,0 -25 0 0 0 0 0 0 0 0 0 0 0 0 
Black,10x19 2,1053118,94051,299385,13,10,9,0,0,0 0 0 0 0 0 0 0 0 0 0 0 
Black,5-10 2,989312,33536,248617,12,9,9,0,0,0 0 0 0 0 0 0 0 0 0 0 
