sep=,
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,#WP,#BP,#WK,#BK,EvaluationValues
White,31-26 1,620476,1823,156815,10,20,20,0,0,5 0 0 0 0 0 5 -5 0 
White,32-28 1,697160,4342,185014,10,20,20,0,0,30 25 25 20 20 15 30 15 20 
White,28-23 1,735238,12026,188436,11,20,20,0,0,25 20 20 10 40 35 35 30 25 25 
White,34x23 1,743522,9174,153683,12,19,20,0,0,15 -10 50 40 40 35 25 25 35 25 35 
White,33x22x11 1,711120,6121,127605,11,18,19,0,0,50 40 40 35 25 25 35 25 35 25 
White,37-31 1,742813,6508,136196,9,17,17,0,0,40 35 25 25 35 25 35 25 
White,35-30 1,781084,21232,163066,10,17,17,0,0,90 80 90 80 85 75 85 85 90 
White,30-25 1,764086,35243,152656,10,17,17,0,0,85 95 100 90 85 80 100 90 100 
White,40-35 1,763994,14827,162032,9,17,17,0,0,110 100 95 90 100 90 105 100 
White,38-32 1,762525,11591,165248,10,17,17,0,0,90 90 100 90 100 100 105 90 100 
White,31-27 1,791228,31433,190577,10,17,17,0,0,165 155 165 155 175 165 165 155 165 
White,39-34 1,799066,40997,201975,10,17,17,0,0,165 155 165 155 165 155 165 155 160 
White,34-30 1,819933,56747,248565,10,17,17,0,0,155 155 155 155 165 150 165 150 165 
White,44-40 1,795861,36216,175298,11,17,17,0,0,220 220 230 230 230 220 230 220 230 215 
White,27x18 1,830433,50710,203181,12,17,17,0,0,245 230 240 225 220 220 230 215 220 215 220 
White,42-37 1,828241,43261,257939,11,16,16,0,0,240 225 220 220 240 230 230 220 230 215 
White,37-31 1,933766,160345,288107,11,16,16,0,0,220 220 240 230 230 220 230 220 230 205 
White,40-34 1,960132,185680,330650,11,16,16,0,0,240 225 220 210 230 220 220 210 220 200 
White,34-29 1,818054,41487,214463,11,16,16,0,0,220 205 210 210 230 205 210 205 215 205 
White,30x39 1,792291,43209,171404,12,15,16,0,0,210 210 230 205 210 205 215 205 210 195 210 
White,39-34 1,892181,70019,291315,11,15,15,0,0,230 205 210 205 230 205 210 195 210 195 
White,34-30 1,904232,92624,307462,10,15,15,0,0,210 210 230 205 210 200 210 195 205 
White,43-39 1,945562,151152,241728,11,15,15,0,0,230 205 210 200 220 200 215 195 215 205 
White,39-33 1,828332,63057,256638,10,15,15,0,0,210 200 220 205 215 195 220 205 215 
White,31-27 1,799609,24226,244760,10,15,15,0,0,210 195 215 200 225 215 215 210 210 
White,36x27 1,928071,121759,179272,11,14,15,0,0,195 190 210 205 215 210 210 205 225 215 
White,33x24 1,823949,25689,234538,12,14,14,0,0,260 225 230 210 210 205 225 215 220 205 205 
White,41-36 1,838842,26197,241167,10,13,13,0,0,230 210 210 205 225 215 220 205 205 
White,36-31 1,868568,88890,188204,11,13,13,0,0,295 270 270 255 270 265 265 255 255 240 
White,27x18 1,1102436,253003,385113,13,13,13,0,0,295 270 290 265 265 255 255 240 255 235 250 225 
White,31-27 1,1101190,252987,384918,11,12,12,0,0,290 265 265 255 255 240 255 235 250 225 
White,26x37 1,868889,45563,175728,11,11,12,0,0,265 255 255 240 255 235 250 225 225 220 
White,32-28 1,807888,28945,231118,10,11,11,0,0,265 260 270 260 275 240 230 225 225 
White,37-31 1,873999,39786,275731,10,11,11,0,0,285 255 270 240 245 220 225 210 210 
White,28-23 1,1048618,199038,359932,10,11,11,0,0,280 255 245 235 225 210 210 205 200 
White,31-26 1,989143,126146,271247,11,10,11,0,0,235 235 225 200 210 195 200 175 170 165 
White,25x14 1,932128,44064,266589,12,10,11,0,0,235 230 245 215 200 200 200 175 195 195 185 
White,45-40 1,941183,44261,270509,10,9,10,0,0,245 215 200 200 200 175 195 195 185 
White,40-34 1,968249,38345,253161,12,9,10,0,0,285 255 255 240 265 260 250 240 245 245 240 
White,35x44 1,973040,47938,282089,12,8,10,0,0,255 235 260 260 250 240 220 220 240 225 215 
White,44-40 1,935154,21435,246201,11,8,9,0,0,280 270 260 240 250 250 250 230 220 205 
White,30-25 1,1132707,181237,270914,12,8,9,0,0,270 250 255 250 260 230 230 225 205 200 220 
White,40-35 1,990543,60876,231324,11,8,9,0,0,275 265 260 230 230 225 205 200 220 215 
White,25-20 1,1010358,83460,262010,11,8,9,0,0,260 240 260 225 205 200 220 215 190 175 
White,20-14 1,1144326,193606,249446,11,8,9,0,0,260 225 205 200 220 215 190 175 155 155 
White,35-30 1,1034970,126117,305178,10,7,9,0,0,200 200 220 215 190 175 155 155 145 
White,49-44 1,1038987,136608,309183,10,7,9,0,0,235 225 210 175 155 155 150 125 130 
White,44-40 1,978898,43124,279168,11,7,9,0,0,170 140 140 130 160 145 130 115 105 95 
White,30-25 1,1040074,101612,282529,11,7,9,0,0,195 165 170 155 145 115 120 100 100 95 
White,40-35 1,1111533,194156,249778,11,7,9,0,0,180 160 145 110 120 100 100 95 70 75 
White,35-30 1,1203311,226872,413729,12,7,9,0,0,180 150 125 100 120 95 80 80 70 45 100 
White,25-20 1,1007750,202438,332810,12,6,9,0,0,125 95 120 95 70 80 70 45 100 75 100 
White,26x37 1,1029653,224156,333125,12,6,9,0,0,155 125 150 125 150 130 150 125 140 115 140 
White,20-15 1,975101,150441,322182,11,6,8,0,0,205 175 200 175 150 125 140 115 145 110 
White,50x39 1,889197,83591,214416,13,6,8,0,0,155 125 125 125 140 -55 145 110 70 50 100 95 
White,37x28 1,894368,89675,189386,12,6,7,0,0,210 170 145 -55 145 120 70 50 100 95 95 
White,15-10 1,876446,77861,186289,10,4,6,0,0,145 -55 145 120 70 50 100 95 95 
White,10-4 3,915943,204221,199559,9,4,6,0,0,355 155 245 130 180 135 115 90 
White,4x31 3,839071,15825,175231,10,4,6,1,0,305 140 155 135 155 120 120 135 135 
White,31-27 3,845356,12942,194603,9,4,5,1,0,340 140 200 120 120 135 135 120 
White,27-22 3,843307,15444,197773,9,4,5,1,1,140 120 120 130 135 120 125 120 
White,22-18 3,860890,23544,213454,9,4,5,1,1,155 135 135 135 155 135 145 135 
