sep=,
pieceWeight=25 crownWeight=125 winWeight=1000  pruningWindow=10 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,#WP,#BP,#WK,#BK,EvaluationValues
White,31-26 1,805306,20562,186321,11,20,20,0,0,0 0 0 0 0 0 0 0 0 0 
White,32-27 1,868192,28572,159817,11,20,20,0,0,0 0 0 0 0 0 0 0 0 0 
White,37x28 1,892117,58712,226381,12,19,20,0,0,0 0 0 0 0 0 0 0 0 0 0 
White,28-23 1,821591,55510,205916,11,19,19,0,0,0 0 0 0 0 0 0 0 0 0 
White,34x23 1,904238,28372,189215,13,18,19,0,0,0 -25 25 0 0 0 0 0 0 0 0 0 
White,33x22x11 1,921746,55591,272096,12,17,18,0,0,25 0 0 0 0 0 0 0 0 0 0 
White,35-30 1,932150,56151,277259,10,16,16,0,0,0 0 0 0 0 0 0 0 0 
White,30-25 1,869245,66686,213379,10,16,16,0,0,0 0 0 0 0 0 0 0 0 
White,36-31 1,937950,42206,302535,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
White,31-27 1,959074,67151,288939,10,16,16,0,0,0 0 0 0 0 0 0 0 0 
White,38-32 1,936814,46758,256976,10,16,16,0,0,0 0 0 0 0 0 0 0 0 
White,32-28 1,953302,83088,238966,10,16,16,0,0,0 0 0 0 0 0 0 0 0 
White,40-34 1,1081087,201212,266148,10,16,16,0,0,0 0 0 -25 0 -25 0 0 0 
White,27-22 1,1040937,107922,361096,11,16,16,0,0,0 -25 -25 -25 -25 -25 0 -25 -25 -25 
White,22-18 1,972114,97279,184104,11,15,16,0,0,-25 -50 -25 -25 -25 -25 -25 -25 -25 -25 
White,39-33 1,867580,42821,248996,10,14,16,0,0,-50 -50 -25 -50 -25 -50 -25 -25 -25 
White,26-21 1,920308,87945,250907,10,14,16,0,0,-50 -50 -50 -50 -25 -25 -25 -50 -50 
White,34-29 1,1099827,253792,310542,10,13,16,0,0,-75 -75 -75 -75 -50 -50 -50 -75 -50 
White,42-37 1,904158,43843,201145,11,12,16,0,0,-100 -100 -75 -75 -75 -75 -50 -75 -75 -75 
White,37x28 1,899844,13876,229011,12,12,16,0,0,-75 -75 -75 -75 -50 -75 -75 -75 -75 -75 -75 
White,41-36 1,953374,52625,251080,11,12,15,0,0,-75 -75 -50 -50 -50 -75 -50 -75 -75 -75 
White,43-38 1,995023,68890,257810,11,12,15,0,0,-75 -75 -50 -50 -50 -75 -50 -75 -75 -75 
White,44-40 1,1004523,81815,239359,11,12,15,0,0,-75 -75 -50 -75 -75 -75 -75 -75 -75 -75 
White,33x44 1,976534,36450,217379,13,12,15,0,0,-50 -100 -75 -75 -75 -75 -75 -75 -75 -75 -75 -75 
White,47x38 1,948501,35089,211995,11,10,14,0,0,-75 -75 -75 -75 -75 -75 -75 -75 -75 -75 
White,38-33 1,1070465,79670,280762,11,10,13,0,0,-75 -75 -75 -75 -75 -75 -75 -75 -75 -75 
White,40-34 1,1034232,77019,306271,11,10,13,0,0,-75 -75 -75 -75 -75 -75 -75 -75 -75 -75 
White,34-29 1,1017786,84758,300587,11,10,13,0,0,-75 -75 -75 -75 -75 -75 -75 -75 -75 -75 
White,44-39 1,977055,26470,226030,11,10,13,0,0,-75 -75 -75 -75 -75 -75 -75 -75 -75 -75 
White,45-40 1,1019461,67876,240148,11,10,13,0,0,-75 -75 -75 -75 -75 -75 -75 -75 -75 -75 
White,39-34 1,1033530,113375,263514,12,10,13,0,0,-75 -75 -75 -75 -75 -75 -75 -75 -75 -75 -75 
White,40-35 1,1163350,220527,252707,12,10,13,0,0,-75 -75 -75 -75 -75 -75 -75 -75 -75 -75 -75 
White,34-30 1,1098548,138218,313922,12,10,13,0,0,-75 -75 -75 -75 -75 -75 -75 -75 -75 -75 -75 
White,30x39 1,967021,57906,216366,11,9,13,0,0,-75 -75 -75 -75 -75 -75 -75 -75 -75 -75 
White,33-29 1,968683,77020,256810,11,9,12,0,0,-75 -75 -75 -75 -75 -75 -75 -75 -75 -75 
White,39-34 1,1001451,73598,282279,12,9,12,0,0,-75 -75 -75 -75 -75 -75 -75 -75 -75 -75 -75 
White,34-30 1,883381,55492,235120,12,9,12,0,0,-75 -75 -75 -75 -75 -75 -75 -75 -75 -75 -75 
White,30x39 1,1023755,59699,255832,12,8,12,0,0,-75 -75 -75 -75 -75 -75 -75 -75 -75 -75 -75 
White,39-33 1,1069527,80626,279147,11,8,11,0,0,-75 -75 -75 -75 -75 -75 -75 -75 -75 -75 
White,46-41 1,1029686,55868,272036,11,8,11,0,0,-75 -75 -75 -75 -75 -75 -75 -75 -75 -75 
White,41-37 1,993082,36815,279890,12,8,11,0,0,-75 -75 -75 -75 -75 -75 -75 -75 -75 -75 -75 
White,25-20 1,1180443,239089,399858,11,8,11,0,0,-75 -75 -75 -75 -75 -75 -75 -75 -75 -100 
White,48-42 1,1289226,312895,467649,10,7,11,0,0,-100 -100 -100 -100 -100 -100 -100 -100 -100 
