sep=,
pieceWeight=25 crownWeight=125 pruningWindow=10 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,#WP,#BP,#WK,#BK,EvaluationValues
Black,16-21 2,1752686,43869,415839,12,20,20,0,0,0 0 0 0 0 0 0 0 0 0 0 
Black,21x32 2,1500500,79479,485763,13,20,20,0,0,25 0 0 0 0 0 0 0 0 0 0 0 
Black,11-16 2,1806968,91638,471279,12,19,19,0,0,0 0 0 0 0 0 0 0 0 0 0 
Black,18x29 2,2127627,91673,431226,14,19,19,0,0,25 0 25 0 0 0 0 0 0 0 0 0 0 
Black,19x28 2,1947947,152141,468377,14,18,18,0,0,25 -25 0 0 0 0 0 0 0 0 0 0 0 
Black,6x17 2,1886635,144228,454417,12,17,16,0,0,0 0 0 0 0 0 0 0 0 0 0 
Black,1-6 2,1975436,136858,503269,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
Black,6-11 2,1609724,78187,444752,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
Black,12-18 2,1873546,94629,583278,11,16,16,0,0,0 0 0 0 0 0 0 0 0 0 
Black,7-12 2,1977965,97834,464837,11,16,16,0,0,0 0 25 0 0 0 0 0 0 0 
Black,2-7 2,1716994,151417,336977,11,16,16,0,0,0 0 25 0 0 0 0 0 0 0 
Black,13-19 2,2440430,942020,466382,11,16,16,0,0,0 0 25 25 25 0 25 0 25 0 
Black,18-23 2,2155262,321216,458230,11,16,16,0,0,0 0 25 25 25 25 25 0 25 25 
Black,23x32 2,2019674,157047,468915,13,16,16,0,0,25 25 50 25 25 25 25 25 25 25 25 25 
Black,12x23 2,1631856,86926,415241,12,15,16,0,0,50 50 50 25 50 25 50 25 25 25 25 
Black,17-22 2,1989913,215255,515921,11,14,16,0,0,50 50 50 50 50 25 25 25 50 50 
Black,16x27 2,1966913,396785,520829,12,14,16,0,0,75 75 75 75 75 50 50 50 75 50 75 
Black,23x34 2,1947233,80841,469960,13,13,16,0,0,100 100 100 75 75 75 75 50 75 75 75 75 
Black,11-17 2,1828972,130749,420776,12,12,16,0,0,100 75 75 75 75 50 75 75 75 75 75 
Black,7-12 2,1785115,43766,514150,11,12,15,0,0,75 75 75 50 75 75 75 75 75 75 
Black,8-13 2,1459464,64370,423835,12,12,15,0,0,75 75 75 50 75 75 75 75 75 75 75 
Black,3-8 2,1925355,129668,529049,12,12,15,0,0,75 75 75 50 100 75 75 75 75 75 75 
