sep=,
pieceWeight=25 crownWeight=125 sideWeight=25 kingLaneWeight=75 
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,#WP,#BP,#WK,#BK,EvaluationValues
White,32-27 1,2429403,0,522122,10,20,20,0,0,[0 0 0 0 0 0 0 0 0 ]
White,31-26 1,2709967,0,536941,11,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 ]
White,26x17 1,2830228,0,579708,12,20,20,0,0,[-25 0 -25 -25 -25 0 -25 0 -25 0 0 ]
White,38x27 1,2539157,0,518953,10,18,19,0,0,[-25 -25 -25 0 -25 0 -25 0 0 ]
White,33-28 1,2487060,0,571365,9,18,18,0,0,[0 0 0 0 0 0 0 0 ]
White,28-22 1,2597529,0,564808,9,18,18,0,0,[-25 0 -25 0 -25 0 0 0 ]
White,27-21 1,2263762,0,601180,10,17,18,0,0,[-25 -25 -25 0 0 0 -25 0 -25 ]
White,34-30 1,2428466,0,623668,10,16,18,0,0,[-50 0 -25 0 -25 -25 -25 -25 -25 ]
White,30x19 1,2707456,0,558713,11,16,18,0,0,[-25 -25 -50 -25 -25 -25 -25 -25 -25 -25 ]
White,37-31 1,2721304,0,569891,9,15,17,0,0,[-50 0 -25 -25 -25 -25 -25 -25 ]
White,31-26 1,2681393,0,618427,9,15,17,0,0,[-25 -25 -25 -25 -25 -25 -25 -25 ]
White,40-34 1,2846314,0,554780,9,15,17,0,0,[-25 0 -25 -25 -25 -25 -25 0 ]
White,34-30 1,2955065,0,567249,8,15,17,0,0,[-25 -25 -25 -25 -25 0 0 ]
White,42-38 1,2646479,0,586092,10,15,17,0,0,[-25 25 0 0 0 0 0 0 0 ]
White,39x30 1,2444884,0,520791,9,14,17,0,0,[0 0 0 0 0 0 0 0 ]
White,30-25 1,2398251,0,560624,9,14,16,0,0,[25 25 25 25 0 0 0 -25 ]
White,38-33 1,2441073,0,545259,9,14,16,0,0,[25 25 0 0 -25 -25 -25 -25 ]
White,25x14 1,2444826,0,514672,10,14,16,0,0,[0 0 -25 -25 -50 -25 -50 -50 -50 ]
White,33-28 1,2476149,0,483462,9,13,15,0,0,[-25 -25 -50 -25 -50 -50 -50 -25 ]
White,43-38 1,2610154,0,534566,9,12,15,0,0,[-50 -25 -50 -50 -50 -25 -25 -25 ]
White,48x39x28x19x30 1,2760121,0,553998,10,11,15,0,0,[-50 -50 -50 -25 -25 -25 -25 -50 -50 ]
White,44-39 1,2445719,0,628714,8,11,11,0,0,[0 0 -25 -25 -25 -50 -50 ]
White,30-24 1,2603176,0,540197,9,11,11,0,0,[-50 -50 -50 -50 -50 -50 -50 -50 ]
White,39-33 1,2712763,0,543169,8,11,11,0,0,[-25 -25 -50 -50 -50 -50 -50 ]
White,26-21 1,2829888,0,512539,9,11,11,0,0,[-25 -25 -50 -50 -50 -50 -50 -25 ]
White,24-19 1,2463837,0,533100,10,11,11,0,0,[-75 -75 -75 -50 -50 -25 -50 -25 -50 ]
White,33-28 1,2354801,0,595092,10,10,11,0,0,[-100 -75 -75 -75 -75 -50 -50 -50 -75 ]
White,28x19 1,2483924,0,648481,10,9,11,0,0,[-75 -75 -75 -50 -50 -50 -75 -75 -100 ]
White,19-14 1,2551914,0,558290,10,9,10,0,0,[-75 -100 -100 -125 -125 -100 -100 -75 -75 ]
White,41-37 1,2536000,0,682740,10,9,10,0,0,[-25 -25 -25 0 -75 -25 -75 -75 -75 ]
White,37-32 1,2718033,0,545009,9,8,10,0,0,[-25 0 -75 -25 -75 -75 -75 -75 ]
White,47x38 1,2476326,0,655440,11,8,10,0,0,[-75 -75 -75 -75 -75 -75 -75 -50 -75 -50 ]
White,36x27 1,2690373,0,671036,11,8,9,0,0,[-75 -75 -75 -75 -75 -50 -75 -50 -50 -50 ]
White,27-21 1,2832504,0,605341,9,8,8,0,0,[-75 -50 -75 -50 -75 -50 -50 -50 ]
White,21-17 1,2834114,0,615007,9,8,8,0,0,[-50 -50 -50 -50 -25 -25 -50 -25 ]
White,17-11 1,2543163,0,654194,10,8,8,0,0,[-75 -50 -25 -25 -25 -25 -25 -25 0 ]
White,11-7 1,2806575,0,628339,11,8,8,0,0,[25 25 0 0 0 0 0 0 0 0 ]
White,32-28 1,2696811,0,693572,10,7,8,0,0,[0 0 0 0 0 0 0 0 0 ]
White,28-22 1,2642138,0,679522,10,7,8,0,0,[0 0 0 0 0 0 0 0 0 ]
White,22-18 1,2501056,0,648101,10,7,8,0,0,[0 0 0 0 0 0 0 0 25 ]
White,38-32 1,2412358,0,641846,11,7,8,0,0,[75 75 75 75 50 50 25 25 25 25 ]
White,45-40 1,2408698,0,648992,11,7,8,0,0,[75 75 50 50 25 25 25 25 0 0 ]
White,18-13 1,2245333,0,633347,11,7,8,0,0,[75 75 50 50 25 25 0 0 0 25 ]
White,49-44 1,2556000,0,652088,11,6,8,0,0,[50 50 25 0 0 0 0 25 0 0 ]
White,44-39 1,2552937,0,777729,13,6,8,0,0,[-25 75 50 50 50 25 0 0 0 -50 -50 -50 ]
White,40x49 1,2621247,0,865042,12,5,8,0,0,[50 50 50 25 0 0 0 -50 -50 -50 -50 ]
White,46-41 1,2992928,0,746744,12,5,7,0,0,[75 25 0 0 0 -25 -25 -25 -50 -50 -75 ]
White,41-36 1,2801541,0,784576,12,5,7,0,0,[0 0 0 -25 -25 -25 -25 -50 -75 -100 -100 ]
White,32x21 1,2849369,0,922316,14,5,7,0,0,[50 25 0 -25 -25 -25 -50 -75 -100 -125 -150 -150 -200 ]
White,49-43 1,2775175,0,889535,12,4,6,0,0,[0 -25 -25 -25 -50 -75 -100 -125 -150 -150 -200 ]
White,43-38 1,2936216,0,995604,13,4,6,0,0,[-25 -25 -50 -75 -100 -125 -150 -150 -200 -225 -275 -275 ]
White,35-30 1,3788651,0,769876,13,4,6,0,0,[-50 -75 -100 -125 -150 -150 -200 -225 -275 -275 -300 -300 ]
White,50-45 1,3294205,0,1154744,14,3,6,0,0,[-125 -150 -150 -175 -225 -225 -275 -275 -325 -300 -325 -300 -325 ]
White,36-31 1,2655044,0,871939,18,3,6,0,0,[-150 -175 -225 -250 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 ]
White,38-32 1,1554,0,484,99,2,6,0,0,[-225 -250 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 ]
White,45-40 1,392,0,0,99,1,6,0,0,[-300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 -300 ]
Black,17-21 2,2501486,0,531362,11,20,20,0,0,[0 0 0 25 0 25 0 25 0 25 ]
Black,11x22 2,2593762,0,578659,11,20,19,0,0,[0 25 0 25 0 25 0 25 0 0 ]
Black,22x31 2,2657686,0,561069,11,19,19,0,0,[-25 0 0 0 0 0 0 0 -25 0 ]
Black,7-11 2,2691975,0,550096,10,18,18,0,0,[0 0 0 0 0 0 -25 0 0 ]
Black,19-24 2,2547077,0,610234,10,18,18,0,0,[0 0 -25 0 -25 0 0 0 0 ]
Black,13x24 2,2938839,0,545089,9,18,17,0,0,[-25 0 -25 0 -25 0 0 0 ]
Black,24x33 2,3123615,0,555257,10,17,17,0,0,[-25 0 0 0 0 0 0 25 0 ]
Black,11-17 2,3183113,0,516572,9,16,16,0,0,[0 0 0 0 0 25 0 25 ]
Black,18x29 2,2570734,0,602827,9,16,16,0,0,[0 25 0 25 0 25 25 25 ]
Black,9-13 2,2824096,0,534299,9,15,16,0,0,[25 50 25 50 25 25 25 25 ]
Black,13-18 2,2696277,0,541249,9,15,16,0,0,[0 25 0 25 0 25 25 25 ]
Black,29x38 2,2833874,0,580619,10,15,16,0,0,[0 0 0 25 0 25 25 25 25 ]
Black,17-21 2,2842505,0,572665,8,14,15,0,0,[0 25 0 25 25 25 25 ]
Black,12x21 2,3053543,0,583662,9,14,14,0,0,[0 25 25 25 25 25 25 25 ]
Black,8-12 2,3110288,0,581458,9,13,14,0,0,[25 25 25 50 25 50 50 50 ]
Black,12-17 2,3117101,0,581458,9,13,14,0,0,[25 25 25 25 25 50 50 50 ]
Black,21-26 2,2864750,0,601632,9,13,14,0,0,[25 25 25 50 25 50 50 50 ]
Black,18x29 2,2805877,0,580644,10,13,14,0,0,[50 50 50 50 50 50 50 75 75 ]
Black,17-21 2,2864004,0,566334,9,12,14,0,0,[50 75 50 50 50 75 75 75 ]
Black,20-24 2,2722865,0,578677,9,12,14,0,0,[50 50 50 75 75 75 75 75 ]
Black,29-34 2,2693438,0,522999,9,12,14,0,0,[75 100 75 75 75 75 75 125 ]
Black,14x25 2,2423625,0,542150,10,12,14,0,0,[125 125 125 125 125 125 125 100 75 ]
Black,10-14 2,2502042,0,582927,10,11,14,0,0,[150 150 150 150 125 100 75 75 75 ]
Black,1x12 2,2628944,0,593194,10,11,14,0,0,[75 75 75 75 75 75 75 100 75 ]
Black,14-20 2,2585545,0,537736,9,10,14,0,0,[75 75 75 75 75 100 75 100 ]
Black,24-29 2,2581853,0,598891,10,10,14,0,0,[75 100 75 100 75 100 100 125 125 ]
Black,25x34 2,2724888,0,617331,9,10,13,0,0,[50 75 75 75 100 125 125 150 ]
Black,34x25 2,2784690,0,642913,9,9,13,0,0,[125 125 125 150 125 150 150 175 ]
Black,21-27 2,2742790,0,587179,9,8,13,0,0,[125 150 150 150 150 200 200 200 ]
Black,25-30 2,2641094,0,549905,8,8,13,0,0,[150 150 125 150 150 200 200 ]
Black,29-34 2,2522452,0,663943,9,8,13,0,0,[100 125 175 200 200 225 250 250 ]
Black,34x43 2,2775936,0,628961,10,8,12,0,0,[175 200 200 225 250 250 275 275 250 ]
Black,20x29 2,2884475,0,668154,10,7,11,0,0,[200 225 250 275 275 275 250 275 275 ]
Black,27-32 2,2693138,0,705734,9,6,11,0,0,[275 275 275 275 250 275 300 300 ]
Black,32-38 2,3033973,0,658044,9,6,11,0,0,[250 250 250 275 300 300 300 400 ]
Black,26x37 2,3301127,0,629506,10,6,11,0,0,[275 275 275 325 375 400 400 475 475 ]
Black,29-33 2,2860157,0,778313,10,5,11,0,0,[325 325 375 450 450 500 475 475 500 ]
Black,37-42 2,2787419,0,825764,9,5,10,0,0,[300 450 450 475 475 475 500 525 ]
Black,42-48 4,2864440,0,773345,9,5,10,0,0,[450 450 450 475 500 550 550 550 ]
Black,12-18 2,3142151,0,523437,9,5,10,0,1,[500 500 525 600 550 550 525 575 ]
Black,15-20 2,2493125,0,780375,9,5,10,0,1,[575 575 575 550 550 575 575 600 ]
Black,18x9 2,3459468,0,919432,11,5,10,0,1,[525 500 525 575 575 600 600 625 650 700 ]
Black,48x25 4,4061172,0,785236,10,4,10,0,1,[525 575 575 625 600 675 650 700 725 ]
Black,38-43 2,3519792,0,640104,9,3,10,0,1,[650 700 675 675 675 700 725 800 ]
Black,43x34 2,3165413,0,799979,11,3,10,0,1,[600 600 625 675 650 800 825 825 850 900 ]
Black,34-39 2,3297595,0,693291,10,2,10,0,1,[625 675 650 800 825 825 850 900 875 ]
Black,9-13 2,2976216,0,804024,10,2,10,0,1,[600 800 825 825 850 900 875 900 900 ]
Black,13-18 2,3177438,0,1083067,11,2,10,0,1,[625 625 700 900 875 875 900 925 925 925 ]
Black,39-44 2,3108876,0,1003794,12,2,10,0,1,[675 700 700 850 850 900 925 925 925 925 925 ]
Black,16x27 2,3211475,0,542507,14,2,10,0,1,[700 900 900 925 925 925 925 925 950 950 950 950 950 ]
Black,27-31 2,2833714,0,648595,13,1,10,0,1,[900 925 925 925 925 925 950 950 950 950 950 950 ]
Black,25-48 4,2745532,0,670841,11,1,9,0,1,[875 925 900 925 950 950 950 950 950 950 ]
Black,20-25 2,2491348,0,660406,11,1,9,0,1,[900 925 950 950 950 950 950 950 950 950 ]
Black,44-49 4,6348,0,1763,99,1,9,0,1,[950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 ]
Black,6x17 2,196,0,0,99,1,9,0,2,[950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 ]
