sep=,
pieceWeight=25 crownWeight=125 sideWeight=25 kingLaneWeight=75 winWeight=1000  
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,#WP,#BP,#WK,#BK,EvaluationValues
Black,19-24 2,892909,0,217337,10,20,20,0,0,[0 0 0 0 0 0 0 0 0 ]
Black,17-21 2,918759,0,221630,10,20,20,0,0,[0 25 0 25 25 25 0 25 0 ]
Black,12x21x32 2,904275,0,192596,10,20,19,0,0,[0 25 25 25 0 25 0 25 0 ]
Black,7-12 2,866604,0,174959,9,18,18,0,0,[25 25 0 25 0 25 0 0 ]
Black,11-17 2,866521,0,170717,9,18,18,0,0,[25 25 0 25 0 25 0 0 ]
Black,17x28 2,873050,0,191643,10,18,18,0,0,[25 25 25 25 0 0 0 25 0 ]
Black,16x27 2,894342,0,212576,10,17,18,0,0,[25 50 0 25 0 25 25 25 25 ]
Black,18-22 2,923554,0,227510,10,16,18,0,0,[25 50 50 50 25 50 25 25 25 ]
Black,13x24 2,749142,0,160293,9,16,17,0,0,[25 50 25 25 25 25 25 25 ]
Black,8-13 2,943326,0,182501,8,15,17,0,0,[25 50 25 25 25 25 25 ]
Black,12-18 2,907981,0,210461,8,15,17,0,0,[25 25 25 25 25 25 25 ]
Black,13-19 2,910321,0,213358,8,15,17,0,0,[25 25 25 25 25 25 0 ]
Black,20-25 2,913571,0,213512,8,15,17,0,0,[25 25 25 25 0 0 0 ]
Black,25x34 2,846221,0,189424,10,15,17,0,0,[0 0 0 0 0 0 0 0 0 ]
Black,28-32 2,840372,0,187026,8,14,16,0,0,[0 0 0 0 0 0 0 ]
Black,19-23 2,827418,0,202935,8,14,16,0,0,[-25 -25 -25 0 0 25 25 ]
Black,14-20 2,829529,0,209815,8,14,16,0,0,[-25 0 0 25 25 50 25 ]
Black,9x20 2,828382,0,180592,9,14,15,0,0,[0 25 25 50 25 50 50 50 ]
Black,22x33 2,844303,0,205814,9,13,15,0,0,[25 50 25 50 50 50 25 25 ]
Black,32x43 2,897460,0,213336,10,12,15,0,0,[25 50 50 50 25 25 25 25 50 ]
Black,27-32 2,918949,0,211719,8,11,11,0,0,[50 50 25 25 25 25 50 ]
Black,20-25 2,866087,0,200689,8,11,11,0,0,[50 50 50 50 50 50 50 ]
Black,6-11 2,845527,0,194585,8,11,11,0,0,[50 50 50 50 50 50 50 ]
Black,10-14 2,867708,0,186817,8,11,11,0,0,[50 50 50 50 50 50 50 ]
Black,11-16 2,884431,0,195816,9,11,11,0,0,[75 75 75 75 50 50 25 50 ]
Black,14x23 2,886806,0,168186,10,11,11,0,0,[100 100 75 75 75 75 50 50 50 ]
Black,16x27 2,974909,0,207751,10,10,11,0,0,[75 75 75 75 50 50 50 75 75 ]
Black,32-38 2,937296,0,209130,9,9,10,0,0,[75 75 100 100 125 125 100 100 ]
Black,4-9 2,897254,0,244741,9,9,10,0,0,[125 125 125 125 100 100 75 75 ]
Black,9x20 2,993157,0,249014,10,9,10,0,0,[25 25 0 75 25 75 75 75 75 ]
Black,38-42 2,1062807,0,272597,9,8,10,0,0,[0 75 75 75 75 75 75 75 ]
Black,27-31 2,1018371,0,275860,10,8,9,0,0,[75 75 75 75 75 75 50 75 50 ]
Black,18-23 2,1002053,0,212560,9,8,8,0,0,[75 75 75 75 50 75 50 50 ]
Black,20-24 2,946147,0,198795,9,8,8,0,0,[50 75 50 75 50 50 50 50 ]
Black,23-29 2,978201,0,214755,9,8,8,0,0,[75 75 50 25 25 50 25 25 ]
Black,1-6 2,1033110,0,288538,9,8,8,0,0,[50 25 25 50 50 50 25 0 ]
Black,2x11 2,1082716,0,278594,10,8,8,0,0,[-25 0 0 0 0 0 0 0 0 ]
Black,11-16 2,1062092,0,280215,10,7,8,0,0,[0 0 0 0 0 0 0 0 0 ]
Black,16-21 2,1022590,0,261187,10,7,8,0,0,[0 0 0 0 0 0 0 0 0 ]
Black,3-8 2,989586,0,278489,10,7,8,0,0,[0 0 0 0 0 0 0 -25 -25 ]
Black,29-33 2,1052523,0,294093,10,7,8,0,0,[-75 -75 -75 -50 -50 -25 -25 -25 -25 ]
Black,25-30 2,1005329,0,291560,10,7,8,0,0,[-50 -50 -50 -25 -25 -25 -25 0 0 ]
Black,8x19 2,1051184,0,320645,11,7,8,0,0,[-75 -50 -50 -25 0 0 0 0 -25 0 ]
Black,19-23 2,1136454,0,344298,12,6,8,0,0,[25 25 0 0 0 0 -25 0 0 25 50 ]
Black,33x44 2,1247105,0,336940,13,6,8,0,0,[-75 -50 -50 -50 -25 0 0 0 50 50 50 50 ]
Black,6-11 2,1298348,0,359663,11,5,7,0,0,[-50 -50 -25 0 0 0 50 50 50 50 ]
Black,11-16 2,1229266,0,331732,11,5,7,0,0,[-25 0 0 0 25 25 50 50 50 75 ]
Black,21-27 2,1306856,0,419043,12,5,7,0,0,[0 0 25 25 25 25 75 75 100 100 125 ]
Black,16x27 2,1449305,0,360072,12,5,6,0,0,[-25 0 25 25 25 50 75 100 125 150 150 ]
Black,30-34 2,1416162,0,502978,11,4,6,0,0,[25 25 25 50 75 100 125 150 150 200 ]
Black,23-28 2,1475606,0,414181,12,4,6,0,0,[25 50 75 100 125 150 150 200 225 1275 1275 ]
Black,24x35 2,1538113,0,474183,14,4,6,0,0,[100 125 150 175 200 225 225 1275 1275 1275 1275 1275 1275 ]
Black,15-20 2,1439439,0,422983,13,3,6,0,0,[150 150 175 1225 1225 1300 1300 1300 1300 1300 1300 1300 ]
Black,27x36 2,1640,0,479,99,3,6,0,0,[200 225 250 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 ]
Black,28x37 2,488,0,0,99,2,6,0,0,[250 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 ]
Black,34x45 2,294,0,0,99,1,6,0,0,[1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 ]
White,31-26 1,871657,0,200516,9,20,20,0,0,[0 0 0 0 0 0 0 0 ]
White,26x17 1,882927,0,183252,11,20,20,0,0,[0 0 -25 0 -25 0 -25 0 -25 0 ]
White,32-27 1,862310,0,183136,9,19,19,0,0,[-25 25 0 0 0 25 0 0 ]
White,37x26 1,873100,0,188424,9,18,19,0,0,[0 0 0 0 0 0 0 25 ]
White,34-30 1,880933,0,164504,8,18,18,0,0,[0 0 0 25 0 25 0 ]
White,30x19 1,846249,0,145478,10,18,18,0,0,[25 25 0 25 0 25 0 0 0 ]
White,33-29 1,849981,0,144956,8,17,17,0,0,[0 25 0 25 0 0 0 ]
White,38x29 1,876054,0,140176,8,16,17,0,0,[0 0 0 0 0 0 -25 ]
White,29-23 1,863019,0,156102,7,16,16,0,0,[0 0 0 0 0 0 ]
White,35-30 1,854584,0,164613,8,15,16,0,0,[-25 0 -25 0 -25 -25 -25 ]
White,30-25 1,877444,0,155851,7,15,16,0,0,[0 0 -25 0 -25 0 ]
White,39-33 1,862812,0,158586,7,15,16,0,0,[25 25 25 25 0 0 ]
White,42x33 1,908355,0,174930,8,14,16,0,0,[0 0 -25 0 -25 -25 -25 ]
White,26x17 1,915991,0,159589,9,14,15,0,0,[-25 0 -25 -25 -25 -25 -25 -25 ]
White,33-28 1,883145,0,154856,7,13,14,0,0,[-25 -25 -25 -25 -25 -25 ]
White,40-35 1,918690,0,152059,7,13,14,0,0,[-25 -25 -25 -25 -25 -25 ]
White,36-31 1,904069,0,156887,7,13,14,0,0,[-25 -25 -25 -25 -25 -25 ]
White,28-23 1,920978,0,174534,8,13,14,0,0,[-25 -25 -25 -25 -50 -50 -50 ]
White,31-27 1,919384,0,191999,8,12,14,0,0,[-50 -50 -50 -50 -50 -50 -75 ]
White,27-22 1,908042,0,191139,8,12,14,0,0,[-75 -50 -50 -50 -75 -75 -75 ]
White,22-18 1,867540,0,181361,7,12,14,0,0,[-50 -50 -75 -75 -75 -75 ]
White,25-20 1,849794,0,179491,8,12,14,0,0,[-50 -50 -75 -50 -75 -75 -125 ]
White,18-12 1,866018,0,193193,8,11,14,0,0,[-125 -125 -125 -125 -125 -125 -100 ]
White,12-7 1,849601,0,196802,8,11,14,0,0,[-100 -75 -75 -75 -75 -75 -75 ]
White,41-36 1,914276,0,188341,8,10,14,0,0,[-75 -75 -75 -75 -75 -75 -100 ]
White,44-39 1,918829,0,201958,8,10,14,0,0,[-75 -75 -75 -75 -100 -75 -100 ]
White,39x30 1,980543,0,189364,10,10,14,0,0,[-50 -50 -75 -75 -75 -100 -125 -125 -150 ]
White,35-30 1,991066,0,191708,8,9,13,0,0,[-75 -75 -75 -100 -125 -125 -150 ]
White,43-39 1,1000056,0,193156,7,8,13,0,0,[-125 -125 -150 -125 -150 -150 ]
White,45-40 1,970798,0,211123,8,8,13,0,0,[-150 -150 -150 -125 -150 -150 -200 ]
White,40-35 1,942327,0,173572,7,8,13,0,0,[-125 -100 -125 -150 -200 -200 ]
White,35x24 1,979232,0,250596,10,8,13,0,0,[-125 -175 -200 -200 -225 -250 -250 -275 -275 ]
White,48x39 1,1101895,0,233337,10,7,12,0,0,[-200 -200 -225 -250 -250 -275 -275 -250 -275 ]
White,49-44 1,1020915,0,249626,8,6,11,0,0,[-225 -250 -275 -275 -275 -250 -275 ]
White,44-40 1,996188,0,294874,9,6,11,0,0,[-275 -250 -250 -250 -275 -300 -300 -300 ]
White,36-31 1,1006943,0,157711,8,6,11,0,0,[-250 -250 -275 -275 -300 -300 -400 ]
