sep=,
pieceWeight=25 crownWeight=125 sideWeight=25 kingLaneWeight=75 tandemWeight=5 centerWeight=10 winWeight=1000  pruningWindow=20 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,#WP,#BP,#WK,#BK,EvaluationValues
Black,17-21 2,594240,1626,138524,10,20,20,0,0,[0 0 0 0 0 0 5 0 5 ]
Black,12x21 2,534741,2224,125734,10,20,19,0,0,[-10 -10 -5 -10 0 0 5 -5 0 ]
Black,8-12 2,586590,1354,139657,10,19,19,0,0,[-5 5 15 0 10 -5 10 -5 5 ]
Black,18x29 2,655550,4442,136711,13,19,19,0,0,[5 -20 5 -20 -5 5 25 0 5 15 20 10 ]
Black,19x28 2,635825,4810,127372,11,18,18,0,0,[5 -20 -5 5 25 0 5 15 20 10 ]
Black,12-17 2,674486,5651,134339,9,17,17,0,0,[-5 5 25 0 5 15 20 10 ]
Black,13-19 2,645698,2626,135752,10,17,17,0,0,[5 -5 15 10 20 10 20 10 20 ]
Black,19-24 2,600786,12147,127348,9,17,17,0,0,[0 10 15 5 25 5 20 10 ]
Black,20-25 2,814126,159856,181004,9,17,17,0,0,[15 5 25 -15 15 10 20 5 ]
Black,25x34 2,692608,10654,143446,11,17,17,0,0,[15 -15 15 15 20 20 30 20 20 10 ]
Black,14x25 2,670629,9491,138916,9,16,15,0,0,[15 15 20 20 30 20 20 10 ]
Black,9-14 2,677598,11282,141675,9,15,15,0,0,[30 30 40 25 20 10 20 20 ]
Black,14-19 2,666516,13375,130063,9,15,15,0,0,[45 30 40 25 35 25 20 20 ]
Black,10-14 2,656315,7957,127182,9,15,15,0,0,[45 35 50 30 30 30 25 15 ]
Black,14-20 2,578706,6866,115948,9,15,15,0,0,[20 10 30 20 25 15 30 20 ]
Black,20-24 2,784785,67700,138834,8,15,15,0,0,[40 40 30 15 35 20 25 ]
Black,24-29 2,817465,107042,140446,8,15,15,0,0,[20 15 30 25 25 -5 25 ]
Black,17-22 2,707931,8938,166520,9,15,15,0,0,[45 35 30 20 25 5 15 5 ]
Black,22x13 2,765450,59772,154601,10,15,14,0,0,[60 35 65 30 30 25 25 0 -10 ]
Black,11x22x33 2,778441,23711,161383,11,14,14,0,0,[110 30 30 25 25 0 -10 -35 -20 -25 ]
Black,13-18 2,787269,24194,162872,9,12,12,0,0,[30 25 25 0 -10 -35 -20 -25 ]
