sep=,
pieceWeight=25 crownWeight=125 sideWeight=25 kingLaneWeight=75 tandemWeight=5 centerWeight=10 pruningWindow=10 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,#WP,#BP,#WK,#BK,EvaluationValues
White,31-26 1,1248674,73133,327291,11,20,20,0,0,[5 0 0 0 0 0 5 -5 0 -5 ]
White,26x17 1,1273163,11121,307570,12,20,20,0,0,[25 10 10 5 10 0 0 -5 5 0 5 ]
White,33-29 1,1259823,7517,304640,10,19,19,0,0,[20 5 10 0 0 -5 5 0 5 ]
White,29-23 1,1308752,107611,335300,10,19,19,0,0,[20 5 20 5 20 5 5 -5 0 ]
White,34x23 1,1626696,336373,302095,12,18,19,0,0,[20 -5 20 5 -5 -25 0 -5 -15 -20 -10 ]
White,32x23 1,1605735,336351,298839,10,17,18,0,0,[20 5 -5 -25 0 -5 -15 -20 -10 ]
White,38-32 1,1677558,320266,334033,9,17,17,0,0,[0 -5 5 -5 -5 -15 -10 -20 ]
White,32-28 1,1579983,197321,323470,10,17,17,0,0,[10 0 -10 -15 -5 -15 -5 -20 -10 ]
White,39-34 1,1627592,287345,314531,9,17,17,0,0,[-10 -15 -5 -25 15 -15 -10 -20 ]
White,34-30 1,1539523,195089,265667,9,17,17,0,0,[5 -15 15 -15 -10 -20 -5 -30 ]
White,40x29x20 1,1658704,410589,328765,10,16,17,0,0,[15 -15 -15 -20 -20 -30 -20 -20 -10 ]
White,37-31 1,1676409,430389,332675,8,15,15,0,0,[-15 -20 -20 -30 -20 -20 -10 ]
White,23-18 1,1429284,44360,321289,9,15,15,0,0,[0 -10 -5 0 0 -20 -20 -20 ]
White,41-37 1,1531887,113074,322499,9,15,15,0,0,[-10 -20 -10 -15 -5 -20 -20 -25 ]
White,31-26 1,1683079,257060,296402,8,15,15,0,0,[-5 -20 -10 -30 -20 -25 -15 ]
White,37-32 1,1754736,169731,307212,9,15,15,0,0,[-10 -30 -20 -25 -10 -30 -20 -25 ]
White,44-40 1,1781128,375437,356635,8,15,15,0,0,[-20 -20 -15 -30 5 -25 5 ]
White,36-31 1,1750723,374266,328442,9,15,15,0,0,[-10 -30 -25 -25 5 -25 -5 -15 ]
White,26x17 1,1622575,176278,299418,10,15,15,0,0,[50 30 30 -20 -5 -5 -5 -20 0 ]
White,40-34 1,2002404,522314,347861,9,14,14,0,0,[-15 -45 -20 -30 -20 -25 0 10 ]
White,34x23x14 1,1944488,606669,408839,11,12,14,0,0,[-30 -30 -25 -25 0 10 35 20 25 15 ]
White,14-9 1,1760766,295865,395042,10,12,12,0,0,[-5 20 45 25 35 25 25 15 15 ]
White,31-26 1,1944641,539910,408760,9,11,12,0,0,[45 25 35 25 25 15 15 5 ]
White,32-27 1,1528808,113083,387565,9,11,12,0,0,[55 35 40 25 35 15 5 0 ]
White,43-38 1,1571629,30568,390806,9,11,12,0,0,[45 25 30 15 5 0 5 5 ]
White,38-32 1,1789668,452834,402305,9,11,12,0,0,[25 5 5 -5 5 5 -5 -15 ]
White,45-40 1,1754300,282708,346731,9,11,12,0,0,[25 -5 5 5 -5 -15 -10 -10 ]
White,35x24 1,1893819,583317,405555,11,11,12,0,0,[25 0 25 10 10 -10 0 -10 -15 -25 ]
White,40-34 1,1841238,583007,392002,9,10,11,0,0,[25 10 10 -10 0 -10 -15 -25 ]
White,42-37 1,1808155,339740,393637,9,10,11,0,0,[-5 -15 -15 -35 0 -25 -15 -60 ]
White,37-31 1,1705852,338532,419714,8,10,11,0,0,[5 -5 5 -15 -10 -60 -35 ]
White,27-22 1,1759184,311423,422134,9,10,11,0,0,[5 -5 -5 -60 -35 -50 -50 -60 ]
White,31x42 1,1832980,149540,463931,11,8,11,0,0,[-50 -60 -50 -60 -60 -60 -60 -70 -90 -85 ]
White,42-37 1,2035503,386022,398373,9,8,10,0,0,[-50 -60 -60 -60 -60 -60 -90 -85 ]
White,37-31 1,1787153,103118,406483,10,8,10,0,0,[-60 -60 -60 -60 -90 -85 -75 -80 -75 ]
White,34-29 1,1730318,339629,416605,9,8,10,0,0,[-35 -35 -35 -60 -70 -70 -75 -100 ]
White,31-27 1,1588845,186526,474874,9,8,10,0,0,[0 -25 -25 -60 -75 -100 -105 -105 ]
White,46-41 1,1658640,89528,446496,10,8,10,0,0,[-35 -55 -55 -75 -105 -105 -125 -130 -135 ]
White,27-21 1,1880764,344045,422355,9,8,10,0,0,[-85 -115 -105 -120 -95 -110 -135 -145 ]
White,48-43 1,2024589,359241,357791,10,7,10,0,0,[-105 -135 -125 -140 -135 -145 -155 -145 -150 ]
White,43x32x21 1,1867908,183425,426015,11,6,10,0,0,[-170 -175 -160 -170 -155 -145 -150 -160 -170 -160 ]
White,21-16 1,2026013,145200,399412,10,6,8,0,0,[-120 -125 -125 -115 -130 -135 -135 -160 -150 ]
White,41-36 1,1825756,323855,420310,9,6,8,0,0,[-105 -115 -130 -135 -135 -160 -150 -160 ]
White,36-31 1,1998323,325512,480523,10,6,8,0,0,[-100 -110 -110 -135 -150 -160 -150 -160 -150 ]
White,31-27 1,1542930,179391,341989,10,6,8,0,0,[-110 -120 -110 -115 -135 -155 -150 -165 -150 ]
White,27-22 1,1965647,463032,483850,10,6,8,0,0,[-35 -45 -70 -90 -100 -110 -120 -145 -160 ]
White,26-21 1,1959597,227573,399226,10,5,8,0,0,[-105 -110 -120 -130 -155 -170 -160 -150 -135 ]
White,21-17 1,2064726,590058,460094,11,5,8,0,0,[-105 -110 -100 -110 -145 -150 -135 -145 -170 -180 ]
White,17-11 1,1727228,180695,400321,12,5,8,0,0,[-95 -100 -145 -150 -135 -145 -170 -180 -160 -115 -110 ]
White,11-6 1,1633068,213748,399088,12,5,8,0,0,[-70 -85 -120 -135 -170 -185 -160 -115 -110 -125 -115 ]
White,16x7 1,1561916,293060,449420,12,5,8,0,0,[-60 -10 -10 -25 -60 -75 -110 -125 -115 -110 -85 ]
