sep=,
pieceWeight=25 crownWeight=125 sideWeight=25 kingLaneWeight=75 tandemWeight=5 
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,#WP,#BP,#WK,#BK,EvaluationValues
Black,17-21 2,1553505,0,368806,10,20,20,0,0,[10 15 10 5 0 0 0 0 0 ]
Black,21-26 2,1589122,0,338472,10,20,20,0,0,[10 0 0 0 0 0 0 0 0 ]
Black,11-17 2,1626118,0,414896,10,20,20,0,0,[0 0 10 0 0 5 0 0 0 ]
Black,18-22 2,1629711,0,442838,11,20,20,0,0,[10 5 0 0 0 5 0 0 0 5 ]
Black,12x23x32 2,1802815,0,386181,11,20,19,0,0,[-10 0 0 5 0 0 0 5 0 0 ]
Black,7-11 2,1838618,0,389918,10,18,18,0,0,[10 10 10 5 10 10 5 0 0 ]
Black,17-21 2,1817821,0,407045,10,18,18,0,0,[0 10 0 5 0 5 0 0 0 ]
Black,21x32 2,1845821,0,366527,11,18,18,0,0,[20 10 0 10 10 10 0 0 0 10 ]
Black,8-12 2,1761366,0,336206,9,17,17,0,0,[0 10 10 10 0 0 0 10 ]
Black,16x27 2,1856311,0,448763,10,17,17,0,0,[10 10 5 5 0 10 5 5 5 ]
Black,12-17 2,1844748,0,451519,9,16,16,0,0,[-10 0 0 5 0 5 5 20 ]
Black,17x28 2,1789956,0,358256,9,16,16,0,0,[20 25 0 15 15 20 -5 10 ]
Black,19x30 2,1958506,0,399531,10,15,16,0,0,[25 35 30 35 -5 10 10 10 -5 ]
Black,20x29 2,1982764,0,341366,10,14,15,0,0,[35 50 -5 10 10 10 -5 0 -5 ]
Black,26x37 2,2302430,0,479683,10,13,15,0,0,[-5 10 10 10 -5 0 -5 0 0 ]
Black,14-20 2,2104288,0,442442,8,12,12,0,0,[10 10 -5 0 -5 0 0 ]
Black,9x20 2,2571229,0,402556,8,12,11,0,0,[-20 -5 -10 0 0 10 0 ]
Black,20-25 2,2070993,0,418625,8,11,11,0,0,[-10 0 0 15 0 0 -15 ]
Black,25x34 2,2370245,0,530799,9,11,11,0,0,[0 15 0 0 10 15 0 0 ]
Black,34-40 2,2456893,0,470688,9,10,11,0,0,[0 0 15 15 0 0 10 10 ]
Black,11-16 2,2649865,0,468154,8,10,10,0,0,[15 15 -5 -5 10 10 0 ]
Black,10-14 2,2511205,0,521881,8,10,10,0,0,[-5 -5 15 15 0 0 5 ]
Black,13-18 2,2556538,0,475498,8,10,10,0,0,[-5 0 -5 -5 5 5 -5 ]
Black,14-19 2,2341902,0,445435,8,10,10,0,0,[-5 10 5 5 -5 5 -20 ]
Black,15-20 2,2502072,0,479402,8,10,10,0,0,[-30 -30 -30 -20 -20 -5 -20 ]
Black,18-23 2,2656169,0,403548,9,10,10,0,0,[-45 -20 -10 -5 -20 -20 0 0 ]
Black,19x10 2,2720181,0,488044,9,10,9,0,0,[-10 -5 -20 -20 0 0 -5 0 ]
Black,23-28 2,2579757,0,525459,8,9,9,0,0,[5 15 0 0 -5 0 0 ]
Black,10-14 2,2417470,0,505255,8,9,9,0,0,[15 15 0 25 15 15 0 ]
Black,14-20 2,2519231,0,512494,8,9,9,0,0,[0 25 15 25 0 0 -10 ]
Black,20-25 2,2351705,0,516210,8,9,9,0,0,[25 25 0 0 -10 0 0 ]
Black,6-11 2,2420519,0,529942,9,9,9,0,0,[0 0 -10 0 0 -10 -25 -35 ]
Black,25-30 2,2332001,0,523201,9,9,9,0,0,[-10 0 0 -10 -25 -35 -30 -10 ]
Black,30-35 2,2351226,0,476703,9,9,9,0,0,[0 -25 -25 -35 -35 -10 0 10 ]
Black,35x44 2,2561785,0,485327,11,9,9,0,0,[85 85 60 50 25 10 10 25 20 25 ]
Black,11-17 2,2600520,0,475869,9,8,8,0,0,[60 50 25 10 10 25 20 25 ]
Black,16-21 2,2606203,0,482124,9,8,8,0,0,[85 75 50 45 20 25 10 25 ]
Black,17-22 2,2357348,0,538842,9,8,8,0,0,[60 75 50 25 0 25 25 50 ]
Black,22x11 2,2539349,0,575202,10,8,7,0,0,[50 25 0 25 25 50 25 25 25 ]
Black,11-16 2,2521536,0,569941,10,7,7,0,0,[90 75 65 50 25 25 25 25 25 ]
Black,16-21 2,2418972,0,569827,10,7,7,0,0,[75 50 25 25 25 25 25 25 50 ]
Black,21-26 2,2311296,0,553363,10,7,7,0,0,[90 75 65 25 25 25 50 45 35 ]
Black,26-31 2,2281279,0,592062,10,7,7,0,0,[140 115 100 65 50 35 35 50 50 ]
