sep=,
pieceWeight=25 crownWeight=125 sideWeight=25 kingLaneWeight=75 tandemWeight=5 pruningWindow=10 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,#WP,#BP,#WK,#BK,EvaluationValues
White,34-30 1,1226546,7178,307275,11,20,20,0,0,[5 0 -10 0 0 0 0 0 0 0 ]
White,30-25 1,1294997,10562,326043,11,20,20,0,0,[15 0 10 0 0 0 0 0 0 0 ]
White,33-28 1,1359547,10403,360235,11,20,20,0,0,[-10 0 0 0 0 0 0 0 0 0 ]
White,32-27 1,1412765,19677,358432,11,20,20,0,0,[10 0 0 0 0 0 0 0 0 0 ]
White,27x18 1,1486664,8063,325412,13,20,20,0,0,[25 5 10 0 0 -5 0 0 0 -5 0 0 ]
White,38x27 1,1477713,39907,319019,12,18,19,0,0,[20 0 5 -5 0 0 10 -5 5 0 0 ]
White,39-34 1,1465417,29403,336973,11,18,18,0,0,[0 10 15 0 0 0 0 0 0 0 ]
White,42-38 1,1682941,257145,297263,11,18,18,0,0,[0 -10 0 -5 0 -5 10 0 0 0 ]
White,38x27 1,1595926,172949,323367,11,17,18,0,0,[-20 -10 0 -10 -10 -10 0 0 0 -10 ]
White,27-21 1,1632826,246426,280984,9,17,17,0,0,[20 10 0 0 10 10 0 -10 ]
White,31x22 1,1758631,234600,322719,11,16,17,0,0,[15 0 10 0 0 -5 0 -5 -5 -20 ]
White,34-29 1,1700261,262984,285970,10,16,16,0,0,[15 0 0 -5 10 5 -5 -20 5 ]
White,29-24 1,1467096,150458,335419,10,15,16,0,0,[-20 -25 0 -15 -15 -20 5 -10 -10 ]
White,35x24 1,1511449,90082,337396,11,14,16,0,0,[-15 -30 -30 -35 5 -10 -10 -10 5 0 ]
White,37-31 1,1481791,44036,344147,10,13,15,0,0,[-35 -50 5 -10 -10 -10 5 0 5 ]
White,41x32x23x34 1,1635404,407113,305136,10,12,15,0,0,[5 -10 -10 -10 5 0 5 0 0 ]
White,25x14 1,1770396,78096,348846,11,12,12,0,0,[25 20 20 5 10 0 0 -10 0 0 ]
White,34-30 1,1867290,96130,346181,9,11,11,0,0,[20 5 10 0 0 -10 0 0 ]
White,40-35 1,1884739,377766,385255,10,11,11,0,0,[10 0 0 -15 0 0 15 15 0 ]
White,44-39 1,1699378,56352,482138,9,10,11,0,0,[0 -15 0 0 -10 -15 0 0 ]
White,35x44 1,1854157,91782,417200,9,10,11,0,0,[20 5 -15 -15 5 5 -10 -10 ]
White,36-31 1,1824749,71256,402438,9,10,10,0,0,[-15 -15 5 5 0 -5 0 0 ]
White,31-26 1,2045313,167963,423561,9,10,10,0,0,[35 25 5 0 5 5 -5 -5 ]
White,39-34 1,2149590,451789,320965,8,10,10,0,0,[15 10 20 5 -5 -5 5 ]
White,34-30 1,2292967,757565,347729,8,10,10,0,0,[15 5 30 30 30 20 20 ]
White,30-25 1,1661031,79801,372261,9,10,10,0,0,[65 55 45 30 20 5 20 20 ]
White,25x14 1,1779226,34319,389362,12,10,10,0,0,[55 20 10 5 20 20 0 0 5 0 0 ]
White,43-38 1,1972139,35766,417988,10,9,9,0,0,[10 5 20 20 0 0 5 0 0 ]
White,44-39 1,2183212,482118,421735,9,9,9,0,0,[0 -15 0 0 25 0 0 -15 ]
White,39-34 1,1790497,205631,346308,9,9,9,0,0,[10 10 0 0 0 -15 0 0 ]
White,34-30 1,2126043,384685,422857,9,9,9,0,0,[0 -25 -15 -25 0 0 10 0 ]
White,30-24 1,1788989,174088,403335,10,9,9,0,0,[-25 -25 0 0 10 0 0 10 25 ]
White,24-19 1,1946090,130508,415049,10,9,9,0,0,[0 0 10 0 0 10 25 35 30 ]
