sep=,
pieceWeight=25 crownWeight=125 sideWeight=25 kingLaneWeight=75 tandemWeight=5 centerWeight=10 winWeight=1000  pruningWindow=20 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
Black,17-21 2,654539,2622,149941,10,0,20,20,0,0,[0 0 0 0 0 0 5 0 5 ]
Black,12x21 2,644830,2302,152082,10,0,20,19,0,0,[-10 -10 -5 -10 0 0 5 -5 0 ]
Black,11-17 2,691003,1611,160702,10,0,19,19,0,0,[5 -5 5 0 5 0 0 0 0 ]
Black,21-26 2,670809,2654,157454,9,0,19,19,0,0,[-35 -35 -20 -20 -15 -10 0 -10 ]
Black,17-21 2,683621,3002,148806,11,0,19,19,0,0,[-10 -10 5 0 0 -10 5 -5 5 -5 ]
Black,21x32 2,683983,7149,158780,11,2,19,19,0,0,[15 0 20 -5 5 0 0 -5 -5 -10 ]
Black,26x37 2,697685,5661,137440,10,1,18,18,0,0,[20 -5 5 0 0 -5 -5 -10 -5 ]
Black,7-11 2,710873,8266,181793,10,0,17,17,0,0,[5 0 0 -5 -5 -10 -5 -10 0 ]
Black,18-23 2,719120,10352,180096,10,0,17,17,0,0,[5 -5 -5 -10 -10 -5 0 -10 0 ]
Black,23-29 2,828777,87667,130697,10,1,17,17,0,0,[-5 -10 -10 -15 0 -15 0 -10 0 ]
Black,11x22 2,701028,8214,158734,13,1,17,17,0,0,[20 5 10 -5 15 15 25 15 15 15 25 15 ]
Black,13x22 2,705003,8236,159578,11,1,16,16,0,0,[10 -5 15 15 25 15 15 15 25 15 ]
Black,22-27 2,715966,8883,155122,10,0,15,16,0,0,[15 25 25 15 15 15 25 15 15 ]
Black,29x38 2,711458,14205,146805,12,4,15,16,0,0,[30 -20 0 25 35 10 15 10 15 20 20 ]
Black,16x27 2,770622,15848,158615,10,2,14,14,0,0,[0 25 35 10 15 10 15 20 20 ]
Black,8-13 2,766781,22884,163870,9,3,13,14,0,0,[40 20 20 20 40 20 20 20 ]
Black,13-18 2,728653,9195,163277,9,1,13,14,0,0,[55 35 35 20 30 20 30 40 ]
Black,18-22 2,729449,7986,154557,9,1,13,14,0,0,[40 20 30 20 30 40 45 30 ]
Black,19-23 2,774043,16906,162899,9,0,13,14,0,0,[30 20 30 40 45 35 50 45 ]
Black,23-28 2,752349,20619,172429,9,1,13,14,0,0,[50 40 40 30 50 45 55 45 ]
Black,28-33 2,752890,15365,162326,9,1,13,14,0,0,[30 30 50 45 55 45 55 50 ]
Black,22-28 2,733728,12538,188981,10,0,13,14,0,0,[35 45 60 45 50 50 65 55 65 ]
Black,28x17 2,758342,12786,182564,11,0,13,13,0,0,[25 35 50 35 45 55 65 75 80 65 ]
Black,20x29 2,755759,8089,161033,12,2,12,13,0,0,[80 35 45 55 65 75 95 95 90 105 105 ]
Black,14-20 2,733616,7839,156356,10,1,11,12,0,0,[45 55 65 75 95 95 90 105 105 ]
Black,10x19x28 2,701969,21137,131620,9,2,11,11,0,0,[65 75 95 85 75 105 105 95 ]
Black,33-39 2,900779,156236,181681,8,2,9,11,0,0,[150 160 150 115 105 95 115 ]
Black,28-32 2,801899,13920,186930,9,1,9,10,0,0,[115 115 105 95 115 120 130 125 ]
Black,17-22 2,775558,7789,202628,9,1,9,10,0,0,[95 85 90 120 130 125 125 120 ]
Black,32-38 2,812569,11235,185622,9,1,9,10,0,0,[90 100 90 125 125 120 120 110 ]
Black,6-11 2,794381,132303,163423,9,3,9,10,0,0,[105 155 155 140 145 110 130 120 ]
Black,11-16 2,828667,23398,184703,10,3,9,10,0,0,[60 85 110 100 100 120 120 125 125 ]
Black,15x24 2,856624,20421,245431,12,2,9,10,0,0,[105 80 80 130 130 130 130 130 120 120 120 ]
Black,22-27 2,859836,20475,246799,10,1,8,9,0,0,[80 130 130 130 130 130 120 120 120 ]
Black,27-32 2,987241,105476,205981,11,3,8,9,0,0,[105 105 145 145 145 145 145 135 155 160 ]
Black,16x27 2,1053190,188609,329372,10,2,8,9,0,0,[150 125 115 130 140 155 155 160 160 ]
