sep=,
pieceWeight=25 crownWeight=125 sideWeight=25 kingLaneWeight=75 tandemWeight=5 winWeight=1000  pruningWindow=10 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
White,31-26 1,667735,4425,169318,10,2,20,20,0,0,[5 0 -10 0 0 0 0 0 0 ]
White,26x17 1,702486,21435,160830,11,4,20,20,0,0,[25 20 10 -5 0 -5 0 -15 0 0 ]
White,34-30 1,635982,19965,143708,9,3,19,19,0,0,[10 -5 0 -5 0 -15 0 0 ]
White,30-25 1,860233,191512,187773,9,5,19,19,0,0,[45 35 25 10 10 15 10 0 ]
White,32-27 1,905774,230304,204701,9,4,19,19,0,0,[30 10 10 15 10 0 10 0 ]
White,37-31 1,767432,83813,162241,10,3,19,19,0,0,[0 0 -10 -10 0 0 0 0 10 ]
White,38x27 1,692441,9162,160431,12,3,18,19,0,0,[-10 -30 -5 -5 0 0 10 10 10 5 10 ]
White,42x31 1,624617,8475,141398,10,1,17,18,0,0,[-5 -5 0 0 10 10 10 5 10 ]
White,33-28 1,710165,9808,143679,9,1,17,17,0,0,[0 0 10 10 10 5 10 10 ]
White,28-22 1,803078,50964,235217,11,3,17,17,0,0,[-5 5 10 10 15 10 25 15 15 15 ]
White,22-17 1,717078,18134,176783,10,2,17,17,0,0,[10 10 15 10 25 15 15 15 15 ]
White,27x18 1,752597,38491,176530,12,5,16,17,0,0,[5 10 25 15 15 5 15 15 5 5 5 ]
White,31-26 1,725762,38265,170834,10,4,15,16,0,0,[25 15 15 5 15 15 5 5 5 ]
White,39-33 1,871495,167594,219194,9,4,15,16,0,0,[15 5 25 10 5 5 5 -5 ]
White,43x32x21 1,875683,113379,183732,11,4,14,16,0,0,[20 10 -15 -15 -5 -5 -5 -5 -15 -20 ]
White,41-37 1,850668,113352,178181,9,2,13,14,0,0,[-15 -15 -5 -5 -5 -5 -15 -20 ]
White,35-30 1,793403,31062,154496,9,3,13,14,0,0,[0 0 -20 -25 -10 -10 0 0 ]
White,40-35 1,875650,137875,189450,8,5,13,14,0,0,[-5 -15 -10 -20 0 0 -10 ]
White,37-31 1,714520,38777,162905,9,4,13,14,0,0,[0 0 10 0 -10 -20 -20 -20 ]
White,44-39 1,822976,83311,164398,9,4,13,14,0,0,[10 0 -10 -10 -20 -20 -30 -25 ]
White,39-34 1,976773,221878,230878,9,3,13,14,0,0,[-10 -10 -20 -20 -30 -25 -25 -35 ]
White,45-40 1,840113,111295,192452,10,5,13,14,0,0,[-10 -15 -30 -25 -15 -30 -45 -55 -55 ]
White,31x22 1,874164,133722,208218,12,5,13,14,0,0,[-10 -25 -40 -40 -45 -45 -45 -55 -65 -75 -75 ]
White,30-24 1,895423,133913,212220,10,3,12,13,0,0,[-40 -40 -45 -45 -45 -55 -65 -75 -75 ]
White,34x23 1,1076605,354639,230633,11,6,11,13,0,0,[-45 -45 -45 -55 -65 -75 -75 -85 -95 -105 ]
