sep=,
pieceWeight=25 crownWeight=25 sideWeight=25 kingLaneWeight=75 tandemWeight=5 centerWeight=10 winWeight=1000 
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
Black,17-21 2,742672,0,148986,9,0,20,20,0,0,[0 0 0 0 0 5 0 5 ]
Black,12x21 2,755109,0,155069,9,0,20,19,0,0,[-10 -5 -10 0 0 5 -5 0 ]
Black,8-12 2,756755,0,165365,9,0,19,19,0,0,[5 15 0 10 -5 10 -5 5 ]
Black,18x29 2,794520,0,159492,11,0,19,19,0,0,[-20 5 -20 -5 5 25 0 5 15 20 ]
Black,19x28 2,787935,0,162938,10,0,18,18,0,0,[-20 -5 5 25 0 5 15 20 10 ]
Black,12-17 2,783427,0,161709,8,0,17,17,0,0,[5 25 0 5 15 20 10 ]
Black,13-18 2,774585,0,159506,8,0,17,17,0,0,[-5 15 10 20 10 20 10 ]
Black,17x8 2,785144,0,154945,8,0,17,16,0,0,[0 15 10 15 10 15 10 ]
Black,20-25 2,793152,0,150334,8,0,16,16,0,0,[15 30 10 15 10 10 10 ]
Black,7-12 2,792218,0,157113,10,0,16,16,0,0,[0 5 -5 10 10 10 10 10 5 ]
Black,12x21 2,782757,0,149749,8,0,16,15,0,0,[-5 10 10 10 10 10 5 ]
Black,11-17 2,792879,0,145636,7,0,15,15,0,0,[10 10 10 10 10 10 ]
Black,14-20 2,777036,0,147113,7,0,15,15,0,0,[10 20 5 15 0 0 ]
Black,8-13 2,784474,0,154849,8,0,15,15,0,0,[-10 0 -10 0 0 -5 -10 ]
Black,25x34 2,784358,0,130485,9,0,15,15,0,0,[-5 10 0 0 -10 -5 -10 5 ]
Black,13-18 2,811624,0,142492,7,0,14,14,0,0,[5 10 -5 -5 -10 5 ]
Black,18-22 2,821524,0,130720,8,0,14,14,0,0,[-20 -5 -10 5 -5 10 5 ]
Black,9x20 2,843024,0,128850,8,0,14,13,0,0,[-10 5 -5 10 5 5 -10 ]
Black,10-14 2,847383,0,143308,7,0,13,13,0,0,[5 5 0 10 -5 -10 ]
Black,20-24 2,819962,0,132314,7,0,13,13,0,0,[-20 0 -5 5 -15 0 ]
Black,14-20 2,807020,0,124887,7,0,13,13,0,0,[-20 5 -5 5 -10 0 ]
Black,21-27 2,819760,0,120653,7,0,13,13,0,0,[0 25 -5 10 -5 15 ]
Black,6-11 2,765589,0,115459,7,0,13,13,0,0,[15 35 25 20 -5 10 ]
Black,17x26 2,808764,0,151134,9,0,13,13,0,0,[50 55 35 75 -30 -15 -5 10 ]
Black,27x38 2,798435,0,174270,9,0,12,13,0,0,[55 80 -30 -15 -5 10 35 30 ]
Black,24x33 2,868481,0,256333,10,0,11,13,0,0,[-30 -15 20 35 35 30 15 15 15 ]
Black,16-21 2,873893,0,257047,8,0,10,10,0,0,[20 35 35 30 15 15 15 ]
Black,21-27 2,822622,0,186588,8,0,10,10,0,0,[15 30 20 30 20 10 0 ]
Black,20-24 2,765285,0,132503,8,0,10,10,0,0,[15 30 20 10 0 -20 -35 ]
Black,2x11 2,741391,0,128842,8,0,10,10,0,0,[-85 -85 -35 -35 -35 -20 -45 ]
Black,24-30 2,879248,0,193417,8,0,9,9,0,0,[-35 -35 -35 -20 -45 -40 -60 ]
Black,30-35 2,856940,0,191502,8,0,9,9,0,0,[-45 -20 -45 -40 -60 -60 -60 ]
Black,15-20 2,857009,0,180707,8,0,9,9,0,0,[0 0 -20 -25 -45 -60 -60 ]
Black,1x12 2,943228,0,231624,9,0,9,9,0,0,[-125 -100 -75 -60 -60 -60 -60 -40 ]
Black,12-18 2,934534,0,199713,8,0,8,9,0,0,[-75 -50 -60 -60 -60 -40 -25 ]
Black,18-22 2,958198,0,211865,8,0,8,9,0,0,[-85 -60 -60 -40 -20 -5 -5 ]
Black,20-24 2,940317,0,211298,9,0,8,9,0,0,[-65 -40 -40 -40 -5 -10 -15 -5 ]
Black,35x44 2,990129,0,239844,10,0,8,9,0,0,[-20 -20 30 30 -5 -5 5 5 20 ]
Black,27-32 2,1010451,0,227471,8,0,7,8,0,0,[30 30 -5 -5 5 5 25 ]
Black,38-43 2,989900,0,223797,9,0,7,8,0,0,[-15 -5 5 5 35 45 35 45 ]
Black,22-28 2,1057970,0,238757,8,0,7,7,0,0,[-5 5 10 20 25 45 25 ]
Black,32-38 2,994541,0,247346,9,0,7,7,0,0,[5 5 20 30 25 15 0 25 ]
Black,24-30 2,913514,0,179132,9,0,7,7,0,0,[45 45 35 15 0 25 -25 5 ]
Black,28-32 2,939667,0,222661,9,0,7,6,0,0,[25 15 -10 -20 -30 5 -70 -65 ]
Black,26-31 2,872816,0,203499,8,0,7,6,0,0,[-20 -35 -85 -85 -85 -60 -60 ]
Black,32x21 2,919454,0,181013,9,0,7,5,0,0,[-135 -110 -85 -60 -60 -75 -100 -110 ]
Black,21-26 2,991511,0,185404,7,0,6,5,1,0,[-85 -60 -60 -75 -100 -110 ]
Black,4-10 2,965151,0,217771,8,0,6,5,1,0,[15 -10 -60 -110 -120 -125 -145 ]
Black,10-14 2,1029180,0,232648,9,0,6,5,1,0,[-160 -110 -120 -110 -125 -145 -150 -200 ]
Black,5-10 2,952205,0,259889,9,0,6,5,1,0,[-60 -60 -85 -110 -150 -200 -210 -195 ]
Black,10-15 2,1032385,0,234942,9,0,6,5,1,0,[-125 -110 -150 -125 -185 -195 -210 -200 ]
Black,14-20 2,1069639,0,221125,10,0,6,5,1,0,[-120 -110 -135 -140 -175 -200 -210 -185 -225 ]
Black,38-42 2,1170403,0,288170,11,0,6,5,1,0,[-120 -105 -160 -165 -185 -175 -225 -225 -235 -250 ]
