sep=,
pieceWeight=25 crownWeight=25 sideWeight=25 kingLaneWeight=75 tandemWeight=5 centerWeight=10 winWeight=1000 pruningWindow=10 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
White,31-26 1,697274,71131,184235,10,1,20,20,0,0,[5 0 0 0 0 0 5 -5 0 ]
White,26x17 1,656122,7329,155825,12,3,20,20,0,0,[25 10 10 5 10 0 0 -5 5 0 5 ]
White,33-29 1,702068,5853,162977,10,3,19,19,0,0,[20 5 10 0 0 -5 5 0 5 ]
White,29-23 1,800081,104790,196060,10,6,19,19,0,0,[20 5 20 5 20 5 5 -5 0 ]
White,34x23 1,811086,94449,161782,12,8,18,19,0,0,[20 -5 20 5 -5 -25 0 -5 -15 -20 -10 ]
White,32x23 1,794230,94335,158951,10,6,17,18,0,0,[20 5 -5 -25 0 -5 -15 -20 -10 ]
White,38-32 1,839943,139933,179117,9,4,17,17,0,0,[0 -5 5 -5 -5 -15 -10 -20 ]
White,23x12 1,703538,3850,136703,11,2,17,17,0,0,[25 0 0 -15 -10 -15 -10 -15 -10 -10 ]
White,37-31 1,704284,4086,141863,9,1,16,16,0,0,[0 -15 -10 -15 -10 -15 -10 -10 ]
White,31-26 1,651755,17128,137773,9,3,16,16,0,0,[-5 -10 0 -5 5 -10 -10 -10 ]
White,26x17 1,709615,8807,121642,11,3,16,16,0,0,[20 -5 5 -10 -10 -10 -10 -10 -5 -10 ]
White,32-28 1,728184,8731,140865,9,1,15,15,0,0,[5 -10 -10 -10 -10 -10 -5 -10 ]
White,36-31 1,773636,78402,136940,8,4,15,15,0,0,[15 10 10 -10 5 -10 0 ]
White,31-26 1,753837,49408,148399,9,3,15,15,0,0,[5 5 10 0 10 0 0 5 ]
White,35-30 1,678674,23966,144604,9,3,15,15,0,0,[20 20 30 15 20 10 10 5 ]
White,39x30 1,843660,117962,152768,9,5,14,15,0,0,[5 -10 0 0 10 5 10 -5 ]
White,30-25 1,763698,54816,134472,8,5,14,14,0,0,[30 10 20 5 10 -5 5 ]
White,25x14 1,1053163,311960,167146,11,6,14,14,0,0,[20 5 10 -5 5 -10 -5 -5 10 -10 ]
White,28-23 1,758450,10161,188706,9,4,13,13,0,0,[10 -5 5 -5 0 -5 10 10 ]
White,40-34 1,663595,26419,111113,8,1,13,13,0,0,[30 25 30 10 15 10 15 ]
White,41-36 1,797887,78717,131113,8,6,13,13,0,0,[35 0 20 -5 15 0 10 ]
White,43-39 1,782463,65769,146034,8,5,13,13,0,0,[20 -5 5 -5 10 0 5 ]
White,42-38 1,779297,92309,106877,8,5,13,13,0,0,[10 -5 20 5 5 -15 5 ]
White,26-21 1,757421,65975,153764,8,5,13,13,0,0,[5 0 20 -10 10 -10 30 ]
White,38-32 1,987991,276749,199832,9,6,12,13,0,0,[-50 -55 -35 -75 30 15 5 -10 ]
White,34-29 1,768286,103879,134101,10,7,11,13,0,0,[-55 -80 30 15 5 -10 -35 -30 -15 ]
White,39x28x17x6 1,796367,31177,223328,11,4,10,13,0,0,[30 15 -20 -35 -35 -30 -15 -15 -15 -10 ]
White,23-18 1,775748,19419,187836,9,4,10,10,0,0,[35 30 20 -5 -15 -15 -15 -10 ]
White,18-12 1,749527,14193,152876,9,8,10,10,0,0,[35 20 -15 -30 -20 -10 0 20 ]
White,12-7 1,732918,17220,140722,10,2,10,10,0,0,[35 85 85 85 35 35 35 40 45 ]
White,6x17 1,836538,64823,203106,11,4,9,10,0,0,[85 85 35 35 35 20 45 40 60 60 ]
White,17-11 1,799258,23075,235549,10,5,9,9,0,0,[95 70 45 20 45 40 60 60 60 ]
White,44-39 1,827257,24875,192812,10,4,9,9,0,0,[95 120 110 100 60 60 60 60 60 ]
White,11-7 1,690115,26692,199474,9,4,9,9,0,0,[100 125 125 100 75 60 60 60 ]
White,39-34 1,984268,161379,273401,9,5,8,9,0,0,[125 100 75 60 60 60 60 40 ]
White,34-29 1,996201,144954,240038,10,6,8,9,0,0,[135 110 85 60 60 40 25 10 5 ]
White,29-23 1,874521,40347,217609,10,4,8,9,0,0,[115 90 65 40 40 40 5 10 15 ]
White,45-40 1,1018190,187733,269377,9,5,8,9,0,0,[95 90 65 55 5 10 15 5 ]
White,49x40 1,1172401,322653,284243,11,5,7,9,0,0,[20 20 -30 -30 5 5 -5 -5 -20 -35 ]
White,40-35 1,1025999,150869,248826,10,6,7,8,0,0,[55 45 30 20 -5 -5 -25 -35 -35 ]
White,48x39 1,1114950,210774,280209,11,7,7,8,0,0,[15 5 5 -5 -10 -20 -25 -45 -25 -40 ]
White,23-18 1,977039,173512,221052,10,7,7,7,0,0,[5 -5 -5 -5 5 -5 -25 -15 0 ]
White,18-12 1,919183,114652,198414,10,6,7,7,0,0,[5 5 -20 -30 -10 -15 0 -25 25 ]
White,35x24 1,912574,112867,237608,12,8,7,7,0,0,[25 25 -25 -15 10 20 30 -5 70 65 60 ]
White,12-7 1,854981,76681,215443,10,4,7,6,0,0,[25 75 75 75 85 85 85 65 60 ]
